date,year,activation_dt,release_dt,direction,etf,futures_return_at_trigger_pct,minutes_to_release,entry_delay_m,entry_dt,entry_price,exit_delay_m,exit_dt,exit_price,ret_pct,issue
2025-04-07,2025,2025-04-07 09:12:11,2025-04-07 09:17:11,sell_sidecar,KODEX inverse,-5.18,5.0,3,2025-04-07 09:15:00,4835.0,3,2025-04-07 09:20:00,4860.0,0.5170630816959676,
2025-04-10,2025,2025-04-10 09:06:02,2025-04-10 09:11:02,buy_sidecar,KODEX leverage,5.74,5.0,3,2025-04-10 09:09:00,13975.0,3,2025-04-10 09:14:00,14007.0,0.2289803220035802,
2025-11-05,2025,2025-11-05 09:46:15,2025-11-05 09:51:15,sell_sidecar,KODEX inverse,-5.21,5.0,3,2025-11-05 09:49:00,2670.0,3,2025-11-05 09:54:00,2680.0,0.3745318352059934,
2026-02-02,2026,2026-02-02 12:31:12,2026-02-02 12:36:12,sell_sidecar,KODEX inverse,-5.19,5.0,3,2026-02-02 12:34:00,1997.0,3,2026-02-02 12:39:00,2005.0,0.40060090135203286,
2026-02-03,2026,2026-02-03 09:26:22,2026-02-03 09:31:22,buy_sidecar,KODEX leverage,5.07,5.0,3,2026-02-03 09:29:00,73675.0,3,2026-02-03 09:34:00,73860.0,0.2511028164234874,
2026-02-06,2026,2026-02-06 09:06:41,2026-02-06 09:11:41,sell_sidecar,KODEX inverse,-5.2299999999999995,5.0,3,2026-02-06 09:09:00,2000.0,3,2026-02-06 09:14:00,2020.0,1.0000000000000009,
2026-03-03,2026,2026-03-03 12:05:53,2026-03-03 12:10:53,sell_sidecar,KODEX inverse,-5.04,5.0,3,2026-03-03 12:08:00,1618.0,3,2026-03-03 12:13:00,1624.0,0.3708281829418958,
2026-03-04,2026,2026-03-04 09:06:02,2026-03-04 09:11:02,sell_sidecar,KODEX inverse,-6.09,5.0,3,2026-03-04 09:09:00,1728.0,3,2026-03-04 09:14:00,1718.0,-0.578703703703709,
2026-03-05,2026,2026-03-05 09:06:02,2026-03-05 09:11:02,buy_sidecar,KODEX leverage,10.84,5.0,3,2026-03-05 09:09:00,84500.0,3,2026-03-05 09:14:00,86005.0,1.7810650887573942,
2026-03-09,2026,2026-03-09 09:06:02,2026-03-09 09:11:02,sell_sidecar,KODEX inverse,-6.460000000000001,5.0,3,2026-03-09 09:09:00,1787.0,3,2026-03-09 09:14:00,1807.0,1.1191941801902638,
2026-03-10,2026,2026-03-10 09:06:02,2026-03-10 09:11:02,buy_sidecar,KODEX leverage,6.13,5.0,3,2026-03-10 09:09:00,79910.0,3,2026-03-10 09:14:00,80700.0,0.9886121887123123,
2026-03-18,2026,2026-03-18 14:34:13,2026-03-18 14:39:13,buy_sidecar,KODEX leverage,5.08,5.0,3,2026-03-18 14:37:00,94025.0,3,2026-03-18 14:42:00,94470.0,0.4732783834086707,
