code,name,is_domestic_sector,classification_reason,product_family,coverage_provider,provider_status,expansion_lane,next_action
451060,1Q 200액티브,False,no_sector_keyword,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
0184E0,1Q 200채권혼합50액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
491610,1Q CD금리액티브(합성),False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0182R0,1Q K반도체TOP2+,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
0182S0,1Q K반도체TOP2채권혼합50,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0103T0,1Q K소버린AI,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
0198D0,1Q SK하이닉스선물단일종목레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
463290,1Q 단기금융채액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0131W0,1Q 단기특수은행채액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
479080,1Q 머니마켓액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0026S0,1Q 미국S&P500,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0052S0,1Q 미국S&P500미국채혼합50액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0069M0,1Q 미국나스닥100,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0111P0,1Q 미국나스닥100미국채혼합50액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0083S0,1Q 미국메디컬AI,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0004G0,1Q 미국배당TOP30,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0131V0,1Q 미국우주항공테크,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0198B0,1Q 삼성전자선물단일종목레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0094X0,1Q 샤오미밸류체인액티브,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
0172V0,1Q 은액티브,False,no_sector_keyword,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0017Y0,1Q 종합채권(AA-이상)액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0052T0,1Q 중단기회사채(A-이상)액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
495330,1Q 코리아밸류업,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
0186S0,1Q 코스닥150채권혼합50액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
492500,1Q 현대차그룹채권(A+이상)&국고통안,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0206G0,1Q 현대차기아채권혼합50,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
473440,ACE 11월만기자동연장회사채AA-이상액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
105190,ACE 200,False,broad_market,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
332500,ACE 200TR,False,no_sector_keyword,domestic_broad_market,,,future_product_family,classify_index_provider_after_family_selection
461270,ACE 26-06 회사채(AA-이상)액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
475260,ACE 2월만기자동연장회사채AA-이상액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
385600,ACE 2차전지&친환경차액티브,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
475270,ACE 5월만기자동연장회사채AA-이상액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
475280,ACE 8월만기자동연장회사채AA-이상액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
469150,ACE AI반도체TOP3+,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
0079X0,ACE BYD밸류체인액티브,False,no_sector_keyword,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
385590,ACE ESG액티브,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
226380,ACE Fn성장소비주도주,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
475050,ACE KPOP포커스,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
411060,ACE KRX금현물,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0172Y0,ACE K수출핵심TOP10산업액티브,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
0177X0,ACE K휴머노이드로봇산업TOP2+,True,domestic_sector_keyword,domestic_sector,fnguide,downloaded,fnguide_reference,continue_fnguide_data_pipeline
291130,ACE MSCI멕시코(합성),False,no_sector_keyword,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
256440,ACE MSCI인도네시아(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
261920,ACE MSCI필리핀(합성),False,no_sector_keyword,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0194T0,ACE SK하이닉스단일종목레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
0021D0,ACE TDF2030액티브 적격,False,no_sector_keyword,asset_allocation_or_tdf,,,future_product_family,classify_index_provider_after_family_selection
0021E0,ACE TDF2050액티브 적격,False,no_sector_keyword,asset_allocation_or_tdf,,,future_product_family,classify_index_provider_after_family_selection
0021C0,ACE TDF장기자산배분액티브,False,no_sector_keyword,asset_allocation_or_tdf,,,future_product_family,classify_index_provider_after_family_selection
0139P0,ACE 고배당주,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
0199C0,ACE 고배당주Plus커버드콜액티브,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
225130,ACE 골드선물 레버리지(합성 H),False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
483340,ACE 구글밸류체인액티브,False,no_sector_keyword,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
365780,ACE 국고채10년,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
114460,ACE 국고채3년,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
494340,ACE 글로벌AI맞춤형반도체,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
