code,name,schedule,status,title,url,query,excerpt
0182R0,1Q K반도체TOP2+,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""1Q K반도체TOP2+"" 기초지수 리밸런싱 정기변경",timed out
0182R0,1Q K반도체TOP2+,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""1Q K반도체TOP2+"" 기초지수 방법론 구성종목",timed out
0182R0,1Q K반도체TOP2+,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""1Q K반도체TOP2+"" 투자설명서 PDF 기초지수",timed out
0103T0,1Q K소버린AI,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""1Q K소버린AI"" 기초지수 리밸런싱 정기변경",timed out
0103T0,1Q K소버린AI,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""1Q K소버린AI"" 기초지수 방법론 구성종목",timed out
0103T0,1Q K소버린AI,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""1Q K소버린AI"" 투자설명서 PDF 기초지수",timed out
385600,ACE 2차전지&친환경차액티브,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""ACE 2차전지&친환경차액티브"" 기초지수 리밸런싱 정기변경",timed out
385600,ACE 2차전지&친환경차액티브,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""ACE 2차전지&친환경차액티브"" 기초지수 방법론 구성종목",timed out
385600,ACE 2차전지&친환경차액티브,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""ACE 2차전지&친환경차액티브"" 투자설명서 PDF 기초지수",timed out
469150,ACE AI반도체TOP3+,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""ACE AI반도체TOP3+"" 기초지수 리밸런싱 정기변경",timed out
469150,ACE AI반도체TOP3+,unknown,search_failed,search failed,https://html.duckduckgo.com/html/,"""ACE AI반도체TOP3+"" 기초지수 방법론 구성종목",timed out
