code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
396500,TIGER 반도체TOP10,FnGuide AI Semiconductor TOP10 Index,available,etfs\output\methodologies\396500_582f7c84fdd3.pdf,keyword_theme,quarterly,"1,4,7,10",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0167A0,SOL AI반도체TOP2플러스,FnGuide AI Semiconductor TOP2 Plus Index,available,etfs\output\methodologies\0167A0_57c7d80a085d.pdf,keyword_theme,quarterly,"1,4,7,10",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395270,HANARO Fn K-반도체,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\output\methodologies\395270_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395160,KODEX AI반도체TOP2플러스,FnGuide AI Semiconductor TOP2 Plus Index,available,etfs\output\methodologies\395160_57c7d80a085d.pdf,keyword_theme,quarterly,"1,4,7,10",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
161510,PLUS 고배당주,FnGuide High Dividend Stocks Index,available,etfs\output\methodologies\161510_7a49df9055a3.pdf,dividend,semiannual,"6,12",unknown,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
292150,TIGER 코리아TOP10,FnGuide Size/Style Index Series,available,etfs\output\methodologies\292150_60b5df44287f.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
305720,KODEX 2차전지산업,FnGuide Secondary Battery Industry Index,available,etfs\output\methodologies\305720_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
315930,KODEX Top5PlusTR,FnGuide Defense TOP5 Index TR,available,etfs\output\methodologies\315930_51590a18eb33.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
466920,SOL 조선TOP3플러스,FnGuide Shipbuilding TOP3 Plus Index,available,etfs\output\methodologies\466920_b13eb0bc3c86.pdf,keyword_theme,quarterly,"2,5,8,11",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
488080,TIGER 반도체TOP10레버리지,FnGuide Semiconductor TOP10 Leverage Index TR,available,etfs\output\methodologies\488080_b5ecaef84724.pdf,top_n_theme,semiannual,"5,11",market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices
