code,name,status,source_url,page_url,file_path,sha256,bytes,query,error,provider,index_name,source_type,confidence
396500,TIGER 반도체TOP10,downloaded,,,etfs\output\methodologies\396500_582f7c84fdd3.pdf,582f7c84fdd3f28062664b3206359680825df45f86a95cd4aa1b7eef1693bd77,1711217,existing_cache,,fnguide,,methodology_pdf_cache,high
0167A0,SOL AI반도체TOP2플러스,downloaded,,,etfs\output\methodologies\0167A0_57c7d80a085d.pdf,57c7d80a085dbda0c849eeb8cbbde43a53436f669c8c8e2f88c769f6c0d2cc96,1763101,existing_cache,,fnguide,,methodology_pdf_cache,high
395270,HANARO Fn K-반도체,downloaded,,,etfs\output\methodologies\395270_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,existing_cache,,fnguide,,methodology_pdf_cache,high
395160,KODEX AI반도체TOP2플러스,downloaded,,,etfs\output\methodologies\395160_57c7d80a085d.pdf,57c7d80a085dbda0c849eeb8cbbde43a53436f669c8c8e2f88c769f6c0d2cc96,1763101,existing_cache,,fnguide,,methodology_pdf_cache,high
161510,PLUS 고배당주,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_High_Dividend_Stocks_Index_Methodology_Book_한화_(20190701)_v2.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HDV,etfs\output\methodologies\161510_7a49df9055a3.pdf,7a49df9055a3ae7497e997564960876c3cc1a0db4d0881c3700cb562b84a88c2,735006,fnindex_catalog,,fnguide,FnGuide 고배당주,methodology_pdf,high
292150,TIGER 코리아TOP10,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.T10,etfs\output\methodologies\292150_60b5df44287f.pdf,60b5df44287f33dde98cf9d724b7b6cc49b9161e513b994db9ae305797034944,939494,fnindex_catalog,,fnguide,FnGuide TOP10,methodology_pdf,high
305720,KODEX 2차전지산업,downloaded,,,etfs\output\methodologies\305720_8ae0b61a17ae.pdf,8ae0b61a17aee707cb3b6f881d17fe24442e30d1529f5b42006f4656169caaff,1055645,existing_cache,,fnguide,,methodology_pdf_cache,high
315930,KODEX Top5PlusTR,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Defense_TOP5_Index_TR_Methodology_Book_(20250730)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/DIV.FI00.WLT.DF5,etfs\output\methodologies\315930_51590a18eb33.pdf,51590a18eb335308f464a1c8c3d9a337c3295fceb20a4d6d2d06cd85575f4947,1571904,fnindex_catalog,,fnguide,FnGuide 방산 TOP5 지수(총수익),methodology_pdf,high
466920,SOL 조선TOP3플러스,downloaded,,,etfs\output\methodologies\466920_b13eb0bc3c86.pdf,b13eb0bc3c86ff7a9405776940d4759babbcbe48cb0cf4c5dfabec3950aa8e9f,1659361,existing_cache,,fnguide,,methodology_pdf_cache,high
488080,TIGER 반도체TOP10레버리지,downloaded,https://file.fnguide.com/fnindex/files/FnGuide Semiconductor TOP10_Leverage_Index_TR_Methodology_Book_(20240715)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.L07,etfs\output\methodologies\488080_b5ecaef84724.pdf,b5ecaef84724496663f2ecf3688145e4dc292cc3fc1cad966c28af82dd0c69d7,741399,fnindex_catalog,,fnguide,FnGuide 반도체 TOP10 레버리지 지수(총수익),methodology_pdf,high
329200,TIGER 리츠부동산인프라,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_REITs_Real_Estate_Infrastructure_Index_Methodology_Book_(20230322)_v2.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.MRD,etfs\output\methodologies\329200_96b3c73fc9df.pdf,96b3c73fc9df1282dc2972c1b3810f8877897cd1f2bf90b98b9fbaaab5ac2390,896239,fnindex_catalog,,fnguide,FnGuide 리츠부동산인프라 지수,methodology_pdf,high
449450,PLUS K방산,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Defense_TOP5_Index_TR_Methodology_Book_(20250730)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/DIV.FI00.WLT.DF5,etfs\output\methodologies\449450_51590a18eb33.pdf,51590a18eb335308f464a1c8c3d9a337c3295fceb20a4d6d2d06cd85575f4947,1571904,fnindex_catalog,,fnguide,FnGuide 방산 TOP5 지수(총수익),methodology_pdf,high
477080,RISE CD금리액티브(합성),downloaded,https://file.fnguide.com/fnindex/files/FnGuide_CD_Interest_Rates_Index_Methodology_Book_(20230223)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/C/FBI.CD.01,etfs\output\methodologies\477080_593b452b93ee.pdf,593b452b93eea2b01b88d6499d3219be008ba12587eec2d029b6ad3fb583ffd1,661896,fnindex_catalog,,fnguide, FnGuide CD 금리,methodology_pdf,high
469150,ACE AI반도체TOP3+,downloaded,,,etfs\output\methodologies\469150_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,existing_cache,,fnguide,,methodology_pdf_cache,high
455850,SOL AI반도체소부장,downloaded,,,etfs\output\methodologies\455850_9fe7197e9742.pdf,9fe7197e9742b68faada89d66f84bb6784dc9bf22f0cf28fa34a21c252d76556,1654175,existing_cache,,fnguide,,methodology_pdf_cache,high
367760,RISE 네트워크인프라,downloaded,https://file.fnguide.com/fnindex/files/FnGuide Network Infrastructure Index Methodology_Book_KB_(20251106)_v1.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KB5,etfs\output\methodologies\367760_a6ab4f23f856.pdf,a6ab4f23f856ed92887350817cab2594a09223e52517f29a3e2189f1c38b575c,987208,fnindex_catalog,,fnguide,FnGuide 네트워크 인프라 지수,methodology_pdf,high
0177R0,TIGER 반도체TOP10커버드콜액티브,downloaded,,,etfs\output\methodologies\0177R0_60b5df44287f.pdf,60b5df44287f33dde98cf9d724b7b6cc49b9161e513b994db9ae305797034944,939494,existing_cache,,fnguide,,methodology_pdf_cache,high
466940,TIGER 은행고배당플러스TOP10,downloaded,,,etfs\output\methodologies\466940_60b5df44287f.pdf,60b5df44287f33dde98cf9d724b7b6cc49b9161e513b994db9ae305797034944,939494,existing_cache,,fnguide,,methodology_pdf_cache,high
462330,KODEX 2차전지산업레버리지,downloaded,https://file.fnguide.com/fnindex/files/FnGuide Secondary_Battery_Industry_Leverage_Index_TR_Methodology_Book_(20240715)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.L05,etfs\output\methodologies\462330_1ea7f5ede368.pdf,1ea7f5ede3680a9207f7b6fbe39f9b6e696b6394354a3cf8e617167835623126,743603,fnindex_catalog,,fnguide,FnGuide 2차전지 산업 레버리지 지수(총수익),methodology_pdf,high
462010,TIGER 2차전지소재Fn,downloaded,,,etfs\output\methodologies\462010_7213faeec355.pdf,7213faeec35522e1d5b0b7e30e31b266db1e3f1bc4302f471edf6ef4ee78b0f5,1697285,existing_cache,,fnguide,,methodology_pdf_cache,high
251600,PLUS 고배당주채권혼합,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_High_Dividend_Balanced_Index_Methodology_Book_한화_(20190701)_v2.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.MIX.04,etfs\output\methodologies\251600_f38ec77444f7.pdf,f38ec77444f722d83a0a295417af0004d79c5ef5facfb5fd0784b2c0c87ec31f,656354,fnindex_catalog,,fnguide,FnGuide 고배당 채권혼합,methodology_pdf,high
0105E0,SOL 코리아고배당,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_KOREA_High_Dividend_Methodology_Book_(20251201)_v1.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KRD,etfs\output\methodologies\0105E0_e6f5d77736ff.pdf,e6f5d77736ffa052d608443d976a286f1800033717e059a592b841a8a9b2f2ad,1114854,fnindex_catalog,,fnguide,FnGuide 코리아 고배당 지수,methodology_pdf,high
447770,TIGER 테슬라채권혼합Fn,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Tesla_Balanced_Index_Methodology_Book_(20220827)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.MIX.TBI,etfs\output\methodologies\447770_9ee37850ca0f.pdf,9ee37850ca0fc67f76c18b8e7dde937022e9438ee84337a4ec7665570593afc6,491442,fnindex_catalog,,fnguide,FnGuide 테슬라채권혼합 지수,methodology_pdf,high
466930,SOL 자동차TOP3플러스,downloaded,,,etfs\output\methodologies\466930_9094f311de0c.pdf,9094f311de0cac0d8a1bc4b5899649edd2a8e148ed97fb8b24b3f02b0f22447e,1699060,existing_cache,,fnguide,,methodology_pdf_cache,high
