code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
0182R0,1Q K반도체TOP2+,FnGuide AI Semiconductor TOP2+ Index,available,etfs\raw\methodologies\0182R0_2dc046e4ab51.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0103T0,1Q K소버린AI,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\0103T0_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
385600,ACE 2차전지&친환경차액티브,FnGuide Secondary Battery Industry Index,available,etfs\raw\methodologies\385600_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
469150,ACE AI반도체TOP3+,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\469150_466c302826ee.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
226380,ACE Fn성장소비주도주,FnGuide Growth and Consumption-Driven Stock Index,available,etfs\raw\methodologies\226380_7e2103f24d78.pdf,equal_weight,semiannual,"6,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0177X0,ACE K휴머노이드로봇산업TOP2+,FnGuide AI Semiconductor TOP2+ Index,available,etfs\raw\methodologies\0177X0_2dc046e4ab51.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
380340,ACE 코리아AI테크핵심산업,FnGuide Korea AI Tech Core Industry Index,available,etfs\raw\methodologies\380340_a0fd547b69bf.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
466810,BNK 2차전지양극재,FnGuide Secondary Battery Industry Index,available,etfs\raw\methodologies\466810_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
487750,BNK 온디바이스AI,FnGuide On-Device AI Index,available,etfs\raw\methodologies\487750_d51284e3ed0e.pdf,equal_weight,semiannual,"6,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
486240,DAISHIN343 AI반도체&인프라액티브,FnGuide AI Semiconductor & Infrastructure Index,available,etfs\raw\methodologies\486240_374de20750a1.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
