code,name,status,source_url,page_url,file_path,sha256,bytes,query,error,provider,index_name,source_type,confidence
0182R0,1Q K반도체TOP2+,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP2_Index_Methodology_Book_(20260406)_v2.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NMS,etfs\raw\methodologies\0182R0_2dc046e4ab51.pdf,2dc046e4ab510c2969d6a3e13f2d8583b7ed46d6c45333cf88d44db7fb553ba4,1353811,fnindex_catalog,,fnguide,FnGuide AI반도체 TOP2+ 지수,methodology_pdf,high
0103T0,1Q K소버린AI,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\0103T0_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
385600,ACE 2차전지&친환경차액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SBI,etfs\raw\methodologies\385600_8ae0b61a17ae.pdf,8ae0b61a17aee707cb3b6f881d17fe24442e30d1529f5b42006f4656169caaff,1055645,fnindex_catalog,,fnguide,FnGuide 2차전지 산업 지수,methodology_pdf,high
469150,ACE AI반도체TOP3+,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\469150_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
226380,ACE Fn성장소비주도주,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_성장소비주도_Index_Methodology_Book_한투_(20200902)_v2.4.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HST,etfs\raw\methodologies\226380_7e2103f24d78.pdf,7e2103f24d78dde5726ea81486afb7cd7c926ae4b6f6a0dbe6b3c689bd453694,961524,fnindex_catalog,,fnguide,FnGuide 성장소비주도,methodology_pdf,high
0177X0,ACE K휴머노이드로봇산업TOP2+,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP2_Index_Methodology_Book_(20260406)_v2.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NMS,etfs\raw\methodologies\0177X0_2dc046e4ab51.pdf,2dc046e4ab510c2969d6a3e13f2d8583b7ed46d6c45333cf88d44db7fb553ba4,1353811,fnindex_catalog,,fnguide,FnGuide AI반도체 TOP2+ 지수,methodology_pdf,high
380340,ACE 코리아AI테크핵심산업,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Korea AI Tech Core Industry_Index_Methodology_Book_(20251201)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HTN,etfs\raw\methodologies\380340_a0fd547b69bf.pdf,a0fd547b69bfa32306908376e3db1633cd2f6f41563c66cc4a1738ec597160b0,1576091,fnindex_catalog,,fnguide,FnGuide 코리아AI테크핵심산업 지수,methodology_pdf,high
466810,BNK 2차전지양극재,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SBI,etfs\raw\methodologies\466810_8ae0b61a17ae.pdf,8ae0b61a17aee707cb3b6f881d17fe24442e30d1529f5b42006f4656169caaff,1055645,fnindex_catalog,,fnguide,FnGuide 2차전지 산업 지수,methodology_pdf,high
487750,BNK 온디바이스AI,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_On-Device_AI_Index_Methodology_Book_(20240613)_v1.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.BOA,etfs\raw\methodologies\487750_d51284e3ed0e.pdf,d51284e3ed0e2438e51c0a3d78238a819cdcf9ab4bb0893486f256d754825b60,1451141,fnindex_catalog,,fnguide,FnGuide 온디바이스AI 지수,methodology_pdf,high
486240,DAISHIN343 AI반도체&인프라액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor & Infrastructure_Index_Methodology_Book_(20240418)_v2.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.DSA,etfs\raw\methodologies\486240_374de20750a1.pdf,374de20750a1fbf7820cc761f52d6c98b22229f0ea183c86b350752af66f1b05,1523370,fnindex_catalog,,fnguide,FnGuide AI반도체&인프라 지수,methodology_pdf,high
0189Z0,DAISHIN343 금융&지주고배당,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K_High_Dividend_Index_Methodology_Book_(20250821)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NDV,etfs\raw\methodologies\0189Z0_99b6b7ae10f9.pdf,99b6b7ae10f989f23958014542105580ecd6ccc437507ce71d4d111a66191776,913470,fnindex_catalog,,fnguide,FnGuide K고배당 지수,methodology_pdf,high
0174J0,DAISHIN343 오피스리츠플러스,downloaded,https://file.fnguide.com/fnindex/files/FnGuide AI Semiconductor TOP2 Plus Index_Methodology_Book_(20260102)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KSS,etfs\raw\methodologies\0174J0_57c7d80a085d.pdf,57c7d80a085dbda0c849eeb8cbbde43a53436f669c8c8e2f88c769f6c0d2cc96,1763101,fnindex_catalog,,fnguide,FnGuide AI반도체TOP2플러스 지수,methodology_pdf,high
395290,HANARO Fn K-POP&미디어,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-POP_&_Media_Index_Methodology_Book_NHA_(20210225)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NHM,etfs\raw\methodologies\395290_48ffa5d26b80.pdf,48ffa5d26b80b87bf038ded822a850b0f8896aa0efc7f089e954222b3c77e86f,1640565,fnindex_catalog,,fnguide,FnGuide K-POP & 미디어 지수,methodology_pdf,high
395280,HANARO Fn K-게임,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Game_Index_Methodology_Book_NHA_(20210225)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NHG,etfs\raw\methodologies\395280_61f80a798567.pdf,61f80a7985672329a9ada77a4cebdbd0de5fbc9a4aa3440b7b7f0323aad26f19,1622573,fnindex_catalog,,fnguide,FnGuide K-게임 지수,methodology_pdf,high
395270,HANARO Fn K-반도체,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\395270_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
441540,HANARO Fn조선해운,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Shipbuilding_&_Shipping_Sector_Index_Methodology_Book_NHAmundi_(20220727)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NSH,etfs\raw\methodologies\441540_15a11657b61c.pdf,15a11657b61ce3073d864bf29923d72506c1ae3a638cea61ee070e664ea2a0ee,1512600,fnindex_catalog,,fnguide,FnGuide 조선해운 지수,methodology_pdf,high
381570,HANARO Fn친환경에너지,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Green Energy_Index_Methodology_Book_NH_(20210102)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NGE,etfs\raw\methodologies\381570_0ec8d43f2410.pdf,0ec8d43f2410191ba34f634977bb217fb581297a1a92b9c4a0adfcb57571e907,758669,fnindex_catalog,,fnguide,FnGuide 친환경에너지 지수,methodology_pdf,high
498050,HANARO 바이오코리아액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Bio_Balanced_Index_Methodology_Book_(20260306)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HDB,etfs\raw\methodologies\498050_e6ad30e3a9d6.pdf,e6ad30e3a9d61b8cc24ea15e628c912757134ec76670b5ab65cb59dd0f770e98,1816443,fnindex_catalog,,fnguide,FnGuide K-바이오 밸런스드 지수,methodology_pdf,high
476260,HANARO 반도체핵심공정주도주,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Semiconductor_Core_Process_Tech_Leaders_Index_Methodology_Book_(20231031)_v1.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NSP,etfs\raw\methodologies\476260_ee8565063925.pdf,ee85650639254075c05c1cd2e1afdc4f5575613cf73bec8e2662757501a02824,1915271,fnindex_catalog,,fnguide,FnGuide 반도체 핵심 공정 주도주 지수,methodology_pdf,high
0111J0,HANARO 증권고배당TOP3플러스,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_High_Dividend_Securities_TOP3_Plus_Index_Methodology_Book_(20260204)_v1.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NHD,etfs\raw\methodologies\0111J0_94bcf5e1b9ca.pdf,94bcf5e1b9ca046a0b5ea0c02bf0c7008c4360d001f0db64398415d999365b90,981365,fnindex_catalog,,fnguide,FnGuide 증권 고배당 TOP3 플러스 지수,methodology_pdf,high
0005G0,IBK K-AI반도체코어테크,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-AI_Semiconductor_Core_Technology_Index_Methodology_Book_(20241128)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.IAI,etfs\raw\methodologies\0005G0_45c63d415bf3.pdf,45c63d415bf389cda3874ba7691080b14597372af5f5196002dab1a2deaad45d,1752573,fnindex_catalog,,fnguide,FnGuide K-AI반도체 코어테크 지수,methodology_pdf,high
488200,KIWOOM K-2차전지북미공급망,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SBI,etfs\raw\methodologies\488200_8ae0b61a17ae.pdf,8ae0b61a17aee707cb3b6f881d17fe24442e30d1529f5b42006f4656169caaff,1055645,fnindex_catalog,,fnguide,FnGuide 2차전지 산업 지수,methodology_pdf,high
488210,KIWOOM K-반도체북미공급망,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\488210_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
483020,KIWOOM 의료AI,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_medical_technology_Index_Methodology_Book_(20240320)_v1.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KAT,etfs\raw\methodologies\483020_99a98d15edd1.pdf,99a98d15edd1b1d671f46055ce6a0a835d864341eb6948abe1cb66e6da742127,1706152,fnindex_catalog,,fnguide,FnGuide 의료AI 지수,methodology_pdf,high
363580,KODEX 200IT TR,downloaded,https://file.fnguide.com/fnindex/files/FnGuide-RAFI_Korea_Index_Series_Methodology_Book_한투_(20190701)_v2.4.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.200,etfs\raw\methodologies\363580_71da2faa0706.pdf,71da2faa0706f3fc2684ce6416bd44c152fae7c8c61d348db52bf1bda1e709db,895456,fnindex_catalog,,fnguide,FnGuide-RAFI Korea200,methodology_pdf,high
305720,KODEX 2차전지산업,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SBI,etfs\raw\methodologies\305720_8ae0b61a17ae.pdf,8ae0b61a17aee707cb3b6f881d17fe24442e30d1529f5b42006f4656169caaff,1055645,fnindex_catalog,,fnguide,FnGuide 2차전지 산업 지수,methodology_pdf,high
461950,KODEX 2차전지핵심소재10,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Core_Materials_10_Index_Methodology_Book_삼성_(20230518)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SBC,etfs\raw\methodologies\461950_f13d50e5b8d0.pdf,f13d50e5b8d06d99d74f9532ea8f7b206f1d4a0502fe50d28e5bfc99e2de3c37,1459172,fnindex_catalog,,fnguide,FnGuide 2차전지핵심소재10 지수,methodology_pdf,high
395160,KODEX AI반도체TOP2플러스,downloaded,https://file.fnguide.com/fnindex/files/FnGuide AI Semiconductor TOP2 Plus Index_Methodology_Book_(20260102)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KSS,etfs\raw\methodologies\395160_57c7d80a085d.pdf,57c7d80a085dbda0c849eeb8cbbde43a53436f669c8c8e2f88c769f6c0d2cc96,1763101,fnindex_catalog,,fnguide,FnGuide AI반도체TOP2플러스 지수,methodology_pdf,high
471990,KODEX AI반도체핵심장비,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\471990_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
487240,KODEX AI전력핵심설비,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\487240_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
