code,name,product_family,source_confidence,index_name_candidates,methodology_probe,source_url,next_action
451060,1Q 200액티브,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0184E0,1Q 200채권혼합50액티브,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0186S0,1Q 코스닥150채권혼합50액티브,fixed_income_cash_commodity_or_derivative,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
105190,ACE 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
332500,ACE 200TR,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
411060,ACE KRX금현물,fixed_income_cash_commodity_or_derivative,medium,KRX Gold Spot,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
354500,ACE 코스닥150,domestic_broad_market,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
305050,ACE 코스피,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
434960,DAISHIN343 K200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0098Z0,FOCUS 200,foreign_or_global,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
293180,HANARO 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
407310,HANARO 200 TOP10,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
332930,HANARO 200TR,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
304780,HANARO 200선물레버리지,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
306520,HANARO 200선물인버스,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
304760,HANARO KRX300,domestic_broad_market,medium,KRX 300,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
