code,name,product_family,source_confidence,index_name_candidates,methodology_probe,methodology_url_candidates,next_action
291130,ACE MSCI멕시코(합성),foreign_or_global,medium,MSCI Mexico,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
256440,ACE MSCI인도네시아(합성),foreign_or_global,medium,MSCI Indonesia,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
261920,ACE MSCI필리핀(합성),foreign_or_global,medium,MSCI Philippines,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
265690,ACE 러시아MSCI(합성),foreign_or_global,medium,MSCI Russia,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
332940,HANARO MSCI Korea TR,foreign_or_global,medium,MSCI Korea,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
424460,HANARO 글로벌워터MSCI(합성),foreign_or_global,medium,MSCI ACWI IMI Water ESG Filtered,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
291890,KODEX MSCI EM선물(H),fixed_income_cash_commodity_or_derivative,medium,MSCI Emerging Markets,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
289040,KODEX MSCI KOREA ESG유니버설,foreign_or_global,medium,MSCI Korea ESG Universal,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9|https://www.msci.com/indexes/documents/methodology/4_MSCI_Universal_Indexes_Methodology_20241113.pdf,probe_msci_methodology_library
156080,KODEX MSCI Korea,foreign_or_global,medium,MSCI Korea,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
278540,KODEX MSCI Korea TR,foreign_or_global,medium,MSCI Korea,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
251350,KODEX MSCI선진국,foreign_or_global,medium,MSCI World,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
419430,KODEX 차이나2차전지MSCI(합성),foreign_or_global,medium,MSCI China,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
189400,PLUS 글로벌MSCI(합성 H),foreign_or_global,medium,MSCI ACWI,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
195970,PLUS 선진국MSCI(합성 H),foreign_or_global,medium,MSCI World,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
195980,PLUS 신흥국MSCI(합성 H),foreign_or_global,medium,MSCI Emerging Markets,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
310080,RISE 중국MSCI China(H),foreign_or_global,medium,MSCI China,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
289260,TIGER MSCI KOREA ESG리더스,foreign_or_global,medium,MSCI Korea ESG Leaders,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9|https://www.msci.com/documents/10199/ead0ff4d-e776-b418-b6fa-581a2ff82d30,probe_msci_methodology_library
289250,TIGER MSCI KOREA ESG유니버설,foreign_or_global,medium,MSCI Korea ESG Universal,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9|https://www.msci.com/indexes/documents/methodology/4_MSCI_Universal_Indexes_Methodology_20241113.pdf,probe_msci_methodology_library
310970,TIGER MSCI Korea TR,foreign_or_global,medium,MSCI Korea,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
182480,TIGER 미국MSCI리츠(합성 H),foreign_or_global,medium,MSCI US REIT,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9|https://www.msci.com/eqb/methodology/meth_docs/MSCI_US_REIT_Methodology_Jan2023_QCIR.pdf,probe_msci_methodology_library
225060,TIGER 이머징마켓MSCI레버리지(합성 H),fixed_income_cash_commodity_or_derivative,medium,MSCI Emerging Markets,msci_methodology_library,https://www.msci.com/documents/10199/ab796822-b8bf-9122-5e67-cfb93af723c9,probe_msci_methodology_library
