code,name,product_family,source_confidence,index_name_candidates,methodology_probe,methodology_url_candidates,next_action
0069M0,1Q 미국나스닥100,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
0111P0,1Q 미국나스닥100미국채혼합50액티브,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
367380,ACE 미국나스닥100,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
438100,ACE 미국나스닥100미국채혼합50액티브,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
453080,KIWOOM 미국나스닥100(H),foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
373790,KIWOOM 미국방어배당성장나스닥,foreign_or_global,medium,Nasdaq US Dividend Achievers,nasdaq_index_methodology_library,https://indexes.nasdaqomx.com/docs/methodology_dvg.pdf,probe_nasdaq_methodology_library
379810,KODEX 미국나스닥100,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
449190,KODEX 미국나스닥100(H),foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
494300,KODEX 미국나스닥100데일리커버드콜OTM,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
409820,KODEX 미국나스닥100레버리지(합성 H),foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
304940,KODEX 미국나스닥100선물(H),foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
409810,KODEX 미국나스닥100선물인버스(H),foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
411420,KODEX 미국나스닥AI테크액티브,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
419420,KODEX 미국클린에너지나스닥,foreign_or_global,medium,Nasdaq Clean Edge Green Energy,nasdaq_index_methodology_library,https://indexes.nasdaqomx.com/docs/methodology_cels.pdf,probe_nasdaq_methodology_library
0015B0,KoAct 미국나스닥성장기업액티브,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
0104H0,KoAct 미국나스닥채권혼합50액티브,foreign_or_global,medium,Nasdaq-100,nasdaq_index_methodology_library,https://indexes.nasdaq.com/docs/Methodology_NDX.pdf,probe_nasdaq_methodology_library
