code,name,product_family,coverage_provider,provider_status,source_candidate,source_kind,confidence,next_action
451060,1Q 200액티브,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
0184E0,1Q 200채권혼합50액티브,fixed_income_cash_commodity_or_derivative,,,krx,methodology_provider,medium,build_krx_methodology_probe
491610,1Q CD금리액티브(합성),fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0182R0,1Q K반도체TOP2+,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
0182S0,1Q K반도체TOP2채권혼합50,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0103T0,1Q K소버린AI,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
0198D0,1Q SK하이닉스선물단일종목레버리지,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
463290,1Q 단기금융채액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0131W0,1Q 단기특수은행채액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
479080,1Q 머니마켓액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0026S0,1Q 미국S&P500,foreign_or_global,,,sp_global,methodology_provider,medium,build_sp_global_methodology_probe
0052S0,1Q 미국S&P500미국채혼합50액티브,foreign_or_global,,,sp_global,methodology_provider,medium,build_sp_global_methodology_probe
0069M0,1Q 미국나스닥100,foreign_or_global,,,nasdaq,methodology_provider,medium,build_nasdaq_methodology_probe
0111P0,1Q 미국나스닥100미국채혼합50액티브,foreign_or_global,,,nasdaq,methodology_provider,medium,build_nasdaq_methodology_probe
0083S0,1Q 미국메디컬AI,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0004G0,1Q 미국배당TOP30,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0131V0,1Q 미국우주항공테크,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0198B0,1Q 삼성전자선물단일종목레버리지,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0094X0,1Q 샤오미밸류체인액티브,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0172V0,1Q 은액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0017Y0,1Q 종합채권(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0052T0,1Q 중단기회사채(A-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
495330,1Q 코리아밸류업,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0186S0,1Q 코스닥150채권혼합50액티브,fixed_income_cash_commodity_or_derivative,,,krx,methodology_provider,medium,build_krx_methodology_probe
492500,1Q 현대차그룹채권(A+이상)&국고통안,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0206G0,1Q 현대차기아채권혼합50,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
473440,ACE 11월만기자동연장회사채AA-이상액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
105190,ACE 200,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
332500,ACE 200TR,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
461270,ACE 26-06 회사채(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
475260,ACE 2월만기자동연장회사채AA-이상액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
