code,name,reason
0182R0,1Q K반도체TOP2+,domestic_sector_keyword
0103T0,1Q K소버린AI,domestic_sector_keyword
385600,ACE 2차전지&친환경차액티브,domestic_sector_keyword
469150,ACE AI반도체TOP3+,domestic_sector_keyword
226380,ACE Fn성장소비주도주,domestic_sector_keyword
0177X0,ACE K휴머노이드로봇산업TOP2+,domestic_sector_keyword
380340,ACE 코리아AI테크핵심산업,domestic_sector_keyword
466810,BNK 2차전지양극재,domestic_sector_keyword
487750,BNK 온디바이스AI,domestic_sector_keyword
486240,DAISHIN343 AI반도체&인프라액티브,domestic_sector_keyword
0189Z0,DAISHIN343 금융&지주고배당,domestic_sector_keyword
0174J0,DAISHIN343 오피스리츠플러스,domestic_sector_keyword
395290,HANARO Fn K-POP&미디어,domestic_sector_keyword
395280,HANARO Fn K-게임,domestic_sector_keyword
395270,HANARO Fn K-반도체,domestic_sector_keyword
441540,HANARO Fn조선해운,domestic_sector_keyword
381570,HANARO Fn친환경에너지,domestic_sector_keyword
498050,HANARO 바이오코리아액티브,domestic_sector_keyword
476260,HANARO 반도체핵심공정주도주,domestic_sector_keyword
0111J0,HANARO 증권고배당TOP3플러스,domestic_sector_keyword
0005G0,IBK K-AI반도체코어테크,domestic_sector_keyword
488200,KIWOOM K-2차전지북미공급망,domestic_sector_keyword
488210,KIWOOM K-반도체북미공급망,domestic_sector_keyword
483020,KIWOOM 의료AI,domestic_sector_keyword
363580,KODEX 200IT TR,domestic_sector_keyword
305720,KODEX 2차전지산업,domestic_sector_keyword
461950,KODEX 2차전지핵심소재10,domestic_sector_keyword
395160,KODEX AI반도체TOP2플러스,domestic_sector_keyword
471990,KODEX AI반도체핵심장비,domestic_sector_keyword
487240,KODEX AI전력핵심설비,domestic_sector_keyword
266370,KODEX IT,domestic_sector_keyword
117700,KODEX 건설,domestic_sector_keyword
300950,KODEX 게임산업,domestic_sector_keyword
266390,KODEX 경기소비재,domestic_sector_keyword
0089D0,KODEX 금융고배당TOP10,domestic_sector_keyword
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,domestic_sector_keyword
102960,KODEX 기계장비,domestic_sector_keyword
445290,KODEX 로봇액티브,domestic_sector_keyword
244580,KODEX 바이오,domestic_sector_keyword
091160,KODEX 반도체,domestic_sector_keyword
0190G0,KODEX 반도체타겟위클리커버드콜,domestic_sector_keyword
0080G0,KODEX 방산TOP10,domestic_sector_keyword
140700,KODEX 보험,domestic_sector_keyword
385510,KODEX 신재생에너지액티브,domestic_sector_keyword
117460,KODEX 에너지화학,domestic_sector_keyword
091170,KODEX 은행,domestic_sector_keyword
091180,KODEX 자동차,domestic_sector_keyword
0115D0,KODEX 조선TOP10,domestic_sector_keyword
102970,KODEX 증권,domestic_sector_keyword
117680,KODEX 철강,domestic_sector_keyword
445150,KODEX 친환경조선해운액티브,domestic_sector_keyword
0115E0,KODEX 코리아소버린AI,domestic_sector_keyword
266410,KODEX 필수소비재,domestic_sector_keyword
298770,KODEX 한국대만IT프리미어,domestic_sector_keyword
450190,KODEX 한중반도체(합성),domestic_sector_keyword
266420,KODEX 헬스케어,domestic_sector_keyword
487130,KoAct AI인프라액티브,domestic_sector_keyword
462900,KoAct 바이오헬스케어액티브,domestic_sector_keyword
482030,KoAct 반도체&2차전지핵심소재액티브,domestic_sector_keyword
284980,RISE 200금융,domestic_sector_keyword
465330,RISE 2차전지TOP10,domestic_sector_keyword
422420,RISE 2차전지액티브,domestic_sector_keyword
469070,RISE AI&로봇,domestic_sector_keyword
0093A0,RISE AI반도체TOP10,domestic_sector_keyword
0101N0,RISE AI전력인프라,domestic_sector_keyword
427120,RISE AI플랫폼,domestic_sector_keyword
326240,RISE IT플러스,domestic_sector_keyword
388280,RISE K엔터&여행레저,domestic_sector_keyword
300640,RISE 게임테마,domestic_sector_keyword
0000Z0,RISE 바이오TOP10액티브,domestic_sector_keyword
446700,RISE 배터리 리사이클링,domestic_sector_keyword
388420,RISE 비메모리반도체액티브,domestic_sector_keyword
498860,RISE 코리아금융고배당,domestic_sector_keyword
253280,RISE 헬스케어,domestic_sector_keyword
0190C0,RISE 현대차고정피지컬AI,domestic_sector_keyword
455860,SOL 2차전지소부장Fn,domestic_sector_keyword
0167A0,SOL AI반도체TOP2플러스,domestic_sector_keyword
455850,SOL AI반도체소부장,domestic_sector_keyword
490480,SOL K방산,domestic_sector_keyword
484880,SOL 금융지주플러스고배당,domestic_sector_keyword
475300,SOL 반도체전공정,domestic_sector_keyword
475310,SOL 반도체후공정,domestic_sector_keyword
464610,SOL 의료기기소부장Fn,domestic_sector_keyword
466930,SOL 자동차TOP3플러스,domestic_sector_keyword
464600,SOL 자동차소부장Fn,domestic_sector_keyword
0005D0,SOL 전고체배터리&실리콘음극재,domestic_sector_keyword
466920,SOL 조선TOP3플러스,domestic_sector_keyword
0141S0,SOL 조선기자재,domestic_sector_keyword
0105D0,SOL 한국AI소프트웨어,domestic_sector_keyword
0008T0,SOL 화장품TOP3플러스,domestic_sector_keyword
315270,TIGER 200커뮤니케이션서비스,domestic_sector_keyword
364980,TIGER 2차전지TOP10,domestic_sector_keyword
462010,TIGER 2차전지소재Fn,domestic_sector_keyword
305540,TIGER 2차전지테마,domestic_sector_keyword
471760,TIGER AI반도체핵심공정,domestic_sector_keyword
365040,TIGER AI코리아그로스액티브,domestic_sector_keyword
377990,TIGER Fn신재생에너지,domestic_sector_keyword
300610,TIGER K게임,domestic_sector_keyword
463250,TIGER K방산&우주,domestic_sector_keyword
364990,TIGER 게임TOP10,domestic_sector_keyword
0168K0,TIGER 기술이전바이오액티브,domestic_sector_keyword
228810,TIGER 미디어컨텐츠,domestic_sector_keyword
364970,TIGER 바이오TOP10,domestic_sector_keyword
091230,TIGER 반도체,domestic_sector_keyword
396500,TIGER 반도체TOP10,domestic_sector_keyword
0177R0,TIGER 반도체TOP10커버드콜액티브,domestic_sector_keyword
157490,TIGER 소프트웨어,domestic_sector_keyword
091220,TIGER 은행,domestic_sector_keyword
466940,TIGER 은행고배당플러스TOP10,domestic_sector_keyword
307510,TIGER 의료기기,domestic_sector_keyword
365000,TIGER 인터넷TOP10,domestic_sector_keyword
494670,TIGER 조선TOP10,domestic_sector_keyword
157500,TIGER 증권,domestic_sector_keyword
307520,TIGER 지주회사,domestic_sector_keyword
0117V0,TIGER 코리아AI전력기기TOP3플러스,domestic_sector_keyword
0148J0,TIGER 코리아휴머노이드로봇산업,domestic_sector_keyword
387280,TIGER 퓨처모빌리티액티브,domestic_sector_keyword
449690,TIGER 한중반도체(합성),domestic_sector_keyword
143860,TIGER 헬스케어,domestic_sector_keyword
228790,TIGER 화장품,domestic_sector_keyword
463050,TIME K바이오액티브,domestic_sector_keyword
404120,TIME K신재생에너지액티브,domestic_sector_keyword
0184V0,UNICORN K바이오액티브,domestic_sector_keyword
470310,UNICORN 생성형AI강소기업액티브,domestic_sector_keyword
422260,VITA MZ소비액티브,domestic_sector_keyword
413930,WON AI ESG액티브,domestic_sector_keyword
474590,WON 반도체밸류체인액티브,domestic_sector_keyword
0154F0,WON 초대형IB&금융지주,domestic_sector_keyword
0001P0,마이티 바이오시밀러&CDMO액티브,domestic_sector_keyword
