date,equity
2020-01-02,108251855.49074318
2020-01-03,109334293.3781487
2020-01-06,96583805.77699244
2020-01-07,97345976.59000498
2020-01-08,98441019.26442915
2020-01-09,100623547.86948553
2020-01-10,102729403.68911661
2020-01-13,108427942.379578
2020-01-14,106760923.74095024
2020-01-15,105083559.98227343
2020-01-16,106410014.011078
2020-01-17,106853960.96054167
2020-01-20,105474525.68596894
2020-01-21,105147650.93506879
2020-01-22,107227335.02453211
2020-01-23,109612746.1508851
2020-01-28,109682600.17172927
2020-01-29,111423043.60536703
2020-01-30,110384556.66312778
2020-01-31,108871067.33613822
2020-02-03,108739962.41741922
2020-02-04,111508848.68286496
2020-02-05,109539685.54431623
2020-02-06,111041843.79854393
2020-02-07,109032689.75071064
2020-02-10,108894446.73313726
2020-02-11,110432400.34233934
2020-02-12,112483422.11636879
2020-02-13,113479562.49233565
2020-02-14,113827829.40961313
2020-02-17,113670372.98493055
2020-02-18,113484030.86921002
2020-02-19,116542674.14790502
2020-02-20,116611137.00882964
2020-02-21,115079132.33345562
2020-02-24,112510141.58535606
2020-02-25,112610769.42051446
2020-02-26,113641473.22203726
2020-02-27,111363860.1445095
2020-02-28,110506645.01274812
2020-03-02,113488069.81860867
2020-03-03,112435114.45556436
2020-03-04,114269009.94620663
2020-03-05,115500887.63202152
2020-03-06,115649446.22304168
2020-03-09,111389350.46958427
2020-03-10,114318680.69541624
2020-03-11,111614380.19323672
2020-03-12,110583543.11574978
2020-03-13,110285566.77661678
2020-03-16,107738019.84505542
2020-03-17,110559014.71157348
2020-03-18,110063964.52727932
2020-03-19,106429483.08847599
2020-03-20,111482666.25941524
2020-03-23,119535731.00521293
2020-03-24,120766794.9840534
2020-03-25,115854407.65947565
2020-03-26,114650238.42881343
2020-03-27,115855839.07743028
2020-03-30,117316462.45541432
2020-03-31,131006616.53893675
2020-04-01,120853435.36997369
2020-04-02,119340845.46644
2020-04-03,119756714.5662038
2020-04-06,125794093.77539884
2020-04-07,125989910.09237517
2020-04-08,125485180.47671345
2020-04-09,126220773.38649213
2020-04-10,129678634.87944958
2020-04-13,129051243.27651477
2020-04-14,129629897.38639337
2020-04-16,130408322.50154471
2020-04-17,130124835.91622643
2020-04-20,131367652.41920035
2020-04-21,131874618.8548629
2020-04-22,132174390.42151228
2020-04-23,134604579.04951665
2020-04-24,132421570.74683094
2020-04-27,131293979.69478206
2020-04-28,131174416.89614506
2020-04-29,126638909.51837353
2020-05-04,125302003.15867494
2020-05-06,126385425.05427021
2020-05-07,126111529.68653756
2020-05-08,128132180.93193528
2020-05-11,127100916.0855053
2020-05-12,129196163.61180875
2020-05-13,130861678.8874292
2020-05-14,132526932.376496
2020-05-15,132472122.50304335
2020-05-18,131332963.00420843
2020-05-19,127091672.09776533
2020-05-20,129009773.87217276
2020-05-21,128240697.86698669
2020-05-22,129171770.3627405
2020-05-25,132760547.95917429
2020-05-26,127643261.73207115
2020-05-27,124918255.53292623
2020-05-28,128524912.32009204
2020-05-29,126445177.73265138
2020-06-01,125756336.32910705
2020-06-02,129914587.84665668
2020-06-03,133958112.77708015
2020-06-04,131531540.93201077
2020-06-05,132061698.29436441
2020-06-08,124105502.10919097
2020-06-09,125348536.33109206
2020-06-10,126591284.31277981
2020-06-11,126913383.8672268
2020-06-12,127035632.20983064
2020-06-15,126343330.7792836
2020-06-16,134856101.4119548
2020-06-17,133948211.09911016
2020-06-18,131531899.2080837
2020-06-19,130144747.43699768
2020-06-22,130489181.91865253
2020-06-23,131077291.35086441
2020-06-24,130985651.15359108
2020-06-25,126669081.37730703
2020-06-26,129891691.20832074
2020-06-29,121503987.10124186
2020-06-30,121326268.14999047
2020-07-01,126611715.59700842
2020-07-02,131991672.27552329
2020-07-03,133651859.1829746
2020-07-06,137676718.02365702
2020-07-07,139161531.31234577
2020-07-08,139949018.1898477
2020-07-09,145264828.71159217
2020-07-10,145445235.33083138
2020-07-13,143733270.39946067
2020-07-14,145667466.6340437
2020-07-15,143087020.56229043
2020-07-16,139220946.57569912
2020-07-17,139004927.78835255
2020-07-20,139625536.8354922
