date,equity
2020-01-02,93742167.83252038
2020-01-03,95373010.09230635
2020-01-06,80423621.01620515
2020-01-07,80776733.00324601
2020-01-08,82105732.22068267
2020-01-09,84037203.85041757
2020-01-10,85327090.62257983
2020-01-13,93018961.30864516
2020-01-14,91378264.320115
2020-01-15,89626343.38454168
2020-01-16,90661121.96023738
2020-01-17,91086208.56103432
2020-01-20,89299263.01495525
2020-01-21,88780548.54520923
2020-01-22,90574197.49636401
2020-01-23,91128677.83553766
2020-01-28,89872491.55210142
2020-01-29,90418506.8678104
2020-01-30,89216409.61870217
2020-01-31,88171654.2159158
2020-02-03,87622563.51210296
2020-02-04,89798704.65513515
2020-02-05,88385379.98784709
2020-02-06,89696057.05350658
2020-02-07,88239969.48774877
2020-02-10,88681326.74756932
2020-02-11,90184116.70043185
2020-02-12,92008433.6576828
2020-02-13,93463980.71776514
2020-02-14,94068212.80063929
2020-02-17,93461138.33385013
2020-02-18,93043786.99646887
2020-02-19,95334689.69140592
2020-02-20,95319278.70566536
2020-02-21,94292311.16191077
2020-02-24,91780023.95673963
2020-02-25,91663937.11459513
2020-02-26,92219953.16385373
2020-02-27,90300278.5945338
2020-02-28,89444344.22904506
2020-03-02,91681440.4921649
2020-03-03,90961091.50487599
2020-03-04,92673411.60991415
2020-03-05,93297149.087834
2020-03-06,93682425.4613623
2020-03-09,89610208.9007085
2020-03-10,91819474.19049554
2020-03-11,89624191.85565524
2020-03-12,87971150.06344348
2020-03-13,86912418.54008022
2020-03-16,84941588.98628604
2020-03-17,86906237.56869279
2020-03-18,86232831.47615199
2020-03-19,84472629.95973612
2020-03-20,87119867.56402981
2020-03-23,89723203.1755572
2020-03-24,87651392.91846426
2020-03-25,83852319.15491213
2020-03-26,82837628.40773359
2020-03-27,85660855.69070503
2020-03-30,87101801.11581981
2020-03-31,94852033.32316153
2020-04-01,90529281.80293956
2020-04-02,89182759.63440685
2020-04-03,90910641.82072227
2020-04-06,93103787.42602712
2020-04-07,89764344.62058696
2020-04-08,89852838.44074322
2020-04-09,87691875.89197396
2020-04-10,85312582.77305295
2020-04-13,87847572.39996347
2020-04-14,88243281.10412104
2020-04-16,88268242.98527627
2020-04-17,85879553.27028826
2020-04-20,87010980.3487052
2020-04-21,87928014.30529329
2020-04-22,88649470.79918647
2020-04-23,91864133.41961843
2020-04-24,91112052.0823335
2020-04-27,90640558.61037427
2020-04-28,90683757.83002147
2020-04-29,87662354.32880515
2020-05-04,87081028.34685415
2020-05-06,88100439.09147498
2020-05-07,87174831.13370484
2020-05-08,86885906.07608888
2020-05-11,86801613.74288732
2020-05-12,88417665.46640226
2020-05-13,89356093.47370769
2020-05-14,91437749.08197218
2020-05-15,91268451.6097352
2020-05-18,90586371.14050223
2020-05-19,87692983.62321168
2020-05-20,88561089.51156579
2020-05-21,87756478.00747994
2020-05-22,87742263.79342327
2020-05-25,89901638.88349257
2020-05-26,88117870.0298732
2020-05-27,87443163.86107063
2020-05-28,88616357.94251037
2020-05-29,86696440.43023627
2020-06-01,88024874.00627935
2020-06-02,87218587.22967517
2020-06-03,88617082.47035144
2020-06-04,89017418.26103325
2020-06-05,89103540.92550743
2020-06-08,76673798.92894244
2020-06-09,76142606.71547516
2020-06-10,77337269.52947578
2020-06-11,77077281.54379468
2020-06-12,75211756.50877851
2020-06-15,80509365.54200381
2020-06-16,85316104.1898975
2020-06-17,85501167.79828995
2020-06-18,84877188.31285071
2020-06-19,84977610.05270816
2020-06-22,83533866.3390325
2020-06-23,84345763.9769944
2020-06-24,85255628.7615791
2020-06-25,81790485.53850356
2020-06-26,81442498.81955764
2020-06-29,79387013.64061636
2020-06-30,80805704.76139793
2020-07-01,79473968.40947615
2020-07-02,78979490.84264183
2020-07-03,78834369.07137907
2020-07-06,79517022.07420331
2020-07-07,78587376.52955994
2020-07-08,79377759.6862759
2020-07-09,83325558.27256116
2020-07-10,82722950.26661704
2020-07-13,82551299.91624743
2020-07-14,84326190.26727697
2020-07-15,81652921.83148485
2020-07-16,80163970.72465919
2020-07-17,80118506.45799866
2020-07-20,80172672.0822479
2020-07-21,91994389.01496711
2020-07-22,94091146.79557274
2020-07-23,91195390.30980375
2020-07-24,87868001.54774047
2020-07-27,88284418.47924066
2020-07-28,87455648.08495848
2020-07-29,89047426.72413872
2020-07-30,89642792.94719562
2020-07-31,89559931.3734214
2020-08-03,89668893.59504259
2020-08-04,89668893.59504259
2020-08-05,89668893.59504259
2020-08-06,89668893.59504259
