symbol,qty,abs_qty
A011170,6179.582103696835,6179.582103696835
A003490,3052.544031222753,3052.544031222753
A009830,3044.5682022412916,3044.5682022412916
A006800,2678.246822719934,2678.246822719934
A272210,1795.2089327197996,1795.2089327197996
A034220,1370.481331451158,1370.481331451158
A036570,1126.2615581865616,1126.2615581865616
A000720,817.9455852006008,817.9455852006008
A267250,537.8737157292948,537.8737157292948
A006400,300.5670002634307,300.5670002634307
A278470,233.0949225901186,233.0949225901186
A009150,227.0928978994738,227.0928978994738
A298040,61.036252500071214,61.036252500071214
A015760,-0.10941776191774721,0.10941776191774721
A042660,-0.00010459554335973814,0.00010459554335973814
A329180,-7.338894212319917e-08,7.338894212319917e-08
