date,equity
2020-01-02,108512223.25631584
2020-01-03,109139714.73267156
2020-01-06,103750616.72602235
2020-01-07,104189955.4670128
2020-01-08,105025490.64720266
2020-01-09,107389518.37049618
2020-01-10,109298611.01338631
2020-01-13,110925708.98529601
2020-01-14,109384857.38368759
2020-01-15,107636557.73036036
2020-01-16,108808708.75254151
2020-01-17,109264025.79968825
2020-01-20,107843893.67941952
2020-01-21,107348806.69236702
2020-01-22,108982073.59856573
2020-01-23,111208280.46133357
2020-01-28,110995017.78481206
2020-01-29,111631371.67515518
2020-01-30,109886508.89444605
2020-01-31,108500259.6401799
2020-02-03,108386792.52008015
2020-02-04,110085064.09739827
2020-02-05,108337374.52847616
2020-02-06,110229931.91887797
2020-02-07,109732701.70724562
2020-02-10,110173924.42941695
2020-02-11,112738632.31512052
2020-02-12,114855818.13787144
2020-02-13,115219538.28905067
2020-02-14,114877231.16765004
2020-02-17,115031125.04544348
2020-02-18,114491481.28921759
2020-02-19,116701403.7023141
2020-02-20,117108088.4667947
2020-02-21,116270484.3011286
2020-02-24,114360311.09845728
2020-02-25,113790488.94910148
2020-02-26,114774417.83756647
2020-02-27,113901785.73743847
2020-02-28,111445111.68450129
2020-03-02,113653622.10411337
2020-03-03,113414340.76937819
2020-03-04,116078832.64419472
2020-03-05,118201444.10154377
2020-03-06,117799694.13005695
2020-03-09,111287030.57615556
2020-03-10,112979411.14532569
2020-03-11,108025991.86982356
2020-03-12,105507523.4179748
2020-03-13,104198320.8528339
2020-03-16,102199849.92649803
2020-03-17,103889204.56628063
2020-03-18,103665791.22864507
2020-03-19,99999959.39007118
2020-03-20,104570936.14719698
2020-03-23,108696146.29046822
2020-03-24,110738818.98377046
2020-03-25,107392396.49481218
2020-03-26,106502761.94920543
2020-03-27,107411822.64457777
2020-03-30,108764413.80142465
2020-03-31,117507506.02429268
2020-04-01,111103129.70165682
2020-04-02,110331510.87969786
2020-04-03,110445403.17321408
2020-04-06,113547815.97190264
2020-04-07,113382019.36486538
2020-04-08,113192681.3002634
2020-04-09,114099297.51784219
2020-04-10,112178613.48464763
2020-04-13,113233967.2048645
2020-04-14,114130095.63498884
2020-04-16,114459074.0384508
2020-04-17,113467790.45925906
2020-04-20,114270684.03324452
2020-04-21,112969228.08119303
2020-04-22,113135725.45194444
2020-04-23,117848337.50774778
2020-04-24,115189460.33997302
2020-04-27,118830806.4613928
2020-04-28,123952017.80134284
2020-04-29,122439593.00444719
2020-05-04,121403777.16849613
2020-05-06,121571064.66377604
2020-05-07,122541527.9309437
2020-05-08,124438039.27245858
2020-05-11,117163060.14280908
2020-05-12,116487925.00172667
2020-05-13,116248768.86126345
2020-05-14,117473126.51427107
2020-05-15,117163476.23051679
2020-05-18,122488776.2939718
2020-05-19,121161059.29386017
2020-05-20,121850036.57419837
2020-05-21,121757202.07408547
2020-05-22,122786885.44621995
2020-05-25,126195180.67041129
2020-05-26,121455646.84994137
2020-05-27,125558303.77001694
2020-05-28,126113201.52775206
2020-05-29,126274827.5046417
2020-06-01,115783028.70894141
2020-06-02,123602361.95580262
2020-06-03,133732759.6380724
2020-06-04,132922218.03076528
2020-06-05,129978297.04018264
2020-06-08,147568574.62523234
2020-06-09,148592777.92383385
2020-06-10,149182011.78614935
2020-06-11,152800913.45216218
2020-06-12,151952580.1346795
2020-06-15,149258205.56124777
2020-06-16,155155081.57613853
2020-06-17,155829778.20039847
2020-06-18,153527323.38681898
2020-06-19,152072033.66481784
2020-06-22,157999258.23927677
2020-06-23,159767301.19992918
2020-06-24,161563658.72155583
2020-06-25,160622391.7115428
2020-06-26,159592893.17258507
2020-06-29,155382492.59057873
2020-06-30,155725595.1183607
2020-07-01,156333724.33944714
2020-07-02,160919383.07733378
2020-07-03,162230528.9531147
2020-07-06,166967732.0837608
2020-07-07,167963164.19440243
2020-07-08,168131815.79370862
2020-07-09,168296416.2101704
2020-07-10,167274064.66170448
2020-07-13,164989206.57488847
2020-07-14,164241274.74791056
2020-07-15,163457654.54494452
2020-07-16,163289594.878452
2020-07-17,163306524.96339208
2020-07-20,167366413.69307864
2020-07-21,176335976.47134295
2020-07-22,181321377.94171232
2020-07-23,177865713.34159127
2020-07-24,174999672.5256964
2020-07-27,176579332.6579694
2020-07-28,177631288.28479198
2020-07-29,179614581.4071405
2020-07-30,181523179.1320586
2020-07-31,180030314.3387443
2020-08-03,182430801.27204007
2020-08-04,182430801.27204007
2020-08-05,182430801.27204007
2020-08-06,182430801.27204007
2020-08-07,182430801.27204007
2020-08-10,186891417.0731238
2020-08-11,185491246.32497504
2020-08-12,180084460.9146058
2020-08-13,177379138.58237773
2020-08-14,170977496.89847887
2020-08-18,169125799.40555835
2020-08-19,172536993.18345228
2020-08-20,173074932.63756555
2020-08-21,173857352.2571121
2020-08-24,180400012.11649746
2020-08-25,181156456.14660755
2020-08-26,179433676.5579256
2020-08-27,175757842.72465205
2020-08-28,176691122.9517439
2020-08-31,172480538.22994328
2020-09-01,169128648.00727063
2020-09-02,168831399.39753985
2020-09-03,167604917.64955962
2020-09-04,165713525.31784028
2020-09-07,166556423.0215571
2020-09-08,166577552.07881248
2020-09-09,168519221.18289763
2020-09-10,170506716.51897672
2020-09-11,169287831.47336167
2020-09-14,175458336.6262709
2020-09-15,176530953.49312383
2020-09-16,174918356.16715372
2020-09-17,178413800.98410523
2020-09-18,176460266.5710904
2020-09-21,175961174.5431658
2020-09-22,171052707.2827819
2020-09-23,172761042.09426683
2020-09-24,171901890.73068595
2020-09-25,170131179.03274813
2020-09-28,172060540.86918226
2020-09-29,172704606.2679623
2020-10-05,174655391.6287294
2020-10-06,174655391.6287294
2020-10-07,174655391.6287294
2020-10-08,174655391.6287294
2020-10-12,173712642.65974537
2020-10-13,171538974.28961146
2020-10-14,170852034.8669074
2020-10-15,170742493.0232606
2020-10-16,167221492.29445845
2020-10-19,168374571.50524694
2020-10-20,169521902.59785938
2020-10-21,169916171.84921715
