date,equity
2020-01-02,102736285.93149059
2020-01-03,103699408.22355409
2020-01-06,91795109.85097417
2020-01-07,92007630.65489429
2020-01-08,93558767.56818163
2020-01-09,95672888.91270989
2020-01-10,95974197.69208544
2020-01-13,102928212.1810621
2020-01-14,101998391.59305242
2020-01-15,99754000.83259317
2020-01-16,101198578.02141619
2020-01-17,101085748.97752294
2020-01-20,99442864.61771968
2020-01-21,98899818.11405054
2020-01-22,100957347.27990274
2020-01-23,100549700.83935793
2020-01-28,99236670.43325257
2020-01-29,98734034.93816638
2020-01-30,96747282.20575543
2020-01-31,94883689.23600331
2020-02-03,94681179.64801413
2020-02-04,96610414.76303568
2020-02-05,95781348.45142321
2020-02-06,97350692.67206894
2020-02-07,97074051.90965259
2020-02-10,97567935.93172765
2020-02-11,99448024.83938956
2020-02-12,101460860.63108611
2020-02-13,101334947.15366384
2020-02-14,101096971.12528327
2020-02-17,101588021.33319035
2020-02-18,101406509.51955831
2020-02-19,104518181.748258
2020-02-20,105023024.1677872
2020-02-21,104549375.55374995
2020-02-24,103144791.37213784
2020-02-25,102529628.15342563
2020-02-26,102898370.37231824
2020-02-27,101280266.1645173
2020-02-28,99909183.26270464
2020-03-02,101320415.51320353
2020-03-03,100986386.209328
2020-03-04,104350216.3925872
2020-03-05,105025911.56422392
2020-03-06,104472885.57833049
2020-03-09,100725182.84889269
2020-03-10,101675751.67604151
2020-03-11,100591969.64951448
2020-03-12,98300244.94608098
2020-03-13,96501131.27857924
2020-03-16,96809942.65884434
2020-03-17,99473600.5510207
2020-03-18,98670859.43328014
2020-03-19,98286704.25342202
2020-03-20,98961196.56656611
2020-03-23,100542272.16550454
2020-03-24,101898972.8054163
2020-03-25,99087881.89512226
2020-03-26,96846936.8735837
2020-03-27,97803216.91354118
2020-03-30,98811222.51761395
2020-03-31,103932501.02282003
2020-04-01,99544291.87285778
2020-04-02,99035730.54223348
2020-04-03,99843461.8142954
2020-04-06,102581246.71177271
2020-04-07,99997676.14920975
2020-04-08,99399193.72760272
2020-04-09,97683344.71141703
2020-04-10,95539346.43572983
2020-04-13,98819789.03954192
2020-04-14,98551731.73413083
2020-04-16,98172784.13236451
2020-04-17,95506581.68869928
2020-04-20,96532086.14017431
2020-04-21,95947145.36196524
2020-04-22,96579668.9546511
2020-04-23,99835441.02500805
2020-04-24,98489446.87345515
2020-04-27,99371302.05188188
2020-04-28,99934909.87952344
2020-04-29,98041720.79698241
2020-05-04,97796816.33035392
2020-05-06,97147122.3674969
2020-05-07,97955710.76040283
2020-05-08,96347827.28827277
2020-05-11,95891524.91940276
2020-05-12,95659157.41548844
2020-05-13,95472403.90370785
2020-05-14,95475587.88688347
2020-05-15,95721501.89482842
2020-05-18,95021200.70019476
2020-05-19,92612734.79476635
2020-05-20,93539227.99994814
2020-05-21,93311878.57629624
2020-05-22,93758345.44772744
2020-05-25,96925312.58362806
2020-05-26,96292149.48626523
2020-05-27,99017192.71561022
2020-05-28,99935911.6903177
2020-05-29,99864343.1961382
2020-06-01,102814099.10979638
2020-06-02,105812753.05929142
2020-06-03,107778826.43287784
2020-06-04,105505997.76672074
2020-06-05,103816246.40741268
2020-06-08,101010536.6986737
2020-06-09,100676713.72354999
2020-06-10,99971708.11907294
2020-06-11,100702848.89482641
2020-06-12,97966430.03771491
2020-06-15,91777370.69930792
2020-06-16,96853104.32652931
2020-06-17,96522503.33979926
2020-06-18,96250968.43962657
2020-06-19,96132506.14436978
2020-06-22,98554701.61449762
2020-06-23,99685112.90865475
2020-06-24,100650109.62589665
2020-06-25,97350581.10487197
2020-06-26,97369518.13045806
2020-06-29,94490122.49118426
2020-06-30,95975675.20522347
2020-07-01,94799463.02367726
2020-07-02,94696675.2710991
2020-07-03,93502671.54425043
2020-07-06,93716409.64309993
2020-07-07,92875856.08869055
2020-07-08,92676614.14822872
2020-07-09,95362262.66613488
2020-07-10,95763409.6442854
2020-07-13,95372151.32931222
2020-07-14,95676493.19565515
2020-07-15,92921330.92536478
2020-07-16,90605415.39432105
2020-07-17,91350233.10051504
2020-07-20,93521411.53441843
2020-07-21,97590207.14758174
2020-07-22,105477455.93843532
2020-07-23,104761718.49385503
2020-07-24,107805978.23594669
2020-07-27,112426446.74082902
2020-07-28,110552455.24301209
2020-07-29,110241655.1064381
2020-07-30,110710648.65959886
2020-07-31,109939760.4768959
2020-08-03,111779733.76034611
2020-08-04,111779733.76034611
2020-08-05,111779733.76034611
2020-08-06,111779733.76034611
2020-08-07,111779733.76034611
2020-08-10,113276425.68835741
2020-08-11,114374021.77857018
2020-08-12,110608893.26532158
2020-08-13,111434561.44191617
2020-08-14,107489400.98026828
2020-08-18,106847852.2423458
2020-08-19,108984781.3031576
2020-08-20,108078269.16898501
2020-08-21,109909630.39267981
2020-08-24,110181530.64739996
2020-08-25,111243038.34992787
2020-08-26,110297740.77577704
2020-08-27,110220403.64738669
2020-08-28,110476231.89006872
2020-08-31,111321275.44440226
2020-09-01,110505719.26073453
2020-09-02,110385627.01384625
2020-09-03,111356621.80232978
2020-09-04,110779435.6177627
2020-09-07,112664588.27752641
2020-09-08,110890235.99119434
2020-09-09,112118717.60180748
2020-09-10,113896968.8536224
2020-09-11,114002487.70582515
2020-09-14,116240610.37183395
2020-09-15,116200607.1444308
2020-09-16,115605412.49685222
2020-09-17,115596259.51711705
2020-09-18,115336695.87731382
2020-09-21,114071041.30918038
2020-09-22,115936119.33802418
2020-09-23,114036325.35002694
2020-09-24,111891455.62571757
2020-09-25,111840969.822402
2020-09-28,113059943.51344982
2020-09-29,111639259.71566838
2020-10-05,111804783.11104244
2020-10-06,111804783.11104244
2020-10-07,111804783.11104244
2020-10-08,111804783.11104244
2020-10-12,110631429.98243931
2020-10-13,111130815.41354357
