date,equity
2020-01-02,54962285.38850403
2020-01-03,55692121.329538316
2020-01-06,124125028.96253194
2020-01-07,125102832.95702048
2020-01-08,125252643.58674227
2020-01-09,129181811.08122481
2020-01-10,129697605.20876327
2020-01-13,132154765.77213989
2020-01-14,131962218.50061405
2020-01-15,130415085.8281928
2020-01-16,131748176.78928949
2020-01-17,131437157.68635395
2020-01-20,126418743.49962342
2020-01-21,125222044.17724195
2020-01-22,127796063.17038974
2020-01-23,127671838.49118881
2020-01-28,129746537.50968951
2020-01-29,130445646.54995671
2020-01-30,128474596.97322886
2020-01-31,127508049.75458103
2020-02-03,129997464.29346798
2020-02-04,132379255.59761485
2020-02-05,132485850.44846313
2020-02-06,135123177.6419639
2020-02-07,135521877.84070283
2020-02-10,119234550.28366645
2020-02-11,118549702.87774621
2020-02-12,118603025.83211562
2020-02-13,116233954.11751643
2020-02-14,117072180.9212988
2020-02-17,116617122.92134795
2020-02-18,116703311.69630164
2020-02-19,123053293.8291583
2020-02-20,123148333.75193687
2020-02-21,121562101.83791755
2020-02-24,118807720.27824804
2020-02-25,117733306.7594661
2020-02-26,118260388.95283113
2020-02-27,116888319.91813281
2020-02-28,116460679.02370043
2020-03-02,116118777.71098505
2020-03-03,118459608.74170941
2020-03-04,122107072.97339341
2020-03-05,121758986.57644066
2020-03-06,120980141.32474
2020-03-09,119231552.382712
2020-03-10,118434020.0977669
2020-03-11,119338043.41365877
2020-03-12,119659116.8981739
2020-03-13,118303844.07601115
2020-03-16,123392996.53777663
2020-03-17,127821237.71092741
2020-03-18,128194407.54416615
2020-03-19,129399335.89734995
2020-03-20,128487087.15212601
2020-03-23,129301425.19442084
2020-03-24,131425355.17148635
2020-03-25,126716922.81525557
2020-03-26,125890192.46010202
2020-03-27,128675656.16660114
2020-03-30,134123320.58986023
2020-03-31,137483834.88902554
2020-04-01,135442211.1990731
2020-04-02,134759404.62722963
2020-04-03,135190985.1002121
2020-04-06,139565347.7669533
2020-04-07,138429961.92376465
2020-04-08,136865166.76387772
2020-04-09,135336632.6369003
2020-04-10,134236333.74637932
2020-04-13,132840269.32361464
2020-04-14,136292143.9505137
2020-04-16,137308874.70677042
2020-04-17,135872980.4732622
2020-04-20,136488670.3585726
2020-04-21,135369079.1591962
2020-04-22,135938072.9120553
2020-04-23,139674553.99701393
2020-04-24,138220718.26810616
2020-04-27,140742071.90303814
2020-04-28,141371465.21467912
2020-04-29,135753733.89348483
2020-05-04,135157538.10818666
2020-05-06,135428203.3041055
2020-05-07,135801600.06676272
2020-05-08,135604436.99274766
2020-05-11,134542235.4324746
2020-05-12,133252795.59497379
2020-05-13,132381675.40000856
2020-05-14,132009627.14638129
2020-05-15,133053413.44775154
2020-05-18,130880079.7664835
2020-05-19,126267053.23117504
2020-05-20,127840475.01480922
2020-05-21,126871023.58858714
2020-05-22,127697531.02402829
2020-05-25,131230264.36637047
2020-05-26,130748659.42518312
2020-05-27,135692223.78385362
2020-05-28,135831903.49917418
2020-05-29,135837202.6047655
2020-06-01,139645128.1585914
2020-06-02,145933915.69931838
2020-06-03,147361466.728379
2020-06-04,144161398.21820405
2020-06-05,141182531.94858822
2020-06-08,96913199.80441976
2020-06-09,96798416.58176132
2020-06-10,98501166.34398597
2020-06-11,98662247.48990113
2020-06-12,97173964.12774974
2020-06-15,132574793.66753529
2020-06-16,137454538.526012
2020-06-17,140453508.13444436
2020-06-18,139540569.2829699
2020-06-19,139987262.7005878
2020-06-22,138452831.10514802
2020-06-23,140191400.6865604
2020-06-24,140524869.26702952
2020-06-25,137212490.4989592
2020-06-26,136221265.43899953
2020-06-29,134932031.28095645
2020-06-30,136467443.50909203
2020-07-01,135089415.30760765
2020-07-02,132063351.92292282
2020-07-03,131168964.39314511
2020-07-06,130981360.38670553
2020-07-07,131048300.80364595
2020-07-08,131173571.33401988
2020-07-09,135042836.10169816
2020-07-10,136721287.8915471
2020-07-13,136190190.9470161
2020-07-14,136120511.07810557
2020-07-15,132332499.84778497
2020-07-16,127416844.17215616
2020-07-17,128544834.03715828
2020-07-20,130085905.64616822
2020-07-21,138571143.5817257
2020-07-22,141543704.0175772
2020-07-23,139692413.74018404
2020-07-24,136680608.10327485
2020-07-27,137525252.03279364
2020-07-28,136699157.88164708
2020-07-29,138080273.11030018
2020-07-30,138818380.08692366
2020-07-31,137377490.70482615
2020-08-03,139559738.3638255
2020-08-04,139559738.3638255
2020-08-05,139559738.3638255
2020-08-06,139559738.3638255
2020-08-07,139559738.3638255
2020-08-10,140864040.13778687
2020-08-11,142703886.8041374
2020-08-12,138784328.83268002
2020-08-13,139315393.44879407
2020-08-14,133614894.73616223
2020-08-18,131962400.65588978
2020-08-19,137729351.1196579
2020-08-20,137674178.0757642
2020-08-21,138807507.04172504
2020-08-24,139027377.4301096
2020-08-25,140229691.85168704
2020-08-26,140152559.66266942
2020-08-27,140622266.99477154
2020-08-28,140434812.25204554
2020-08-31,142148264.7718686
2020-09-01,138996901.34553072
2020-09-02,136239796.7437679
2020-09-03,144003140.30457136
2020-09-04,147730407.91416752
2020-09-07,148637021.20323518
2020-09-08,146069154.40246344
2020-09-09,141161821.5786531
2020-09-10,145623327.78991422
2020-09-11,147951254.42665797
2020-09-14,151999208.33504653
2020-09-15,151877968.36826903
2020-09-16,151183766.50037298
2020-09-17,148878868.5759006
2020-09-18,150027915.15776032
2020-09-21,149078709.0707273
2020-09-22,160254887.43252248
2020-09-23,153777369.1692435
2020-09-24,148110315.88269886
2020-09-25,149770509.1904503
2020-09-28,150265099.77198246
2020-09-29,148856831.13692313
2020-10-05,147430783.43544334
2020-10-06,147430783.43544334
2020-10-07,147430783.43544334
2020-10-08,147430783.43544334
2020-10-12,145620438.5742014
2020-10-13,147358469.09860775
2020-10-14,146887608.29728174
2020-10-15,147902485.26834646
2020-10-16,145199053.6488915
2020-10-19,142599669.48876238
2020-10-20,146228163.21515858
2020-10-21,145484335.95212692
2020-10-22,143887236.51300842
2020-10-23,147470983.73742124
