symbol,qty,abs_qty
A000210,14303.211343982644,14303.211343982644
A081660,10444.552523878483,10444.552523878483
A011200,6653.9155448874735,6653.9155448874735
A006800,6564.604832493778,6564.604832493778
A272210,5310.82943191927,5310.82943191927
A066970,4018.4910050439285,4018.4910050439285
A010950,3505.8651696837965,3505.8651696837965
A034230,2616.241065785816,2616.241065785816
A036570,1668.762938558473,1668.762938558473
A010130,-1396.6780157773408,1396.6780157773408
A011070,622.3412375957764,622.3412375957764
A267250,398.48844428404595,398.48844428404595
A002380,72.31069356490546,72.31069356490546
A298040,53.847508137108946,53.847508137108946
A051600,-0.3697810384053213,0.3697810384053213
A042660,-0.00042662983439417657,0.00042662983439417657
A003410,-2.4830993344542533e-85,2.4830993344542533e-85
