date,equity
2020-01-02,80729471.68219332
2020-01-03,82253042.83445093
2020-01-06,115350685.62752005
2020-01-07,116237539.56067932
2020-01-08,115597321.79675768
2020-01-09,116819825.45568213
2020-01-10,119716390.81686386
2020-01-13,122750221.24476132
2020-01-14,122694813.3811861
2020-01-15,121311846.95586349
2020-01-16,121014092.44891107
2020-01-17,121299916.10206577
2020-01-20,118886827.67135876
2020-01-21,115541284.92714371
2020-01-22,118357923.93491822
2020-01-23,117256296.1055972
2020-01-28,123845967.26449125
2020-01-29,122835645.74471442
2020-01-30,120922094.06337488
2020-01-31,119454386.73107927
2020-02-03,121399900.06336719
2020-02-04,125428753.23856273
2020-02-05,124443275.6960675
2020-02-06,125028869.15987176
2020-02-07,125789965.74558955
2020-02-10,113080660.79078025
2020-02-11,113196475.69623339
2020-02-12,113536073.82298094
2020-02-13,112753817.88838825
2020-02-14,112698301.33817117
2020-02-17,112332948.30818239
2020-02-18,112707353.13597913
2020-02-19,115516763.38316408
2020-02-20,115838829.51148412
2020-02-21,115662942.45639656
2020-02-24,114227433.14514755
2020-02-25,113867533.52548969
2020-02-26,114333844.82012343
2020-02-27,112515424.74691679
2020-02-28,112123586.40731066
2020-03-02,112428104.82876852
2020-03-03,111470163.749311
2020-03-04,114782738.99647832
2020-03-05,114180122.32594016
2020-03-06,114031961.67110932
2020-03-09,112913480.33631736
2020-03-10,114093184.7181722
2020-03-11,112186694.30723877
2020-03-12,112238219.54091512
2020-03-13,111169395.06193337
2020-03-16,112095184.68736419
2020-03-17,116985720.41218786
2020-03-18,116916461.69236925
2020-03-19,114520189.39642966
2020-03-20,118816346.948987
2020-03-23,120616859.02658823
2020-03-24,119584729.88465947
2020-03-25,113920354.12407283
2020-03-26,114956970.43505588
2020-03-27,117357817.75670612
2020-03-30,122859939.01447734
2020-03-31,126784737.69372557
2020-04-01,126064107.44920796
2020-04-02,125889956.46779932
2020-04-03,126343590.54065835
2020-04-06,131249679.18251051
2020-04-07,132802757.17930359
2020-04-08,132050175.3327174
2020-04-09,132336741.79158098
2020-04-10,131919714.34028144
2020-04-13,131164073.08814654
2020-04-14,132596406.77155541
2020-04-16,133435065.5349472
2020-04-17,130769674.58898279
2020-04-20,130732877.47652045
2020-04-21,131401416.32676612
2020-04-22,132011206.02453934
2020-04-23,133875407.69130665
2020-04-24,132228146.57064831
2020-04-27,132451080.60748154
2020-04-28,131860536.88854662
2020-04-29,126607550.45404187
2020-05-04,124627093.52511679
2020-05-06,126372180.97992253
2020-05-07,126997769.50317988
2020-05-08,127608776.53488258
2020-05-11,127258235.58682227
2020-05-12,128226304.98611596
2020-05-13,130031786.45680271
2020-05-14,131460121.18195198
2020-05-15,133270701.41608557
2020-05-18,131963674.41890466
2020-05-19,127465825.10483202
2020-05-20,128501587.70735659
2020-05-21,127350046.20813552
2020-05-22,127641239.36651473
2020-05-25,130808655.38817476
2020-05-26,125402486.48539257
2020-05-27,123391531.30531783
2020-05-28,126263813.75843616
2020-05-29,122697128.20316365
2020-06-01,123459289.03957056
2020-06-02,126782381.6930404
2020-06-03,131081670.60588188
2020-06-04,127967437.40020792
2020-06-05,127313298.87121134
2020-06-08,113502968.70575266
2020-06-09,113649627.87824644
2020-06-10,114725510.81410699
2020-06-11,114171923.78191622
2020-06-12,113081941.20116149
2020-06-15,121577639.46900187
2020-06-16,125356679.05934748
2020-06-17,127821356.63562037
2020-06-18,127515481.45229432
2020-06-19,127134246.16257715
2020-06-22,126212985.80618565
2020-06-23,127245698.34085771
2020-06-24,126988476.97218317
2020-06-25,124430934.20625082
2020-06-26,125118986.44066381
2020-06-29,122673737.1482904
2020-06-30,123813387.78052342
2020-07-01,123299269.41539992
2020-07-02,122267032.89275706
2020-07-03,122547053.42369229
2020-07-06,124106216.07316588
2020-07-07,124836077.57673374
2020-07-08,125370893.11770386
2020-07-09,129828581.62877414
2020-07-10,129932357.856632
2020-07-13,130872576.96215221
2020-07-14,133856618.54770486
2020-07-15,131488566.25903045
2020-07-16,128533672.71185516
2020-07-17,130841158.23724312
2020-07-20,132025192.5807938
2020-07-21,134813900.52982548
2020-07-22,141410210.8397674
2020-07-23,142872618.6935479
2020-07-24,145662517.74129564
2020-07-27,151181562.8673738
2020-07-28,152806000.3255211
2020-07-29,152238097.22331932
2020-07-30,153244076.138081
2020-07-31,154035224.70865625
2020-08-03,153946782.37312597
2020-08-04,153946782.37312597
2020-08-05,153946782.37312597
2020-08-06,153946782.37312597
2020-08-07,153946782.37312597
2020-08-10,158324097.864162
2020-08-11,157047922.55958223
2020-08-12,153406360.07211044
2020-08-13,151196894.06036735
2020-08-14,146584735.19643503
2020-08-18,135432731.95654583
2020-08-19,140051823.16529194
2020-08-20,138770397.12672877
2020-08-21,139348657.51649302
2020-08-24,152635989.324922
2020-08-25,156632524.5473131
2020-08-26,155195696.13992578
2020-08-27,153131055.93255824
2020-08-28,154938369.12929147
2020-08-31,154332140.19593072
2020-09-01,151477084.31469214
2020-09-02,148816471.22063303
2020-09-03,153421926.01371533
2020-09-04,155416249.39785123
2020-09-07,159131046.86342597
2020-09-08,155990000.88311654
2020-09-09,153484119.26066276
2020-09-10,157061265.87381113
2020-09-11,155316145.96638316
2020-09-14,155763626.1352967
2020-09-15,155472194.74762934
2020-09-16,154020994.14522898
2020-09-17,152932341.0785565
2020-09-18,152993878.93705484
2020-09-21,153396940.4580223
2020-09-22,150870825.47848538
2020-09-23,150331624.43089047
2020-09-24,147051622.17517534
2020-09-25,147161508.98774916
2020-09-28,148893653.18018693
2020-09-29,149505601.00856465
2020-10-05,148432046.9665383
2020-10-06,148432046.9665383
2020-10-07,148432046.9665383
2020-10-08,148432046.9665383
2020-10-12,146948144.26049787
2020-10-13,145493804.2837274
2020-10-14,144867554.920092
2020-10-15,145927289.16743156
2020-10-16,142040440.59567046
2020-10-19,142173063.44834673
2020-10-20,143680507.7420607
2020-10-21,142673581.90460283
2020-10-22,145001179.97656488
2020-10-23,145931726.15120542
2020-10-26,145391227.7576648
2020-10-27,145227874.25741768
2020-10-28,147291908.51751637
2020-10-29,146407331.34779787
2020-10-30,143258494.61317128
2020-11-02,145551560.6243062
2020-11-03,148046613.5516758
2020-11-04,146971248.77978164
2020-11-05,148616658.49580446
2020-11-06,148817920.52239326
2020-11-09,151675935.42638475
2020-11-10,153589779.83155406
2020-11-11,150143315.28852552
2020-11-12,149036402.7820786
2020-11-13,147104866.98054212
2020-11-16,149743129.3845304
2020-11-17,148968838.59557953
2020-11-18,148189845.86082035
2020-11-19,147334341.30619094
2020-11-20,143890057.3553188
2020-11-23,141045184.39450306
2020-11-24,139501929.19984645
2020-11-25,137253913.8409132
2020-11-26,138453207.98513973
2020-11-27,139190415.34412134
2020-11-30,144169451.6298884
2020-12-01,144997916.535924
2020-12-02,143412107.36120012
2020-12-03,143105258.05586487
2020-12-04,144207072.42020196
2020-12-07,147747241.42496464
2020-12-08,146560349.48413655
2020-12-09,148728099.5770498
2020-12-10,148952435.82033455
2020-12-11,152080858.73993433
2020-12-14,149427302.52386576
2020-12-15,149896012.86059168
2020-12-16,149834423.7074682
2020-12-17,151195934.171764
2020-12-18,151074014.24982607
2020-12-21,151965372.11673164
2020-12-22,149978032.11684206
2020-12-23,149419217.3565806
2020-12-24,150400364.89337796
2020-12-28,150789723.0016266
2020-12-29,151999832.29697844
2020-12-30,152730557.12813315
2021-01-04,155325579.11976072
2021-01-05,155325579.11976072
2021-01-06,155325579.11976072
2021-01-07,155325579.11976072
2021-01-08,155325579.11976072
2021-01-11,141429344.89613453
2021-01-12,142435090.06779295
2021-01-13,140452106.48493248
2021-01-14,140620923.1784867
2021-01-15,137964786.65015936
2021-01-18,144322759.30385274
2021-01-19,147091884.1186219
2021-01-20,149299185.08288997
2021-01-21,154743553.36887679
2021-01-22,158779076.7160672
2021-01-25,156693830.08115286
2021-01-26,154552343.66562483
2021-01-27,153072193.5885675
2021-01-28,152448995.53200132
2021-01-29,148196786.94520974
2021-02-01,155073980.20772183
2021-02-02,155595354.1715683
2021-02-03,156687148.38780755
2021-02-04,154271930.5832909
2021-02-05,154204668.3118037
2021-02-08,161501562.1302079
2021-02-09,158965223.60620838
2021-02-10,163711495.48881114
2021-02-15,153636099.1828816
2021-02-16,155138709.88126042
2021-02-17,158456459.0028512
2021-02-18,159478894.62504464
2021-02-19,158229938.647739
2021-02-22,156387628.837072
2021-02-23,158090721.01279753
2021-02-24,151842202.8901593
2021-02-25,155959420.07675105
2021-02-26,156019781.6088613
