date,equity
2020-01-02,52760813.84130853
2020-01-03,53437167.136256464
2020-01-06,120397874.4287813
2020-01-07,121971768.99924502
2020-01-08,122833135.78447548
2020-01-09,124493968.33244434
2020-01-10,125906298.79125294
2020-01-13,128213581.94924606
2020-01-14,128182665.23458529
2020-01-15,126481031.36043425
2020-01-16,127710045.30523326
2020-01-17,127574713.61848196
2020-01-20,124025601.59454283
2020-01-21,122769051.80963765
2020-01-22,125238875.2991448
2020-01-23,124219408.60139245
2020-01-28,125194158.53819314
2020-01-29,125736942.02934292
2020-01-30,124493528.51171514
2020-01-31,123431138.12491292
2020-02-03,127007882.28529844
2020-02-04,129427524.21322182
2020-02-05,129238720.08299181
2020-02-06,130515831.6878992
2020-02-07,130984683.02946055
2020-02-10,115697357.58924842
2020-02-11,115948366.73740634
2020-02-12,116445572.55856803
2020-02-13,115950205.99210973
2020-02-14,116695168.89665718
2020-02-17,115458971.07229835
2020-02-18,116017919.50633681
2020-02-19,119546989.23023912
2020-02-20,120241371.54488075
2020-02-21,119640922.03250027
2020-02-24,117911137.95186383
2020-02-25,117629723.90436962
2020-02-26,118364113.04013357
2020-02-27,116368699.07333638
2020-02-28,115910644.78005615
2020-03-02,116219323.76328272
2020-03-03,115356348.81334126
2020-03-04,118922205.25929624
2020-03-05,118130947.86761764
2020-03-06,117846696.5499992
2020-03-09,116331447.82196385
2020-03-10,117699685.35742448
2020-03-11,116072563.8473343
2020-03-12,115786484.69224265
2020-03-13,114665396.38154
2020-03-16,116465837.83278592
2020-03-17,120769497.93018015
2020-03-18,120408028.37321675
2020-03-19,120455216.12698996
2020-03-20,122454680.68435276
2020-03-23,126173222.66298586
2020-03-24,123650935.19383483
2020-03-25,116163615.6484494
2020-03-26,119100946.24574983
2020-03-27,123147046.08521134
2020-03-30,131295120.25047486
2020-03-31,134955127.47089612
2020-04-01,132678564.66365823
2020-04-02,131488731.01040916
2020-04-03,133249836.04815732
2020-04-06,135884867.62992436
2020-04-07,134012479.58670516
2020-04-08,132604512.72940204
2020-04-09,130102716.72574258
2020-04-10,128448094.89424145
2020-04-13,130281193.5271658
2020-04-14,134081654.27659892
2020-04-16,136616617.95297313
2020-04-17,132478587.16142726
2020-04-20,136115320.22048098
2020-04-21,136926243.63341278
2020-04-22,139420880.03005928
2020-04-23,144845215.56708845
2020-04-24,146331483.3569752
2020-04-27,148721628.0761927
2020-04-28,147574244.3641026
2020-04-29,141804949.45353922
2020-05-04,139719930.13944253
2020-05-06,142351252.98599264
2020-05-07,143647489.56725958
2020-05-08,143963508.8342137
2020-05-11,145479494.85662967
2020-05-12,148251521.02596876
2020-05-13,149958227.82418063
2020-05-14,154752597.02830106
2020-05-15,155933018.56305122
2020-05-18,155255012.01582682
2020-05-19,148818553.40199453
2020-05-20,150241244.46766204
2020-05-21,148294252.6584251
2020-05-22,148746414.7828999
2020-05-25,152814384.3139172
2020-05-26,149826406.48362374
2020-05-27,149016997.5726522
2020-05-28,151091725.03852513
2020-05-29,146060747.02077895
2020-06-01,150195622.1658244
2020-06-02,148135741.75610548
2020-06-03,143171006.86089212
2020-06-04,145550432.24057415
2020-06-05,145612826.9084975
2020-06-08,112149659.78587765
2020-06-09,111908076.76168424
2020-06-10,112783888.60471375
2020-06-11,112642684.48688862
2020-06-12,110603105.51449212
2020-06-15,134706162.40410694
2020-06-16,140714912.01630902
