date,equity
2020-01-02,80919803.08111468
2020-01-03,82743709.19343278
2020-01-06,113211165.5761814
2020-01-07,113232174.04899146
2020-01-08,112246386.72391254
2020-01-09,114689695.49256876
2020-01-10,116782501.58337158
2020-01-13,118690433.70864016
2020-01-14,118701498.47224277
2020-01-15,117418517.61738874
2020-01-16,117221537.8487299
2020-01-17,117560309.42478718
2020-01-20,116092762.1745055
2020-01-21,113776374.8632113
2020-01-22,115302230.0083322
2020-01-23,114209662.58646205
2020-01-28,119924545.65467328
2020-01-29,118682454.39453058
2020-01-30,116339224.00686729
2020-01-31,114693978.2465328
2020-02-03,115234971.43140508
2020-02-04,116127402.35758999
2020-02-05,115203697.08866143
2020-02-06,116365632.6720233
2020-02-07,115748816.86693141
2020-02-10,106408960.18634652
2020-02-11,107281512.52106339
2020-02-12,107500041.25834817
2020-02-13,106927554.83833635
2020-02-14,107115676.92640586
2020-02-17,106950237.59622473
2020-02-18,107524584.97320335
2020-02-19,110869489.15083921
2020-02-20,111406091.92686
2020-02-21,111131388.17981054
2020-02-24,110047061.25040618
2020-02-25,109788362.1181669
2020-02-26,109389562.79404676
2020-02-27,109756396.57884246
2020-02-28,108979650.11022988
2020-03-02,108665405.54584187
2020-03-03,109943687.74275306
2020-03-04,112625866.97130316
2020-03-05,113146033.6495443
2020-03-06,113167329.0875106
2020-03-09,110805423.24882723
2020-03-10,109743016.23453005
2020-03-11,107412357.42952919
2020-03-12,105870515.07403731
2020-03-13,103565826.60491946
2020-03-16,105784080.49860431
2020-03-17,107917448.19869235
2020-03-18,108364484.88898039
2020-03-19,105388332.5329411
2020-03-20,108409737.41058806
2020-03-23,109162654.18301794
2020-03-24,109676376.39174348
2020-03-25,106063972.71102181
2020-03-26,104967650.65298745
2020-03-27,107128562.11114907
2020-03-30,110421667.412399
2020-03-31,115423526.3186354
2020-04-01,120998059.06615844
2020-04-02,118546145.36634926
2020-04-03,116031682.57427779
2020-04-06,123671675.66861567
2020-04-07,127099487.46104777
2020-04-08,127315136.28844202
2020-04-09,128294414.2378364
2020-04-10,127152739.52979556
2020-04-13,124475810.71562982
2020-04-14,126404026.96659786
2020-04-16,127998720.7525374
2020-04-17,126930187.44926307
2020-04-20,128563792.72406395
2020-04-21,128443239.70442475
2020-04-22,128868392.5758681
2020-04-23,131406079.0813114
2020-04-24,131082083.23984478
2020-04-27,134195028.6526245
2020-04-28,139443156.6713829
2020-04-29,136407571.90056756
2020-05-04,134003254.24921216
2020-05-06,134383200.95240754
2020-05-07,134917145.36533225
2020-05-08,135350396.39358068
2020-05-11,122038920.40433025
2020-05-12,121117337.49959101
2020-05-13,120945174.85950059
2020-05-14,120311428.25616598
2020-05-15,121491574.77568482
2020-05-18,131706917.62597613
2020-05-19,129624991.08584905
2020-05-20,130040557.28878547
2020-05-21,129287726.16783708
2020-05-22,129638779.55609332
2020-05-25,132234675.69734356
2020-05-26,128730504.33065823
2020-05-27,132421757.99133399
2020-05-28,134180953.63074563
2020-05-29,133131655.74764815
2020-06-01,117928754.47068116
2020-06-02,122304987.70133206
2020-06-03,126197121.86739102
2020-06-04,123657771.49695858
2020-06-05,122188105.22937098
2020-06-08,138779989.92701468
2020-06-09,138607116.85724607
2020-06-10,139731463.62098527
2020-06-11,141129804.0233874
2020-06-12,140161352.13019305
2020-06-15,149099498.18682837
2020-06-16,151571028.63957343
2020-06-17,152680047.2239515
2020-06-18,152482224.72319952
2020-06-19,153573312.0884452
2020-06-22,154341800.64718264
2020-06-23,156504932.44962943
2020-06-24,157751781.11830854
2020-06-25,155955538.25997758
2020-06-26,154485790.04467088
2020-06-29,152036182.77995577
2020-06-30,153167286.34016776
2020-07-01,152478791.97349328
2020-07-02,153169557.9651623
2020-07-03,153161504.41313773
2020-07-06,154907065.3453201
2020-07-07,155119374.38764
2020-07-08,155644385.82545313
2020-07-09,157575315.16616464
2020-07-10,156710698.45620453
2020-07-13,156476724.28064686
2020-07-14,156708098.48141792
2020-07-15,154980953.5415482
2020-07-16,154456852.24241823
2020-07-17,155545728.24884135
2020-07-20,157961810.6398378
2020-07-21,157854386.64388862
2020-07-22,165280715.69643706
2020-07-23,164623926.9111379
2020-07-24,167368594.3847868
2020-07-27,172783148.15575963
2020-07-28,172612383.0002311
2020-07-29,172731591.65913504
2020-07-30,175712933.88557798
2020-07-31,173745574.74322605
2020-08-03,177176029.53806484
2020-08-04,177176029.53806484
2020-08-05,177176029.53806484
2020-08-06,177176029.53806484
2020-08-07,177176029.53806484
2020-08-10,180997777.6082971
2020-08-11,180104742.7759346
2020-08-12,177319142.42518303
2020-08-13,175286001.97532493
2020-08-14,170179854.69131613
2020-08-18,165556475.15032187
2020-08-19,169475019.85674256
2020-08-20,169269754.43588847
2020-08-21,169270074.86489984
2020-08-24,179593519.08553576
2020-08-25,183699728.81594014
2020-08-26,182027970.3027463
2020-08-27,181636316.65797418
2020-08-28,183609430.325287
2020-08-31,181383313.24140573
2020-09-01,177179124.25599498
2020-09-02,175083125.88254368
