date,equity
2020-01-02,108251855.49074318
2020-01-03,109334293.3781487
2020-01-06,96850633.76446697
2020-01-07,98928449.12235548
2020-01-08,97091413.88326433
2020-01-09,99281937.89247116
2020-01-10,101465530.89364417
2020-01-13,106204150.30811585
2020-01-14,106204972.87464629
2020-01-15,106063122.74354102
2020-01-16,106788108.82992409
2020-01-17,107208344.95953244
2020-01-20,105262290.75663139
2020-01-21,104695175.73508742
2020-01-22,106362448.12712176
2020-01-23,108160819.44945855
2020-01-28,105300312.31650618
2020-01-29,107155904.98466067
2020-01-30,106449108.6786321
2020-01-31,103601249.7746672
2020-02-03,102948636.61958236
2020-02-04,105339131.80078879
2020-02-05,104456541.48426752
2020-02-06,106100099.54292108
2020-02-07,105195718.94534127
2020-02-10,103676868.43521082
2020-02-11,103068186.29288052
2020-02-12,103181510.63347365
2020-02-13,103570085.98888342
2020-02-14,104197787.72724807
2020-02-17,105374205.88571686
2020-02-18,102966933.18674654
2020-02-19,105328240.38436764
2020-02-20,106274302.90025501
2020-02-21,106031769.86662792
2020-02-24,104745403.25740618
2020-02-25,102304222.80567443
2020-02-26,99368494.58079205
2020-02-27,97798236.35093763
2020-02-28,94727091.63479567
2020-03-02,97153057.6531308
2020-03-03,96364856.19595101
2020-03-04,95168362.76629066
2020-03-05,92727108.77571474
2020-03-06,93679934.45229408
2020-03-09,94865518.81798851
2020-03-10,95340852.16857807
2020-03-11,96135148.24945165
2020-03-12,98157299.08891684
2020-03-13,100534296.22155891
2020-03-16,101659903.12362906
2020-03-17,103571443.55096477
2020-03-18,107552284.77318561
2020-03-19,113508900.16263828
2020-03-20,110463833.620935
2020-03-23,113122012.3506392
2020-03-24,106756045.39417121
2020-03-25,98525699.26739699
2020-03-26,97666664.44138293
2020-03-27,97038191.09734195
2020-03-30,103767713.30399802
2020-03-31,105046635.67498888
2020-04-01,103744704.83925922
2020-04-02,103897918.98910157
2020-04-03,102931074.13462228
2020-04-06,104646383.16602534
2020-04-07,104809795.96696085
2020-04-08,104390340.22868009
2020-04-09,105002307.72704372
2020-04-10,107878665.0568289
2020-04-13,107356609.99870569
2020-04-14,107837986.85038683
2020-04-16,108485552.88247897
2020-04-17,108249720.36053897
2020-04-20,109283608.51368776
2020-04-21,109705349.484114
2020-04-22,109954726.84536165
2020-04-23,111976379.64792654
2020-04-24,110160354.00968501
2020-04-27,109222320.81177622
2020-04-28,109122857.55855772
2020-04-29,105349808.3828648
2020-05-04,104237422.6227901
2020-05-06,105139003.04515745
2020-05-07,104910819.11226632
2020-05-08,106591822.91916358
2020-05-11,105734178.13499117
2020-05-12,107477341.07388744
2020-05-13,108862795.9853026
2020-05-14,110248103.31128761
2020-05-15,110202607.78079215
2020-05-18,109505887.67773362
2020-05-19,106158985.55556062
2020-05-20,107890573.08930759
2020-05-21,107410271.90076117
2020-05-22,108060028.10036854
2020-05-25,111017499.82519296
2020-05-26,106529046.9398081
2020-05-27,104252726.13133256
2020-05-28,107362209.21096687
2020-05-29,105632546.7205846
2020-06-01,104981267.06172268
2020-06-02,108452925.93897642
2020-06-03,111828876.36253166
2020-06-04,109803273.43765147
2020-06-05,110246360.1285997
2020-06-08,110287632.80905169
2020-06-09,111298856.75491893
2020-06-10,112307349.97760355
2020-06-11,112493072.44715786
2020-06-12,112665408.57587917
2020-06-15,105624658.02591813
2020-06-16,112741925.90799819
2020-06-17,111982838.70024061
2020-06-18,109962577.55369468
2020-06-19,108802768.15258336
2020-06-22,109090689.21629483
2020-06-23,109582356.67279685
2020-06-24,109505744.3137843
2020-06-25,105897034.5714738
2020-06-26,108591178.87140855
2020-06-29,101289367.12309109
2020-06-30,101240986.47256163
2020-07-01,105697651.25269766
2020-07-02,110403692.48691359
2020-07-03,112091461.9534984
2020-07-06,115624305.77777758
2020-07-07,116871941.5516375
2020-07-08,117533753.47838819
2020-07-09,121999141.58314216
2020-07-10,122151108.42342278
2020-07-13,120713419.59177993
2020-07-14,122337841.3229776
2020-07-15,120170671.00636867
2020-07-16,116923774.2596772
2020-07-17,116742352.33083798
2020-07-20,116741708.1583586
