symbol,qty,abs_qty
A011170,6616.335137446909,6616.335137446909
A015760,-2156.697308179443,2156.697308179443
A272210,1646.5468759953246,1646.5468759953246
A004370,-1098.5245517538415,1098.5245517538415
A006400,405.074717574326,405.074717574326
A000660,109.43600032628932,109.43600032628932
A000100,-8.9536792470426,8.9536792470426
A030000,-0.06564695072624005,0.06564695072624005
A001680,-0.00013910337004952034,0.00013910337004952034
A114090,-0.00012012010366651421,0.00012012010366651421
A032640,-2.6491875190810463e-05,2.6491875190810463e-05
A021240,-1.916307188874148e-05,1.916307188874148e-05
A003550,-1.853420018765612e-05,1.853420018765612e-05
A071320,-1.3452560328985202e-05,1.3452560328985202e-05
A042660,-6.056331937193821e-06,6.056331937193821e-06
A259960,-2.770758183913251e-06,2.770758183913251e-06
A329180,-6.62481827539296e-09,6.62481827539296e-09
A064350,-1.5893098798192876e-10,1.5893098798192876e-10
A009420,-4.347462863864869e-12,4.347462863864869e-12
