date,equity
2020-01-02,102853960.25983293
2020-01-03,104303402.98453362
2020-01-06,89891384.84638457
2020-01-07,92078053.84723935
2020-01-08,90189040.77015783
2020-01-09,92406694.61910284
2020-01-10,93857501.78201604
2020-01-13,99040384.7605538
2020-01-14,98237224.19212313
2020-01-15,98507728.7554102
2020-01-16,99385978.23984864
2020-01-17,99323060.74643715
2020-01-20,97555719.2047596
2020-01-21,96685359.10864252
2020-01-22,98126329.62655523
2020-01-23,97781126.26577275
2020-01-28,93432191.65527114
2020-01-29,94915239.9443946
2020-01-30,93796625.52367564
2020-01-31,91663547.44800825
2020-02-03,91080081.75672844
2020-02-04,93352401.62963
2020-02-05,92519338.66278556
2020-02-06,94322254.15971929
2020-02-07,93996899.30070081
2020-02-10,92877964.4315351
2020-02-11,92369189.2672627
2020-02-12,92255476.90656519
2020-02-13,92546798.98055984
2020-02-14,93166575.68249466
2020-02-17,93779712.37649843
2020-02-18,91541071.26781148
2020-02-19,93673232.56551896
2020-02-20,94484529.8312273
2020-02-21,94247915.72908035
2020-02-24,93125336.59678172
2020-02-25,90829957.78582019
2020-02-26,88038825.46902311
2020-02-27,86597479.2227263
2020-02-28,83781757.75424735
2020-03-02,85688202.0785572
2020-03-03,84909058.29797392
2020-03-04,83776280.16149886
2020-03-05,81292410.15388691
2020-03-06,82099483.97232957
2020-03-09,82839755.4774648
2020-03-10,83501626.216964
2020-03-11,84406260.3469186
2020-03-12,86299435.62609431
2020-03-13,88400954.40249142
2020-03-16,89589882.01191917
2020-03-17,91231001.06642514
2020-03-18,94280848.68659312
2020-03-19,100079372.1775722
2020-03-20,96430936.77190852
2020-03-23,99284625.80723253
2020-03-24,93288459.29414438
2020-03-25,86436668.9951806
2020-03-26,85863595.7282059
2020-03-27,85117607.20749825
2020-03-30,86981005.94538072
2020-03-31,85968656.91330567
2020-04-01,87051531.29318863
2020-04-02,86059077.02639824
2020-04-03,86678728.93067741
2020-04-06,88641919.19497326
2020-04-07,86222839.06581941
2020-04-08,85726131.49127892
2020-04-09,83716596.81193791
2020-04-10,81422596.51516046
2020-04-13,84248917.13390784
2020-04-14,85262792.65578729
2020-04-16,85202062.96727137
2020-04-17,82855274.07999739
2020-04-20,83818008.40284222
2020-04-21,84700158.84895378
2020-04-22,85397053.91060951
2020-04-23,88494392.60783489
2020-04-24,87769146.58756778
2020-04-27,87509410.90639761
2020-04-28,87524263.98557377
2020-04-29,84767213.08686754
2020-05-04,84488855.9235777
2020-05-06,85246893.09106313
2020-05-07,84742709.78083655
2020-05-08,84238792.1467291
2020-05-11,84237651.91856962
2020-05-12,85775695.73255855
2020-05-13,86449676.17532909
2020-05-14,87740551.42980337
2020-05-15,87506229.97294307
2020-05-18,86962229.35364336
2020-05-19,84836988.08567096
2020-05-20,85649667.06736483
2020-05-21,85241398.71468008
2020-05-22,85211957.320304
2020-05-25,87743054.97924316
2020-05-26,86488884.64547256
2020-05-27,86207991.96955642
2020-05-28,88414830.09657797
2020-05-29,86573263.59173687
2020-06-01,88047062.0994876
2020-06-02,87242214.93534258
2020-06-03,88645328.40875088
2020-06-04,89044108.25514036
2020-06-05,89131778.23277824
2020-06-08,87941430.64421943
2020-06-09,87092746.59554307
2020-06-10,87129774.3859592
2020-06-11,86692556.75838222
2020-06-12,85265229.66858867
2020-06-15,79255411.24728523
2020-06-16,84096900.2313865
2020-06-17,84255377.5020285
2020-06-18,83721874.84011687
2020-06-19,83833336.36158617
2020-06-22,82555290.55366737
2020-06-23,83507321.26415408
2020-06-24,84429773.22396664
2020-06-25,81095870.03292412
2020-06-26,80744662.11813739
2020-06-29,78331742.65007013
2020-06-30,79985666.49618095
2020-07-01,78602415.65879807
2020-07-02,77970324.78203142
2020-07-03,78030075.8278999
2020-07-06,78944509.4713873
2020-07-07,77943228.95152214
2020-07-08,78461805.34246188
2020-07-09,81845395.48952621
2020-07-10,81217405.49739748
2020-07-13,81042021.11903577
2020-07-14,82784635.44295104
2020-07-15,80160683.08058988
2020-07-16,78699201.941171
2020-07-17,78654736.94754148
2020-07-20,78911916.84057514
2020-07-21,83577231.93428612
2020-07-22,90753197.05589287
2020-07-23,90074121.09159154
2020-07-24,93433302.04596454
2020-07-27,92872168.32521442
2020-07-28,92130971.48901013
2020-07-29,92859558.42242336
2020-07-30,93150565.51775669
2020-07-31,93393847.91307259
2020-08-03,99410609.3830558
2020-08-04,99410609.3830558
2020-08-05,99410609.3830558
2020-08-06,99410609.3830558
2020-08-07,99410609.3830558
2020-08-10,102274412.76619333
2020-08-11,102503156.22328183
2020-08-12,97720365.18487078
