date,equity
2020-01-02,102736285.93149059
2020-01-03,103699408.22355409
2020-01-06,91810693.88816822
2020-01-07,94278120.97964253
2020-01-08,92336184.64217839
2020-01-09,94482666.45780912
2020-01-10,96003090.52623692
2020-01-13,101194422.19880995
2020-01-14,100457602.65259124
2020-01-15,100521882.18477014
2020-01-16,101338616.48185466
2020-01-17,101077973.84638757
2020-01-20,99403007.82193267
2020-01-21,98670977.31883892
2020-01-22,100467118.82970023
2020-01-23,99768723.58480671
2020-01-28,96035185.09096965
2020-01-29,96933850.9618845
2020-01-30,95673607.46584257
2020-01-31,93521572.36368275
2020-02-03,92578261.58197826
2020-02-04,94884650.04200932
2020-02-05,94397501.81978303
2020-02-06,96481268.58049046
2020-02-07,96144449.54922095
2020-02-10,96179992.07847589
2020-02-11,95984300.90754908
2020-02-12,96830759.18740493
2020-02-13,97457469.09794311
2020-02-14,99867959.95570874
2020-02-17,99981663.14372233
2020-02-18,97598475.85598458
2020-02-19,99872485.46524309
2020-02-20,100738116.78815894
2020-02-21,100488777.41947827
2020-02-24,99296904.087925
2020-02-25,96849380.3488007
2020-02-26,93873251.66170125
2020-02-27,92336504.17191893
2020-02-28,89334155.28190792
2020-03-02,92477502.17746231
2020-03-03,92317316.54134125
2020-03-04,94462711.01190819
2020-03-05,92483896.09949496
2020-03-06,91165978.23641817
2020-03-09,88739391.20482753
2020-03-10,89450009.51365337
2020-03-11,90421271.02616695
2020-03-12,92453880.92249908
2020-03-13,94710179.06309825
2020-03-16,95897966.1122356
2020-03-17,97673755.93833783
2020-03-18,100885281.28785858
2020-03-19,107086477.08120252
2020-03-20,103193104.19003296
2020-03-23,106245956.77288523
2020-03-24,99829238.31312904
2020-03-25,92496885.35098694
2020-03-26,91883618.55745094
2020-03-27,91085308.78717645
2020-03-30,94062780.75692296
2020-03-31,92758960.45841464
2020-04-01,89907788.35809538
2020-04-02,90254126.94381091
2020-04-03,89635826.71462211
2020-04-06,91388073.79286167
2020-04-07,89086050.29396985
2020-04-08,88552882.03997806
2020-04-09,87024074.73814458
2020-04-10,85114117.06393519
2020-04-13,88036005.41582745
2020-04-14,87797200.34410864
2020-04-16,87459605.46143895
2020-04-17,85084353.17536089
2020-04-20,85997948.55412632
2020-04-21,85476839.88511053
2020-04-22,86040338.8602812
2020-04-23,88940822.3237203
2020-04-24,87741710.81050777
2020-04-27,88527332.86960818
2020-04-28,89029436.56287864
2020-04-29,87342843.18395197
2020-05-04,87124423.17614499
2020-05-06,86545939.3688512
2020-05-07,87265933.58652562
2020-05-08,85833556.16923228
2020-05-11,85427199.44671944
2020-05-12,85220187.42820856
2020-05-13,85053813.66415678
2020-05-14,85056650.1920148
2020-05-15,85275728.16393203
2020-05-18,84711181.58625871
2020-05-19,82628469.03689554
2020-05-20,83467034.40480977
2020-05-21,83290222.19604242
2020-05-22,83676531.3188572
2020-05-25,86550911.67899096
2020-05-26,85800210.51429468
2020-05-27,88271204.84114347
2020-05-28,89228280.30444108
2020-05-29,89257390.09196289
2020-06-01,91834699.74846835
2020-06-02,94512862.51933658
2020-06-03,96269434.46215981
2020-06-04,94239584.87604935
2020-06-05,92730663.72362816
2020-06-08,91000055.08796406
2020-06-09,90698729.89628036
2020-06-10,90865720.56742954
2020-06-11,90672573.98664415
2020-06-12,89296495.56718999
2020-06-15,83366436.59935816
2020-06-16,87976982.57119186
2020-06-17,87676392.192537
2020-06-18,87429842.37356505
2020-06-19,87322266.34176826
2020-06-22,89522376.92773205
2020-06-23,90549210.55455542
2020-06-24,91425744.21347973
2020-06-25,88428657.20301294
2020-06-26,88445854.7320072
2020-06-29,85659720.1790225
2020-06-30,87109182.78743672
2020-07-01,86045585.85567452
2020-07-02,86001614.96963091
2020-07-03,85026735.64047271
2020-07-06,85280949.6613096
2020-07-07,84516435.09666577
2020-07-08,84335192.20929453
2020-07-09,86779662.781943
2020-07-10,87144984.87232131
2020-07-13,86789005.8202895
2020-07-14,87065958.06605701
2020-07-15,84558750.13320751
2020-07-16,82451258.06770518
2020-07-17,83129044.93727514
2020-07-20,84854039.94798422
2020-07-21,88019871.93010587
2020-07-22,94729850.68632105
2020-07-23,94021330.49987432
2020-07-24,96685894.56560895
2020-07-27,100450301.21809016
2020-07-28,98930240.58143689
2020-07-29,98520524.45928755
2020-07-30,98854758.29341647
2020-07-31,98124840.01832454
2020-08-03,99735228.75602707
2020-08-04,99735228.75602707
2020-08-05,99735228.75602707
2020-08-06,99735228.75602707
2020-08-07,99735228.75602707
2020-08-10,101773606.41250427
2020-08-11,103469020.17834267
2020-08-12,99934694.18539724
2020-08-13,101145739.9753862
2020-08-14,96954126.66106945
2020-08-18,96464295.48727873
2020-08-19,98393539.5372014
2020-08-20,97575120.56615916
2020-08-21,99228491.49376145
2020-08-24,99223929.91316923
2020-08-25,99442445.66206671
2020-08-26,98845463.2320971
2020-08-27,99031767.70575184
2020-08-28,98890961.74511923
2020-08-31,99723094.87490523
2020-09-01,98992563.23833886
2020-09-02,98884970.43205741
2020-09-03,99754833.0365291
2020-09-04,99237553.93650007
2020-09-07,98604707.77469887
2020-09-08,97114099.63411552
2020-09-09,97897783.00174744
2020-09-10,99377245.96129481
2020-09-11,98911103.43106598
2020-09-14,100903328.38246235
2020-09-15,101171132.38864627
2020-09-16,99863614.57226104
2020-09-17,98240099.3525055
2020-09-18,98512444.86232555
2020-09-21,97838525.85168228
2020-09-22,98606212.65748395
2020-09-23,96220126.43176174
2020-09-24,94044538.12087585
2020-09-25,94297095.07253018
2020-09-28,94793707.11490667
2020-09-29,93331884.15034634
2020-10-05,93460776.85937262
2020-10-06,93460776.85937262
2020-10-07,93460776.85937262
2020-10-08,93460776.85937262
2020-10-12,91904477.80467948
2020-10-13,92675913.48080638
