date,equity
2020-01-02,119613124.16805829
2020-01-03,120436700.87411575
2020-01-06,110404208.66413851
2020-01-07,113839599.16907999
2020-01-08,111649805.44643588
2020-01-09,113926706.9275665
2020-01-10,116882573.15208182
2020-01-13,121412510.26418537
2020-01-14,120469202.37029636
2020-01-15,120457374.63986917
2020-01-16,120059914.39192325
2020-01-17,119826785.73098521
2020-01-20,118569229.6290658
2020-01-21,112982420.58843802
2020-01-22,115835178.29162382
2020-01-23,115494428.12415704
2020-01-28,112134690.21078163
2020-01-29,113165035.7757976
2020-01-30,111561174.29949968
2020-01-31,109022822.13952306
2020-02-03,108300310.31104447
2020-02-04,110544502.30021557
2020-02-05,109818452.88521299
2020-02-06,112425038.78346775
2020-02-07,109663211.64964081
2020-02-10,111096559.93867427
2020-02-11,109509495.36812243
2020-02-12,110877868.26631302
2020-02-13,114414466.08385363
2020-02-14,117208288.90394458
2020-02-17,117872541.92516965
2020-02-18,114723698.58857948
2020-02-19,116724170.50765766
2020-02-20,117334432.12397748
2020-02-21,116345727.905932
2020-02-24,115317255.61997326
2020-02-25,114636108.85466568
2020-02-26,112205765.4404844
2020-02-27,108560726.27985135
2020-02-28,104171905.74645358
2020-03-02,110789814.82131952
2020-03-03,109602152.47933194
2020-03-04,110335414.75221238
2020-03-05,107589339.68351781
2020-03-06,106347668.89837672
2020-03-09,101202418.12955886
2020-03-10,104958054.45832527
2020-03-11,99531800.30584623
2020-03-12,98471463.343938
2020-03-13,97602968.57481688
2020-03-16,91632402.89682007
2020-03-17,92874383.00204328
2020-03-18,86913117.13569215
2020-03-19,86355032.0406793
2020-03-20,92759207.97300225
2020-03-23,95701544.810686
2020-03-24,105178585.69519041
2020-03-25,103671289.88770635
2020-03-26,98746768.70899951
2020-03-27,101230316.07106882
2020-03-30,101893350.88176718
2020-03-31,102118174.9211888
2020-04-01,99864776.84637025
2020-04-02,100397003.20317996
2020-04-03,99313621.42094488
2020-04-06,100399142.50705802
2020-04-07,100225550.01905413
2020-04-08,100422776.29428717
2020-04-09,100376491.21694799
2020-04-10,100576294.08641323
2020-04-13,101391524.97906366
2020-04-14,101942425.3669149
2020-04-16,102300383.81619442
2020-04-17,101421217.49803847
2020-04-20,102617845.6951728
2020-04-21,101815483.55445677
2020-04-22,102434659.39636865
2020-04-23,106534273.70858483
2020-04-24,105364411.44654305
2020-04-27,108024633.75562584
2020-04-28,110690479.12386361
2020-04-29,108695087.70985672
2020-05-04,107280888.63291639
2020-05-06,107202035.82161058
2020-05-07,108518108.44407377
2020-05-08,109843389.14105982
2020-05-11,104224050.76985541
2020-05-12,103677885.55177595
2020-05-13,103597766.37150165
2020-05-14,104031283.83226047
2020-05-15,104013124.26055875
2020-05-18,107821194.22424284
2020-05-19,106092636.69547072
2020-05-20,106928464.0704275
2020-05-21,106908030.61404018
2020-05-22,107576799.0643297
2020-05-25,110074239.66763626
2020-05-26,106271630.07098342
2020-05-27,109822780.94826153
2020-05-28,111479115.31995182
2020-05-29,111330148.42739734
2020-06-01,104371790.93659648
2020-06-02,110647121.47531667
2020-06-03,117314525.21240488
2020-06-04,115450228.5996005
2020-06-05,113161277.7062963
2020-06-08,128204361.47368422
2020-06-09,129518762.76511107
2020-06-10,132415447.67701526
2020-06-11,134622526.4505015
2020-06-12,133955266.89113125
2020-06-15,130975082.0286045
2020-06-16,136086721.22145206
2020-06-17,137906207.27014172
2020-06-18,136116562.83766901
2020-06-19,135088386.263795
2020-06-22,140318267.55366707
2020-06-23,140767936.2285565
2020-06-24,142385816.54535937
2020-06-25,140608340.96218145
2020-06-26,140956036.73205686
2020-06-29,137353742.8799181
2020-06-30,138001989.81719428
2020-07-01,138487587.3214637
2020-07-02,142364067.7108773
2020-07-03,142528470.5581854
2020-07-06,144916486.5429718
2020-07-07,145832654.8216719
2020-07-08,145696991.2482012
2020-07-09,148107151.72552723
2020-07-10,147934029.89581808
2020-07-13,146377979.06164116
2020-07-14,147575263.2563451
2020-07-15,146078325.16564348
2020-07-16,144751671.7559495
2020-07-17,145539080.28680512
