symbol,qty,abs_qty
A000210,21122.696756216177,21122.696756216177
A139130,-6133.375403500191,6133.375403500191
A008770,-3164.779622539832,3164.779622539832
A015760,-2163.1516019041746,2163.1516019041746
A047050,2059.272380669739,2059.272380669739
A004370,-1191.8880186143208,1191.8880186143208
A006400,653.1519119540311,653.1519119540311
A204320,-217.2072182463469,217.2072182463469
A000810,-197.61597895353916,197.61597895353916
A192080,-11.004062097676524,11.004062097676524
A030000,-0.24664353684663354,0.24664353684663354
A114090,-0.00021673173799824363,0.00021673173799824363
A302440,-9.770631358488671e-05,9.770631358488671e-05
A021240,-5.4744979699579074e-05,5.4744979699579074e-05
A071320,-4.857298555084426e-05,4.857298555084426e-05
A005300,-2.1751868061834628e-05,2.1751868061834628e-05
A259960,-1.0474633150477693e-05,1.0474633150477693e-05
A047810,-5.812677092301719e-06,5.812677092301719e-06
A329180,-2.313060623491568e-06,2.313060623491568e-06
A036570,-1.258761401842163e-07,1.258761401842163e-07
A326030,-8.600233180288452e-08,8.600233180288452e-08
A042660,-5.818269932576501e-10,5.818269932576501e-10
A064350,-2.05789487057197e-10,2.05789487057197e-10
A011070,-2.4415317951377655e-11,2.4415317951377655e-11
A009540,-6.349036211022843e-13,6.349036211022843e-13
