date,equity
2020-01-02,80729471.68219332
2020-01-03,82253042.83445093
2020-01-06,110221797.33457673
2020-01-07,111801432.05192512
2020-01-08,108813082.09048913
2020-01-09,110636600.37898722
2020-01-10,112976523.0925889
2020-01-13,114549514.12178934
2020-01-14,114793164.73991683
2020-01-15,114932693.93594901
2020-01-16,115011451.8126691
2020-01-17,115068060.846778
2020-01-20,114234944.35844594
2020-01-21,111399511.3356203
2020-01-22,114307192.89492612
2020-01-23,112868875.60920852
2020-01-28,111893768.0021691
2020-01-29,112395394.7099672
2020-01-30,110943531.71532854
2020-01-31,107850946.35855862
2020-02-03,108726242.47296868
2020-02-04,112223628.61083762
2020-02-05,111950344.00596803
2020-02-06,113789434.94393781
2020-02-07,113787016.16987899
2020-02-10,111638148.75778224
2020-02-11,111105402.98077792
2020-02-12,110129167.71413995
2020-02-13,110614005.81728789
2020-02-14,110690228.20999153
2020-02-17,110853130.61763811
2020-02-18,111717028.62495817
2020-02-19,112341550.62930563
2020-02-20,113476522.71457255
2020-02-21,114666984.1048533
2020-02-24,117503070.02986999
2020-02-25,116627718.50367402
2020-02-26,116977898.63201188
2020-02-27,117518954.34348667
2020-02-28,119797103.81833825
2020-03-02,118950943.59465551
2020-03-03,119142012.81206645
2020-03-04,118080976.97484127
2020-03-05,116484532.51384312
2020-03-06,118040703.26560198
2020-03-09,120315314.30591741
2020-03-10,120874204.48177287
2020-03-11,122124303.41527067
2020-03-12,125322563.92992176
2020-03-13,128288849.36346939
2020-03-16,129181714.79188831
2020-03-17,132030162.20324992
2020-03-18,136714446.754606
2020-03-19,144227807.73107022
2020-03-20,140784342.47444198
2020-03-23,144756564.30066314
2020-03-24,136805961.74617898
2020-03-25,125678715.8537309
2020-03-26,124080281.71435535
2020-03-27,123716074.90872745
2020-03-30,132330414.30871484
2020-03-31,131057216.58824536
2020-04-01,129377221.94010665
2020-04-02,128903351.09889281
2020-04-03,128599408.98413
2020-04-06,131058535.29698397
2020-04-07,132607099.0876351
2020-04-08,131857996.05835673
2020-04-09,132144624.23208436
2020-04-10,131728565.65077406
2020-04-13,130972601.83978915
2020-04-14,132402850.20068686
2020-04-16,133240288.65162343
2020-04-17,130578783.78439143
2020-04-20,130541783.64461415
2020-04-21,131209146.88881448
2020-04-22,131818086.38815707
2020-04-23,133679566.78721027
2020-04-24,132034630.3751898
2020-04-27,132257242.97025931
2020-04-28,131667563.47102205
2020-04-29,126422263.99430932
2020-05-04,124444792.33512314
2020-05-06,126187095.90943682
2020-05-07,126811828.90378183
2020-05-08,127421941.74608368
2020-05-11,127071907.72738834
2020-05-12,128038561.01303142
2020-05-13,129841399.64628443
2020-05-14,131267643.46065943
2020-05-15,133075573.55751473
2020-05-18,132142159.34239972
2020-05-19,127911469.40792072
2020-05-20,129311993.83150236
2020-05-21,128362012.57909375
2020-05-22,128510152.87820686
2020-05-25,131723173.71798967
2020-05-26,125650736.61345832
2020-05-27,123672895.81354794
2020-05-28,126915401.19079193
2020-05-29,123387800.73870859
2020-06-01,123927660.71706781
2020-06-02,127262991.8782951
2020-06-03,131579584.10795878
2020-06-04,128453731.3895467
2020-06-05,127796856.43436208
2020-06-08,126509059.46144141
2020-06-09,126530545.9155369
2020-06-10,127470065.6861171
2020-06-11,126697478.87527984
2020-06-12,125579928.22476165
2020-06-15,121774923.12626298
2020-06-16,125560530.20786335
2020-06-17,128029169.79990189
2020-06-18,127722702.29109646
2020-06-19,127341257.52218054
2020-06-22,126418107.86925364
2020-06-23,127452251.14570172
2020-06-24,127194861.34895805
2020-06-25,124632653.94062936
2020-06-26,125321876.32192376
2020-06-29,122525032.71853773
2020-06-30,124164028.16097918
2020-07-01,123296754.98952258
2020-07-02,121727678.71358332
2020-07-03,122089013.70817271
2020-07-06,123796325.52616195
2020-07-07,124524247.20038399
2020-07-08,125057723.6798102
2020-07-09,129504101.45912518
2020-07-10,129607445.81012496
2020-07-13,130545132.7530208
2020-07-14,133521762.59618263
2020-07-15,131159181.71061464
2020-07-16,128211576.98840071
2020-07-17,130513492.52787083
2020-07-20,131173082.98089048
2020-07-21,133422832.979929
2020-07-22,139254029.31728727
2020-07-23,140134776.45640898
2020-07-24,142986948.97434303
2020-07-27,148265983.62862802
2020-07-28,149818109.9831547
2020-07-29,149037525.8866243
2020-07-30,149931858.433304
2020-07-31,150740128.67542714
2020-08-03,150613271.16489387
2020-08-04,150613271.16489387
2020-08-05,150613271.16489387
2020-08-06,150613271.16489387
2020-08-07,150613271.16489387
2020-08-10,154896379.7672573
2020-08-11,153647779.6274181
2020-08-12,150085022.35516524
2020-08-13,147923496.224428
2020-08-14,143410886.58054352
2020-08-18,132504882.31119075
2020-08-19,137023915.75503102
2020-08-20,135770290.70653257
2020-08-21,136336013.36051905
2020-08-24,149917033.25639406
2020-08-25,152514008.9419393
2020-08-26,151328829.7646875
2020-08-27,149572698.06505957
2020-08-28,150657122.3053572
2020-08-31,150104355.34506476
2020-09-01,147328920.6436881
2020-09-02,144742600.43001282
2020-09-03,149219614.54416192
2020-09-04,151157986.8177312
2020-09-07,155320463.42924
2020-09-08,151341242.25702107
2020-09-09,149731418.12446114
2020-09-10,153005125.11816862
2020-09-11,151040704.97683805
2020-09-14,151893028.73882502
2020-09-15,152635509.27343023
2020-09-16,149734636.84594554
2020-09-17,145403846.0600077
2020-09-18,147505209.957641
2020-09-21,145827297.4538067
2020-09-22,143874595.16551387
2020-09-23,142784104.05821294
2020-09-24,140355053.933773
2020-09-25,140931931.78196362
2020-09-28,141635848.75939888
2020-09-29,142066301.63132638
2020-10-05,143684761.21185428
2020-10-06,143684761.21185428
2020-10-07,143684761.21185428
2020-10-08,143684761.21185428
2020-10-12,141617827.53846985
2020-10-13,140192451.14353028
2020-10-14,139456490.92140883
2020-10-15,140466386.5352925
2020-10-16,136016694.14086455
2020-10-19,136120012.06638363
2020-10-20,137563285.2276895
2020-10-21,136598770.5838229
2020-10-22,138826865.43586618
2020-10-23,139717528.73013282
2020-10-26,139025113.39691195
2020-10-27,138727516.8959611
2020-10-28,140849473.6125544
2020-10-29,140050000.04176998
2020-10-30,136758999.11283976
2020-11-02,138981875.53703788
2020-11-03,141363967.7057458
2020-11-04,140337397.2525469
2020-11-05,141907960.49009454
2020-11-06,142100446.34137693
2020-11-09,144875313.76988894
2020-11-10,146065407.81968358
2020-11-11,142711260.410428
2020-11-12,141109835.35078406
2020-11-13,139448990.14928532
2020-11-16,140986789.3635623
2020-11-17,140433918.69514793
2020-11-18,140144327.24029985
2020-11-19,138961206.6697368
2020-11-20,136265598.22607395
2020-11-23,139151374.70249796
2020-11-24,138487026.5072933
2020-11-25,136319667.19089466
2020-11-26,137240602.82552105
2020-11-27,138074752.4660433
2020-11-30,135008422.24966383
2020-12-01,133775560.08992809
2020-12-02,132222773.87881607
2020-12-03,132036491.11030711
2020-12-04,132898259.61748274
2020-12-07,137298994.8264312
2020-12-08,136196022.55126727
2020-12-09,138210527.09855118
2020-12-10,138419025.4434081
2020-12-11,141325985.20453075
2020-12-14,138860012.67141426
2020-12-15,139295576.63300574
2020-12-16,139238343.13511133
2020-12-17,140503569.4835335
2020-12-18,140390271.5223243
2020-12-21,141218593.78179252
2020-12-22,139371795.68394244
2020-12-23,138852499.5213506
2020-12-24,139764261.67776537
2020-12-28,140126117.517778
2020-12-29,141250602.5781498
2020-12-30,141929585.57240063
2021-01-04,144341058.96471435
2021-01-05,144341058.96471435
2021-01-06,144341058.96471435
2021-01-07,144341058.96471435
2021-01-08,144341058.96471435
2021-01-11,131427557.0494028
2021-01-12,132362176.60111162
2021-01-13,130519428.27928478
2021-01-14,130676306.37017375
2021-01-15,128208010.02499789
2021-01-18,134116223.16561624
2021-01-19,136689559.15948188
2021-01-20,138740803.10648364
2021-01-21,143800344.48961723
2021-01-22,147550571.27658486
2021-01-25,145612789.3644076
2021-01-26,143622744.03377703
2021-01-27,142247267.01566774
2021-01-28,141668140.23635256
2021-01-29,137716638.47024235
2021-02-01,144107491.8722842
2021-02-02,144591995.42468745
2021-02-03,145606580.37280524
2021-02-04,143362161.42095423
2021-02-05,143299655.78834552
2021-02-08,150080529.4413017
2021-02-09,147723555.15880337
2021-02-10,152134181.20859367
2021-02-15,142766261.7072357
2021-02-16,144162662.2163785
2021-02-17,147245808.84360728
2021-02-18,148195909.4173544
2021-02-19,147035248.9614038
2021-02-22,145328356.39511198
2021-02-23,146911020.1862796
2021-02-24,141104469.6123367
2021-02-25,144930540.1462993
2021-02-26,144986558.76272875
