date,equity
2020-01-02,52760813.84130853
2020-01-03,53437167.136256464
2020-01-06,113123834.33973299
2020-01-07,115399203.6557414
2020-01-08,112993326.01601723
2020-01-09,114925800.47377665
2020-01-10,116319335.22865799
2020-01-13,117633148.32468283
2020-01-14,117343989.67190656
2020-01-15,117971075.36371553
2020-01-16,119366404.44102818
2020-01-17,119070678.6201115
2020-01-20,117876167.20880151
2020-01-21,116619447.47325255
2020-01-22,119391878.90041105
2020-01-23,118177449.97015347
2020-01-28,114516974.63102925
2020-01-29,115656302.82798812
2020-01-30,114584116.61436597
2020-01-31,111507502.21829405
2020-02-03,112155731.53291315
2020-02-04,115487103.7221131
2020-02-05,115387348.61886898
2020-02-06,117264219.11855856
2020-02-07,117290425.54479355
2020-02-10,115459186.10096435
2020-02-11,114898702.99899165
2020-02-12,113531143.4479975
2020-02-13,113872501.14430514
2020-02-14,114126613.18083686
2020-02-17,113666881.98711416
2020-02-18,114650401.30861637
2020-02-19,115346576.53362769
2020-02-20,116326517.29302795
2020-02-21,117331829.40911874
2020-02-24,120273918.14267778
2020-02-25,119277922.55361599
2020-02-26,119863056.61708295
2020-02-27,120413461.84659675
2020-02-28,122744941.67459634
2020-03-02,121704527.98315561
2020-03-03,121929756.18410304
2020-03-04,120968539.09556216
2020-03-05,119306413.90655392
2020-03-06,120787252.60996774
2020-03-09,123305935.85023507
2020-03-10,124065095.61499557
2020-03-11,125299596.29305746
2020-03-12,128298886.96044993
2020-03-13,131464709.95481136
2020-03-16,131763527.53748551
2020-03-17,133602144.69636987
2020-03-18,137512050.0304954
2020-03-19,145778512.08837974
2020-03-20,141026948.8496104
2020-03-23,145843886.6138035
2020-03-24,138383899.45305505
2020-03-25,127884801.34921516
2020-03-26,127459122.81670618
2020-03-27,127456888.99662596
2020-03-30,139809482.09621567
2020-03-31,133825524.09661877
2020-04-01,129829666.34701082
2020-04-02,126901188.36454634
2020-04-03,127079112.98243004
2020-04-06,127163903.23731247
2020-04-07,125411451.4324816
2020-04-08,124093779.63575666
2020-04-09,121751247.11065404
2020-04-10,120203489.05612041
2020-04-13,121918936.47776733
2020-04-14,125475537.0851193
2020-04-16,127848165.32602175
2020-04-17,123975586.62808374
2020-04-20,127378936.69786318
2020-04-21,128137812.3827179
2020-04-22,130472334.57136989
2020-04-23,135548516.86374986
2020-04-24,136939390.86082137
2020-04-27,139175991.9627182
2020-04-28,138102411.54574436
2020-04-29,132703531.15445668
2020-05-04,130752201.74020222
2020-05-06,133214969.00205559
2020-05-07,134427636.29822037
2020-05-08,134723419.68818334
2020-05-11,136142262.22458696
2020-05-12,138736368.3359853
2020-05-13,140333532.06524664
2020-05-14,144820182.41924518
2020-05-15,145924840.91611475
2020-05-18,145528608.59089947
2020-05-19,139641137.296264
2020-05-20,141083500.6755693
2020-05-21,139249917.70657682
2020-05-22,139675090.11369944
2020-05-25,143614181.50471613
2020-05-26,140370790.37827098
2020-05-27,139741976.44434035
2020-05-28,142002896.978531
2020-05-29,137373298.7465853
2020-06-01,141101815.6358938
2020-06-02,139166169.1598084
2020-06-03,134503366.14110148
2020-06-04,136738773.84235907
2020-06-05,136797127.2052052
2020-06-08,132918783.28929769
2020-06-09,131949212.05461103
2020-06-10,132395360.08551657
2020-06-11,131806198.28600508
2020-06-12,129506988.2738614
2020-06-15,125053476.70618427
2020-06-16,130632341.88938442
