symbol,qty,abs_qty
A000210,7672.67239570891,7672.67239570891
A004000,7276.098677261865,7276.098677261865
A139130,-4615.661929796744,4615.661929796744
A008770,-3036.556529492741,3036.556529492741
A272210,1845.5543630821899,1845.5543630821899
A015760,-1626.87077797146,1626.87077797146
A004370,-911.3950563936432,911.3950563936432
A047050,760.3096536170593,760.3096536170593
A006400,321.4814271217583,321.4814271217583
A000810,-150.68073347684563,150.68073347684563
A204320,-147.21680856933196,147.21680856933196
A000660,97.63430163307301,97.63430163307301
A377300,-13.17631436234251,13.17631436234251
A030000,-0.14446110688243152,0.14446110688243152
A010130,-0.0005756939302637432,0.0005756939302637432
A114090,-9.67132231244755e-05,9.67132231244755e-05
A032640,-7.137750929224126e-05,7.137750929224126e-05
A302440,-4.717137201735305e-05,4.717137201735305e-05
A021240,-2.8135073888763476e-05,2.8135073888763476e-05
A071320,-1.8181243588826987e-05,1.8181243588826987e-05
A097950,-1.4757300046169992e-05,1.4757300046169992e-05
A042660,-1.1218403628740579e-05,1.1218403628740579e-05
A029780,-1.1601650979694168e-06,1.1601650979694168e-06
A036570,-7.035994702322805e-08,7.035994702322805e-08
A329180,-7.675630584352628e-09,7.675630584352628e-09
A011070,-9.085988090081883e-12,9.085988090081883e-12
A009420,-4.036097219326819e-12,4.036097219326819e-12
A009540,-3.635300108696393e-13,3.635300108696393e-13
