date,equity
2020-01-02,52092838.92275786
2020-01-03,52784572.46241641
2020-01-06,111669412.64524338
2020-01-07,113909804.2776205
2020-01-08,111045919.54474793
2020-01-09,113634678.8224977
2020-01-10,115288244.10596894
2020-01-13,115816816.03961325
2020-01-14,115460018.90850061
2020-01-15,115499050.61335772
2020-01-16,116495402.41624355
2020-01-17,115728102.5297206
2020-01-20,114808575.75844105
2020-01-21,113920569.05265048
2020-01-22,116865772.07477775
2020-01-23,115870641.29227544
2020-01-28,111773674.11108896
2020-01-29,112538470.22640863
2020-01-30,111629166.76839076
2020-01-31,108963862.1884788
2020-02-03,109391949.1855458
2020-02-04,112997284.74660984
2020-02-05,113069245.78344369
2020-02-06,114715530.30156662
2020-02-07,114691129.72532125
2020-02-10,114640117.7351487
2020-02-11,114470465.6690049
2020-02-12,114256243.8103856
2020-02-13,114971372.52162655
2020-02-14,117366301.83987127
2020-02-17,116272750.18512079
2020-02-18,117281083.91214935
2020-02-19,117994823.78888956
2020-02-20,118999488.66591918
2020-02-21,120030165.02446443
2020-02-24,123043576.7758475
2020-02-25,122024646.78099099
2020-02-26,122623254.50056973
2020-02-27,123186333.69874747
2020-02-28,125571499.61237311
2020-03-02,126036352.37405035
2020-03-03,127190899.26800837
2020-03-04,130827915.37010722
2020-03-05,130050976.58485147
2020-03-06,128563020.81732458
2020-03-09,126709886.93236393
2020-03-10,127491714.12460294
2020-03-11,128763075.23164317
2020-03-12,131851920.43926027
2020-03-13,135112270.3915371
2020-03-16,135346416.8937146
2020-03-17,137290696.7132615
2020-03-18,141250876.33342046
2020-03-19,149735185.60421896
2020-03-20,144843052.1169325
2020-03-23,149797551.45522487
2020-03-24,142135205.64347607
2020-03-25,131351310.3565804
2020-03-26,130914084.92301889
2020-03-27,130911790.50862285
2020-03-30,143410317.7860136
2020-03-31,137359185.50359517
2020-04-01,133390461.94418252
2020-04-02,130454041.37882529
2020-04-03,130386244.30783148
2020-04-06,130956476.0993412
2020-04-07,129083026.35590044
2020-04-08,127755588.2519737
2020-04-09,126359187.69926628
2020-04-10,124350767.06911837
2020-04-13,123837578.96813768
2020-04-14,127483333.59690917
2020-04-16,129241018.4576082
2020-04-17,126815583.33937164
2020-04-20,128931232.7275129
2020-04-21,128809098.01744659
2020-04-22,129566950.26929672
2020-04-23,133157553.40320024
2020-04-24,134198705.02715188
2020-04-27,136899357.10845602
2020-04-28,138243482.11517113
2020-04-29,132620945.17811596
2020-05-04,130359766.0771623
2020-05-06,130834495.53430942
2020-05-07,131631323.56697917
2020-05-08,130650983.84822328
2020-05-11,129719490.28901249
2020-05-12,128401616.09359588
2020-05-13,127901582.16738182
2020-05-14,127506594.02807894
2020-05-15,128539404.83600642
2020-05-18,128021734.95596725
2020-05-19,122535104.98433664
2020-05-20,123856872.21489602
2020-05-21,122260346.40566844
2020-05-22,123040382.67168735
2020-05-25,126292575.38977975
2020-05-26,125306694.94348507
2020-05-27,130131977.07998057
2020-05-28,130750304.03779523
2020-05-29,130444355.67025702
2020-06-01,135159466.35285938
2020-06-02,141449244.1319095
2020-06-03,143213521.33383083
2020-06-04,139958638.86582547
2020-06-05,137555738.24269462
2020-06-08,134806129.19994262
2020-06-09,133529843.6466401
2020-06-10,133836428.080483
2020-06-11,133584677.08136562
2020-06-12,131305601.37534684
2020-06-15,126636024.91268954
2020-06-16,130696224.02622733
2020-06-17,133103301.70918447
2020-06-18,132458348.11330429
2020-06-19,132573719.76390976
2020-06-22,132068152.91460223
2020-06-23,133412327.47775914
2020-06-24,133617449.89584823
2020-06-25,130598193.37808461
2020-06-26,129620123.28800228
2020-06-29,127802922.47698215
2020-06-30,130066025.87533632
2020-07-01,128132631.78128487
2020-07-02,124451871.76242593
2020-07-03,123721646.78033154
2020-07-06,124003112.95199242
2020-07-07,123699124.4440661
2020-07-08,123792420.76197183
2020-07-09,127092898.04753211
2020-07-10,128053647.86604097
2020-07-13,127558800.4096632
2020-07-14,128021575.65369162
2020-07-15,123681205.23360932
2020-07-16,120115208.82884663
2020-07-17,121763175.88829389
2020-07-20,124773155.18554878
2020-07-21,126954333.49957898
2020-07-22,134270302.01509842
2020-07-23,133654234.15491027
2020-07-24,135804830.26946726
2020-07-27,139123796.53196728
2020-07-28,137399375.32016855
2020-07-29,136543172.13668573
2020-07-30,136956247.2343202
2020-07-31,135747950.66485208
2020-08-03,138789335.62757057
2020-08-04,138789335.62757057
2020-08-05,138789335.62757057
2020-08-06,138789335.62757057
2020-08-07,138789335.62757057
2020-08-10,140743198.956697
2020-08-11,141857928.38043612
2020-08-12,137819950.64237857
2020-08-13,137419543.3298383
2020-08-14,132664784.55821504
2020-08-18,131736932.88594635
2020-08-19,135467942.1888739
2020-08-20,134982184.28322566
2020-08-21,136560718.14877692
2020-08-24,136257545.5307869
2020-08-25,136831280.66733146
2020-08-26,137233237.34092423
2020-08-27,137797094.09415287
2020-08-28,137575217.84121376
2020-08-31,137902113.76013684
2020-09-01,135204889.81248525
2020-09-02,132114061.59057951
2020-09-03,136745809.97263384
2020-09-04,137906777.99769104
2020-09-07,140331489.4911846
2020-09-08,136626422.36145467
2020-09-09,136024590.3084682
2020-09-10,139609874.1865803
2020-09-11,140348278.2666863
2020-09-14,142237666.7810466
2020-09-15,142924473.16041616
2020-09-16,141217391.12056094
2020-09-17,136690699.72522473
2020-09-18,139029583.58105248
2020-09-21,136898390.40028444
2020-09-22,139556988.30330265
2020-09-23,137138735.49149233
2020-09-24,134292724.7969601
2020-09-25,134489743.15214962
2020-09-28,133446957.2486088
2020-09-29,132172975.78939286
2020-10-05,133373835.7190575
2020-10-06,133373835.7190575
2020-10-07,133373835.7190575
2020-10-08,133373835.7190575
2020-10-12,131180620.30795375
2020-10-13,132961512.14601491
2020-10-14,132145587.35720834
2020-10-15,133297126.0664884
2020-10-16,130387976.16149276
2020-10-19,128664699.7545812
2020-10-20,131050006.14215288
2020-10-21,129987051.90181068
2020-10-22,129675841.40334503
2020-10-23,132066369.50681692
2020-10-26,132308353.56616613
2020-10-27,132359680.16646443
2020-10-28,135182920.27099082
2020-10-29,135795038.7240223
2020-10-30,132655341.9369716
2020-11-02,136130258.62029445
2020-11-03,138307926.6721487
2020-11-04,137956002.30800936
2020-11-05,138462277.19230834
2020-11-06,138202817.0325792
2020-11-09,140661425.67244318
2020-11-10,139606629.59422573
2020-11-11,139032091.17909494
2020-11-12,138087483.74645284
2020-11-13,136402032.6123256
2020-11-16,139178048.4999468
2020-11-17,140891796.12495595
2020-11-18,141679768.83345148
2020-11-19,141491863.3564129
2020-11-20,141688876.3166583
2020-11-23,145497986.635495
2020-11-24,145452254.5313455
2020-11-25,144788074.2882377
2020-11-26,145507183.80189717
2020-11-27,147183821.1650706
2020-11-30,143782544.33984265
2020-12-01,144432185.9507816
2020-12-02,146231098.86957085
2020-12-03,145999870.84773737
2020-12-04,150615689.06015712
2020-12-07,154731676.52586785
2020-12-08,153378591.9057562
2020-12-09,155456555.69359988
2020-12-10,155979634.41326723
2020-12-11,161050323.0522432
2020-12-14,158265678.15055704
2020-12-15,159344208.96162927
2020-12-16,158740060.93834937
2020-12-17,158221688.97152188
2020-12-18,157386306.6052358
2020-12-21,157048919.24683535
2020-12-22,154474284.7789995
2020-12-23,154125678.12145346
2020-12-24,155227933.78982198
2020-12-28,153272934.43975008
2020-12-29,153217302.7443607
2020-12-30,153750211.60569122
2021-01-04,155637425.33015168
2021-01-05,155637425.33015168
2021-01-06,155637425.33015168
2021-01-07,155637425.33015168
2021-01-08,155637425.33015168
2021-01-11,140844861.5462774
2021-01-12,139208152.49565256
2021-01-13,126432026.82091698
2021-01-14,127882498.43908781
2021-01-15,125316689.15388629
2021-01-18,131940573.21589708
2021-01-19,139027486.5907477
2021-01-20,141485908.0131466
2021-01-21,149620996.09706715
2021-01-22,146557947.61797014
2021-01-25,156702229.1134892
2021-01-26,154023494.8402839
2021-01-27,154552179.21208283
2021-01-28,157379443.28859952
2021-01-29,152860340.3738397
2021-02-01,156678192.1856261
2021-02-02,159109490.43155065
2021-02-03,163669484.80836663
2021-02-04,161520299.0186886
2021-02-05,162632505.65246594
2021-02-08,172837700.8103735
2021-02-09,171143406.87596014
2021-02-10,174080567.43840158
2021-02-15,160608196.86550856
2021-02-16,162735046.7182325
2021-02-17,164208707.72936916
2021-02-18,161628932.85975653
2021-02-19,162289463.59239626
2021-02-22,158259769.33280852
2021-02-23,162332862.0287367
2021-02-24,159041194.30926877
2021-02-25,161340582.3636487
2021-02-26,163204717.468569
2021-03-02,162568308.986228
2021-03-03,167615903.00887662
2021-03-04,169638772.43854618
2021-03-05,170233978.477843
2021-03-08,159089640.71752396
2021-03-09,154732963.48157984
2021-03-10,151096405.68243474
2021-03-11,149732792.0342647
2021-03-12,148251321.91684735
2021-03-15,147702183.8657608
2021-03-16,149847729.89281362
2021-03-17,148810797.9601195
2021-03-18,148220356.72754043
2021-03-19,147022498.39838248
2021-03-22,145229534.4914382
2021-03-23,142339021.10137132
2021-03-24,141954008.71096087
2021-03-25,143056616.0742991
2021-03-26,145456024.78359076
2021-03-29,145275666.60344684
2021-03-30,145190869.01106387
2021-03-31,145882238.46381003
2021-04-01,145224571.71019572
2021-04-02,145285743.06374025
2021-04-05,159817827.90423644
2021-04-06,159421701.8925652
2021-04-07,158214533.395256
2021-04-08,159709432.24260503
2021-04-09,162811915.45518386
2021-04-12,163842251.71915144
2021-04-13,165973095.50156742
2021-04-14,164776008.47517067
2021-04-15,167940118.86805427
2021-04-16,167036593.58880857
2021-04-19,168008821.2380396
2021-04-20,168424676.18284065
2021-04-21,168669865.71835423
2021-04-22,175169891.9469875
2021-04-23,175471646.1820668
2021-04-26,174431807.58727247
