date,equity
2020-01-02,80919803.08111468
2020-01-03,82743709.19343278
2020-01-06,110285769.6151717
2020-01-07,111853362.69417208
2020-01-08,109048808.45268723
2020-01-09,111695165.09841797
2020-01-10,113634054.26132606
2020-01-13,114167232.45963708
2020-01-14,114325473.8954626
2020-01-15,113888708.97931564
2020-01-16,114186810.15721773
2020-01-17,114228262.30123511
2020-01-20,113353105.64495116
2020-01-21,111262295.20787483
2020-01-22,113913382.69881843
2020-01-23,112571300.73833
2020-01-28,109886503.40319303
2020-01-29,109634927.49277723
2020-01-30,108448891.2127577
2020-01-31,105768539.85557692
2020-02-03,105624495.2927357
2020-02-04,107526856.42306441
2020-02-05,107222314.89820549
2020-02-06,109735408.90606502
2020-02-07,109145781.18842942
2020-02-10,110265925.88087927
2020-02-11,107210128.58411424
2020-02-12,108475513.93489428
2020-02-13,112021777.62068881
2020-02-14,113506208.1901198
2020-02-17,112708297.04530284
2020-02-18,109620253.77809852
2020-02-19,110513509.42566168
2020-02-20,111195415.86238736
2020-02-21,109971031.3577728
2020-02-24,109320893.35382271
2020-02-25,111241057.1464032
2020-02-26,109489420.5372113
2020-02-27,105301693.53043844
2020-02-28,101229686.221128
2020-03-02,106175833.60387066
2020-03-03,105323419.61620373
2020-03-04,107389622.08042043
2020-03-05,105866816.4267408
2020-03-06,105399819.97197163
2020-03-09,101127293.38820052
2020-03-10,105187644.90008886
2020-03-11,98905892.31572671
2020-03-12,98309823.67512017
2020-03-13,95830404.21372499
2020-03-16,87163091.61608139
2020-03-17,88601687.28364317
2020-03-18,81776459.80906346
2020-03-19,80341454.15026456
2020-03-20,88237521.98121327
2020-03-23,94578975.85465035
2020-03-24,105075022.16915873
2020-03-25,102152217.65394717
2020-03-26,97438677.69597492
2020-03-27,99886581.12440425
2020-03-30,100038946.92334954
2020-03-31,100037076.11334471
2020-04-01,99258991.04218343
2020-04-02,99628674.09622084
2020-04-03,99315212.43388687
2020-04-06,101971065.74393663
2020-04-07,104796443.55914819
2020-04-08,104976101.90912825
2020-04-09,105783616.02287146
2020-04-10,104842374.07633245
2020-04-13,102634724.14177543
2020-04-14,104224620.48923825
2020-04-16,105539569.76140894
2020-04-17,104658494.81053874
2020-04-20,106005466.74563779
2020-04-21,105906066.47063044
2020-04-22,106256620.36585972
2020-04-23,108349034.08210465
2020-04-24,108081887.94618502
2020-04-27,110648904.49545021
2020-04-28,114976050.95412672
2020-04-29,112473349.5891912
2020-05-04,110493329.23896497
2020-05-06,110767697.18970954
2020-05-07,111204696.84972304
2020-05-08,111534153.69896555
2020-05-11,100534059.56224027
2020-05-12,99774837.69558531
2020-05-13,99633009.75495699
2020-05-14,99110914.85899854
2020-05-15,100083142.86236128
2020-05-18,108808132.1791235
2020-05-19,107308540.93959805
2020-05-20,107953823.6490469
2020-05-21,107498957.64215317
2020-05-22,107670219.56007758
2020-05-25,109848255.31815697
2020-05-26,106411022.24914254
2020-05-27,109516555.45291947
2020-05-28,111271157.74889502
2020-05-29,110452819.84461749
2020-06-01,97687407.24910334
2020-06-02,101312047.6178455
2020-06-03,104536723.98305488
2020-06-04,102433701.48230954
2020-06-05,101216763.44202542
2020-06-08,125179279.99873775
2020-06-09,125027471.5345717
2020-06-10,125914877.69936192
2020-06-11,126396609.01232311
2020-06-12,125911403.38256067
2020-06-15,123451990.71633147
2020-06-16,125499120.89327003
2020-06-17,126417334.57630171
2020-06-18,126253384.0446628
2020-06-19,127156708.13058868
2020-06-22,127792812.59325957
2020-06-23,129583854.46209544
2020-06-24,130616227.32143816
2020-06-25,129128964.57643844
2020-06-26,127912033.88065302
2020-06-29,125386797.24518186
2020-06-30,126243271.37235022
2020-07-01,125383284.23910448
2020-07-02,124086238.6523219
2020-07-03,123907682.07076201
2020-07-06,124962488.05393586
2020-07-07,125220712.65930492
2020-07-08,125656231.04044273
2020-07-09,127456599.34641403
2020-07-10,126878844.12861155
2020-07-13,126786680.35487731
2020-07-14,126974111.38365415
2020-07-15,125575129.91390204
2020-07-16,125150568.51014674
2020-07-17,126032612.2962802
2020-07-20,127807558.2512667
2020-07-21,127835176.00337848
2020-07-22,133476587.6944152
2020-07-23,132993607.63052954
2020-07-24,135330120.6822524
2020-07-27,139756361.5206402
2020-07-28,139696154.51238126
2020-07-29,139589240.0830589
2020-07-30,141797353.96884274
2020-07-31,140256253.75244653
2020-08-03,142985763.87720007
2020-08-04,142985763.87720007
2020-08-05,142985763.87720007
2020-08-06,142985763.87720007
2020-08-07,142985763.87720007
2020-08-10,146213048.50940508
2020-08-11,145579435.29178417
2020-08-12,143398834.53730166
2020-08-13,141696722.92498684
2020-08-14,137508527.03345498
2020-08-18,133799700.65233472
2020-08-19,136966596.86126858
2020-08-20,136800706.36885077
2020-08-21,136800963.25118345
2020-08-24,145468850.4239598
2020-08-25,148137216.7647915
2020-08-26,146959802.77450764
2020-08-27,147127455.61638027
2020-08-28,148343319.8016044
2020-08-31,146613533.1331963
2020-09-01,143215996.5919659
2020-09-02,141522215.10833704
