date,equity
2020-01-02,85253910.0171254
2020-01-03,86375331.02607697
2020-01-06,81959245.75502399
2020-01-07,82557495.10323617
2020-01-08,83788412.85940999
2020-01-09,85822996.52618644
2020-01-10,86935335.6824924
2020-01-13,94868531.26450652
2020-01-14,93130491.36791548
2020-01-15,91406608.76361708
2020-01-16,92485843.81957246
2020-01-17,92967284.79987454
2020-01-20,91095448.99468252
2020-01-21,90500559.67808771
2020-01-22,92415649.75815725
2020-01-23,92990198.2956192
2020-01-28,91632149.34082434
2020-01-29,92188898.62070934
2020-01-30,90963041.5623346
2020-01-31,89897102.1494008
2020-02-03,89336884.52534299
2020-02-04,91555620.21788022
2020-02-05,90114757.75492616
2020-02-06,91451200.60376234
2020-02-07,89966513.73923993
2020-02-10,90357591.59773138
2020-02-11,90946536.32742901
2020-02-12,91517930.54076606
2020-02-13,92459314.2001487
2020-02-14,92863211.48423195
2020-02-17,92561151.78408569
2020-02-18,92595382.4591467
2020-02-19,95528947.94301993
2020-02-20,95434507.87026793
2020-02-21,94644212.63277182
2020-02-24,92018603.67911853
2020-02-25,91969226.54468358
2020-02-26,92516662.27429214
2020-02-27,90616156.47305886
2020-02-28,89838416.28766212
2020-03-02,91914786.67222565
2020-03-03,90879045.28861316
2020-03-04,91775979.98009807
2020-03-05,89908282.71285853
2020-03-06,89800566.78835364
2020-03-09,88168722.22540647
2020-03-10,87561337.24847697
2020-03-11,84901130.55271235
2020-03-12,79340953.36419198
2020-03-13,75995570.89934811
2020-03-16,77338157.84660621
2020-03-17,78970018.94434938
2020-03-18,81606317.70594978
2020-03-19,86728729.55878702
2020-03-20,83283526.06226118
2020-03-23,85757811.48651391
2020-03-24,83046289.10994446
2020-03-25,79250680.11569604
2020-03-26,77537910.07867858
2020-03-27,78493832.78771046
2020-03-30,78118910.29634261
2020-03-31,77205469.88131814
2020-04-01,78182120.88615637
2020-04-02,77287281.81437469
2020-04-03,77843775.28437005
2020-04-06,78975014.94139017
2020-04-07,75823126.20988987
2020-04-08,75316414.12693639
2020-04-09,73553123.0493511
2020-04-10,71931736.73708238
2020-04-13,74400707.06923875
2020-04-14,74346730.00204292
2020-04-16,72939575.59572813
2020-04-17,70691652.26081996
2020-04-20,71587268.98168328
2020-04-21,72342174.18054867
2020-04-22,72935806.29466665
2020-04-23,75582073.75110132
2020-04-24,74964135.2353121
2020-04-27,73078992.8706672
2020-04-28,73293677.25977533
2020-04-29,71893170.56744665
2020-05-04,71488480.895179
2020-05-06,72690743.85193735
2020-05-07,71608860.61512122
2020-05-08,71352552.30645984
2020-05-11,71050552.483232
2020-05-12,71701073.47418526
2020-05-13,73466890.54607913
2020-05-14,74984084.42875631
2020-05-15,74801599.70874356
2020-05-18,73873957.93454874
2020-05-19,71205335.99370305
2020-05-20,71754857.5087963
2020-05-21,70924445.5915274
2020-05-22,70139312.89214486
2020-05-25,70714835.72081003
2020-05-26,68727077.923614
2020-05-27,69190672.12115136
2020-05-28,68539440.65117086
2020-05-29,68334710.64142074
2020-06-01,69609378.26031217
2020-06-02,69873408.81214128
2020-06-03,69210264.70489433
2020-06-04,68665487.40618141
2020-06-05,68753398.94783148
2020-06-08,63576955.37604362
2020-06-09,63513757.073392555
2020-06-10,64236962.07992589
2020-06-11,64672631.097731486
2020-06-12,63497739.48433293
2020-06-15,56569243.751816355
2020-06-16,59554626.57850587
2020-06-17,59728752.496249765
2020-06-18,59334232.36478292
2020-06-19,58811829.979922466
2020-06-22,63447907.74206162
2020-06-23,64489721.90216894
2020-06-24,65228209.36477371
2020-06-25,63314243.17034993
2020-06-26,63355043.36771741
2020-06-29,62027234.92174108
2020-06-30,62569454.68377796
2020-07-01,61507092.096430734
2020-07-02,61818386.31261793
2020-07-03,61911897.19785172
2020-07-06,62880970.84753205
2020-07-07,62146606.443561465
2020-07-08,62772007.938740194
2020-07-09,65894652.501877084
2020-07-10,65418580.92299616
2020-07-13,64882393.3281495
2020-07-14,66608594.36406624
2020-07-15,64159863.497292385
2020-07-16,62629376.22680719
2020-07-17,62530060.251989074
2020-07-20,61825402.89519292
2020-07-21,68213657.25567956
2020-07-22,69102891.98404954
2020-07-23,67174051.17967898
2020-07-24,65446068.822401
2020-07-27,65768651.304746464
2020-07-28,65462667.35414441
2020-07-29,66291330.16973248
2020-07-30,66790066.24766826
2020-07-31,66583374.83822174
2020-08-03,66686279.73714239
2020-08-04,66686279.73714239
2020-08-05,66686279.73714239
2020-08-06,66686279.73714239
2020-08-07,66686279.73714239
2020-08-10,68411319.6341682
2020-08-11,68979803.03491944
2020-08-12,65685321.18869795
2020-08-13,64876858.59421328
2020-08-14,62795942.020875335
2020-08-18,61585703.42683746
2020-08-19,62383966.448179156
2020-08-20,60813729.15267168
2020-08-21,61755913.38757083
2020-08-24,62239246.61078857
2020-08-25,63246908.52580269
2020-08-26,61170475.58402408
2020-08-27,61103519.48897235
2020-08-28,60376232.06757344
2020-08-31,59717064.071760096
2020-09-01,60682799.35422188
2020-09-02,60943075.939674735
2020-09-03,62153653.912021704
2020-09-04,61559368.82094049
2020-09-07,57233300.25301995
2020-09-08,57181236.015946016
2020-09-09,56046831.08104655
2020-09-10,56779498.691700414
2020-09-11,56563877.195627704
2020-09-14,61603799.81244145
2020-09-15,61678408.368754305
2020-09-16,61079337.181799665
2020-09-17,61933128.596681096
2020-09-18,61768150.308563
2020-09-21,60787344.96564409
2020-09-22,59412514.792737864
2020-09-23,60001293.24934182
2020-09-24,59509582.912903115
2020-09-25,58840180.99989812
2020-09-28,59166828.79104989
2020-09-29,58819473.78737344
2020-10-05,59948276.88201018
2020-10-06,59948276.88201018
2020-10-07,59948276.88201018
2020-10-08,59948276.88201018
2020-10-12,59447026.58654373
2020-10-13,58857515.337675914
2020-10-14,59128187.562151976
2020-10-15,58286516.31232911
2020-10-16,57739290.134860456
2020-10-19,57498400.58398095
2020-10-20,57935786.15204808
2020-10-21,59063002.238199554
2020-10-22,58703066.90972512
2020-10-23,59334584.1880378
2020-10-26,59039790.76650823
2020-10-27,57251311.95100979
2020-10-28,58989830.01364719
2020-10-29,58100401.33346797
2020-10-30,57182080.35002131
2020-11-02,58002810.75542642
2020-11-03,59163362.87860699
2020-11-04,57810079.441061065
2020-11-05,59678077.844155446
2020-11-06,59401452.896216944
2020-11-09,60642825.05216262
2020-11-10,62622990.76039647
2020-11-11,59186409.62365355
2020-11-12,58845942.830600925
2020-11-13,57683392.65942844
2020-11-16,58196549.52433339
2020-11-17,60004736.59415038
2020-11-18,60299382.89639801
2020-11-19,61018689.76626042
2020-11-20,60123228.614074856
2020-11-23,60704247.17145404
2020-11-24,60495923.56704869
2020-11-25,59301517.84954712
2020-11-26,59077472.45934678
2020-11-27,60560108.44753651
2020-11-30,58853448.22406212
2020-12-01,58993066.887603365
2020-12-02,59505797.948798954
2020-12-03,58870909.852715276
2020-12-04,60290890.577122435
2020-12-07,62025194.3000767
2020-12-08,61750998.49078487
2020-12-09,63503313.60970269
2020-12-10,64273987.31591675
2020-12-11,63855573.9950245
2020-12-14,62568367.84784269
2020-12-15,62938326.10652462
2020-12-16,63721524.88017604
2020-12-17,63813664.004769675
2020-12-18,62651265.43021094
2020-12-21,61362507.79873897
2020-12-22,60751405.72647264
2020-12-23,61250547.17961897
2020-12-24,61965025.46688891
2020-12-28,62218286.45747326
2020-12-29,63097352.75771373
2020-12-30,64042486.61589008
2021-01-04,66493865.25902319
2021-01-05,66493865.25902319
2021-01-06,66493865.25902319
2021-01-07,66493865.25902319
2021-01-08,66493865.25902319
2021-01-11,59595895.54556454
2021-01-12,59409985.218733616
2021-01-13,58920248.09257832
2021-01-14,59768681.54091716
2021-01-15,59361075.95933668
2021-01-18,62484702.414071426
2021-01-19,65670061.63622102
2021-01-20,66728946.72748532
2021-01-21,67254431.19701612
2021-01-22,70320602.96889558
2021-01-25,69272420.3836118
2021-01-26,69882788.55832133
2021-01-27,68542001.1593689
2021-01-28,69566852.72125714
2021-01-29,67754654.3122316
2021-02-01,69529038.13218871
2021-02-02,72294611.6020961
2021-02-03,73463576.04526699
2021-02-04,73047846.02092628
2021-02-05,73529695.3019867
2021-02-08,79816103.23841313
2021-02-09,79136661.45698877
2021-02-10,79311340.16932651
2021-02-15,73335586.09224646
2021-02-16,73211664.82571855
2021-02-17,72570542.15177774
2021-02-18,71976221.84060434
2021-02-19,72358388.44822009
2021-02-22,70815799.59039898
2021-02-23,72143428.42530406
2021-02-24,70361536.57543552
2021-02-25,72789663.36712179
2021-02-26,74529640.54605964
2021-03-02,79729125.30147642
2021-03-03,80984515.06696476
2021-03-04,81776712.74440819
2021-03-05,83339754.62487902
2021-03-08,59557436.39942641
2021-03-09,58066258.64953406
2021-03-10,57959750.006706074
2021-03-11,56737576.85290679
2021-03-12,56237359.803524695
2021-03-15,56600564.52472544
2021-03-16,55477642.91751489
2021-03-17,51863839.031423755
2021-03-18,49752711.34579761
2021-03-19,50558123.93737829
2021-03-22,58681276.25145284
2021-03-23,58662232.02304128
2021-03-24,58225153.49177304
2021-03-25,58006322.855261564
2021-03-26,58526258.6624074
2021-03-29,62712995.46067103
2021-03-30,63290089.35538493
2021-03-31,63211613.1429961
2021-04-01,63243695.96243222
2021-04-02,63184570.292292036
2021-04-05,74299031.30039102
2021-04-06,74696030.7199503
2021-04-07,75863853.02693193
2021-04-08,77203415.96744841
2021-04-09,77348892.04725695
2021-04-12,77813194.35202596
2021-04-13,77500625.4166804
2021-04-14,78275493.82089798
2021-04-15,79057352.78297621
2021-04-16,80141155.8129843
2021-04-19,78542405.98387447
2021-04-20,78945878.51731966
2021-04-21,78449285.19957855
2021-04-22,83331999.26831694
2021-04-23,84892503.28927137
2021-04-26,84849516.25065593
2021-04-27,85397996.1574863
2021-04-28,83760585.52171858
2021-04-29,81853243.049392
2021-04-30,79668680.43553257
2021-05-03,81862884.01107004
2021-05-04,81862884.01107004
2021-05-06,81862884.01107004
2021-05-07,81862884.01107004
2021-05-10,84248859.96238297
2021-05-11,85883630.06665885
2021-05-12,84740919.86065233
2021-05-13,83571093.67049044
2021-05-14,85142882.2841737
2021-05-17,84415879.31883498
2021-05-18,84154526.7837336
2021-05-20,86409200.80719684
2021-05-21,84583817.56185022
2021-05-24,85955530.50329986
2021-05-25,87819120.35211673
2021-05-26,88925780.50139599
2021-05-27,91709388.96898034
2021-05-28,91449613.03984705
2021-05-31,93589099.62637913
2021-06-01,91680683.85342449
2021-06-02,95181536.5100587
2021-06-03,93051551.11984172
2021-06-04,92026546.64337775
2021-06-07,94629606.6046587
2021-06-08,95497164.43334913
2021-06-09,96772797.98853518
2021-06-10,96983842.76182687
2021-06-11,95688664.78152625
2021-06-14,94689531.96045138
2021-06-15,93122297.79828487
2021-06-16,94287445.94231257
2021-06-17,95014968.46720976
2021-06-18,97952668.90461516
2021-06-21,98076596.93422322
2021-06-22,100426424.4475143
2021-06-23,103322386.99852712
2021-06-24,101215777.28850938
2021-06-25,101499233.80406901
2021-06-28,92675602.18482664
2021-06-29,93416101.6877273
2021-06-30,93484144.4505998
2021-07-01,95525956.98629874
2021-07-02,95255995.43975866
2021-07-05,100910635.99066901
2021-07-06,101979006.78351265
2021-07-07,103523776.67116722
2021-07-08,102970374.53996223
2021-07-09,105322612.66262627
2021-07-12,105485091.76065084
2021-07-13,108952376.40572673
2021-07-14,110020816.24363881
2021-07-15,115821689.55989295
2021-07-16,108467824.42989098
2021-07-19,106082730.59506787
2021-07-20,107089179.03483993
2021-07-21,106823609.13350181
2021-07-22,108983954.36823341
2021-07-23,109345299.12857571
2021-07-26,107346565.89722195
2021-07-27,106975525.7286185
2021-07-28,106456632.40236783
2021-07-29,108475541.34992757
2021-07-30,110087975.05020195
2021-08-02,110127029.63402984
2021-08-03,110127029.63402984
2021-08-04,110127029.63402984
2021-08-05,110127029.63402984
2021-08-06,110127029.63402984
2021-08-09,111712322.04551212
2021-08-10,113257878.09531741
2021-08-11,114322814.35533795
2021-08-12,112978148.7489166
2021-08-13,114080596.74304964
2021-08-17,113814954.77666959
2021-08-18,114503950.75554901
2021-08-19,111421002.08668247
2021-08-20,110441260.43350247
2021-08-23,111996959.00255395
2021-08-24,115916786.86519615
2021-08-25,118157594.65550514
2021-08-26,117297095.30768596
2021-08-27,116661794.05770855
2021-08-30,116349193.06000891
2021-08-31,115558659.55175437
2021-09-01,115377388.88781527
2021-09-02,116143009.93194391
