date,equity
2020-01-02,88281227.18354556
2020-01-03,89059130.01516208
2020-01-06,84377390.07839622
2020-01-07,84561198.99337107
2020-01-08,85960251.80958945
2020-01-09,88263556.10546036
2020-01-10,88882418.55623622
2020-01-13,97251627.9703008
2020-01-14,95479665.02665833
2020-01-15,93645364.54921474
2020-01-16,94737777.69357237
2020-01-17,95230819.78253719
2020-01-20,93021883.52866974
2020-01-21,92270647.94021511
2020-01-22,94100095.58262876
2020-01-23,94430461.41064776
2020-01-28,91662241.16160333
2020-01-29,92008667.99086612
2020-01-30,90110856.56629542
2020-01-31,88834859.21391313
2020-02-03,88106689.31676546
2020-02-04,89988648.14578696
2020-02-05,89136696.84279427
2020-02-06,91134344.01504874
2020-02-07,90353847.17057282
2020-02-10,91311548.43272449
2020-02-11,93514808.97793242
2020-02-12,94747371.86258239
2020-02-13,95026831.3228722
2020-02-14,92293319.2687994
2020-02-17,92490857.92720352
2020-02-18,92608213.43191336
2020-02-19,95322694.00763944
2020-02-20,95694883.62511756
2020-02-21,95051391.41426533
2020-02-24,92789007.24532256
2020-02-25,92224609.51211858
2020-02-26,92595421.62062898
2020-02-27,90819060.36202362
2020-02-28,89293887.73402056
2020-03-02,91234982.49783175
2020-03-03,90528572.58952832
2020-03-04,92362036.43908662
2020-03-05,90999306.57730934
2020-03-06,89931776.27236201
2020-03-09,86729076.84900062
2020-03-10,86173976.6545865
2020-03-11,86143527.24398954
2020-03-12,83518277.44013283
2020-03-13,81371442.11940615
2020-03-16,84173150.49363178
2020-03-17,83317637.07965101
2020-03-18,85666059.58244526
2020-03-19,84319213.52184913
2020-03-20,83595504.09388818
2020-03-23,80785060.01286434
2020-03-24,81563310.51624587
2020-03-25,81876082.12005022
2020-03-26,81101769.06445283
2020-03-27,82221295.61638173
2020-03-30,79837375.61208974
2020-03-31,78978712.89137982
2020-04-01,80026397.87034465
2020-04-02,79177927.6343151
2020-04-03,79554816.26273902
2020-04-06,81012981.56569171
2020-04-07,77895493.07377547
2020-04-08,77222540.12978892
2020-04-09,75562179.0712309
2020-04-10,74674015.70240095
2020-04-13,78294700.59840259
2020-04-14,77817207.76217507
2020-04-16,76190303.33154576
2020-04-17,73916186.87832743
2020-04-20,75348112.47855388
2020-04-21,74886700.13837925
2020-04-22,74873179.33530217
2020-04-23,77425125.12769511
2020-04-24,76131233.96407358
2020-04-27,75281423.75327246
2020-04-28,75383998.26128541
2020-04-29,73149165.95097485
2020-05-04,71877203.92002779
2020-05-06,70688323.40211523
2020-05-07,71744964.20713611
2020-05-08,70666759.02954483
2020-05-11,71032923.89868663
2020-05-12,73804514.88631865
2020-05-13,76783693.89241457
2020-05-14,76902250.16494246
2020-05-15,77763599.46645004
2020-05-18,76813901.03156987
2020-05-19,73855877.45346239
2020-05-20,74417473.1774635
2020-05-21,73870639.15662819
2020-05-22,73321366.29765166
2020-05-25,74158758.8790129
2020-05-26,72639556.32786636
2020-05-27,73386920.29156366
2020-05-28,73194458.47355157
2020-05-29,73380361.11840157
2020-06-01,74156012.61976223
2020-06-02,76424660.9282288
2020-06-03,76499871.27342787
2020-06-04,75293895.83109915
2020-06-05,73103963.6089229
2020-06-08,70999171.42625672
2020-06-09,71431814.1257986
2020-06-10,71042192.86673017
2020-06-11,72033813.07647587
2020-06-12,70424122.19143838
2020-06-15,66366204.88142812
2020-06-16,69546897.95473833
2020-06-17,68704581.5064378
2020-06-18,69767263.55720402
2020-06-19,68511042.9711638
2020-06-22,67513609.79805896
2020-06-23,67512892.01456615
2020-06-24,68272312.95181629
2020-06-25,66162724.59093054
2020-06-26,67080342.75043857
2020-06-29,64646887.521409184
2020-06-30,64670774.17072664
2020-07-01,64297725.46766432
2020-07-02,65649309.16801047
2020-07-03,65046768.76197308
2020-07-06,65413759.574370675
2020-07-07,64781811.308290586
2020-07-08,64682994.79419339
2020-07-09,67319697.13026781
2020-07-10,67393067.4678494
2020-07-13,67562795.23208973
2020-07-14,68559916.80391656
2020-07-15,65639593.42324699
2020-07-16,63891871.25169176
2020-07-17,64393311.50803512
2020-07-20,64812891.28765944
2020-07-21,69701235.78328705
2020-07-22,70863952.38693658
2020-07-23,69293444.99690372
2020-07-24,67908638.91848399
2020-07-27,68309600.09650102
2020-07-28,68062058.34879354
2020-07-29,68738602.57731757
2020-07-30,69141787.13291502
2020-07-31,68571497.06111416
2020-08-03,69531812.65263726
2020-08-04,69531812.65263726
2020-08-05,69531812.65263726
2020-08-06,69531812.65263726
2020-08-07,69531812.65263726
2020-08-10,69958124.43204412
2020-08-11,71068637.59293479
2020-08-12,68049746.2171353
2020-08-13,67520066.00441803
2020-08-14,65283699.027297445
2020-08-18,64459127.39079999
2020-08-19,65834896.00467192
2020-08-20,64919705.55958562
2020-08-21,66242178.80733132
2020-08-24,66616691.689069554
2020-08-25,67397254.97503118
2020-08-26,67146121.00091669
2020-08-27,67418834.56449436
2020-08-28,67187480.75866707
2020-08-31,66301910.85818024
2020-09-01,66752950.3876665
2020-09-02,66958565.35591156
2020-09-03,69055971.44502188
2020-09-04,69134359.53568886
2020-09-07,65890936.06860323
2020-09-08,66206425.25061379
2020-09-09,64888148.55752811
2020-09-10,65438584.53290698
2020-09-11,65440588.21870609
2020-09-14,69890464.04949398
2020-09-15,70145792.76529841
2020-09-16,69627934.79034346
2020-09-17,70699256.69746311
2020-09-18,70120508.5229381
2020-09-21,69156262.72031592
2020-09-22,67247380.4747684
2020-09-23,67889810.23812261
2020-09-24,67570447.34224561
2020-09-25,66742110.51429713
2020-09-28,67036920.768513106
2020-09-29,65967584.10112545
2020-10-05,66643897.66280738
2020-10-06,66643897.66280738
2020-10-07,66643897.66280738
2020-10-08,66643897.66280738
2020-10-12,66100681.16253875
2020-10-13,65454776.14050036
2020-10-14,65636562.058020264
2020-10-15,64768070.518298924
2020-10-16,64463841.57720378
2020-10-19,63987098.36833585
2020-10-20,64279497.15070552
2020-10-21,65140346.577064216
2020-10-22,64475074.66641794
2020-10-23,65090224.38375125
2020-10-26,65447819.8185868
2020-10-27,65433488.41642734
2020-10-28,66997783.68284495
2020-10-29,65974898.55035004
2020-10-30,64649948.125371374
2020-11-02,64807348.55642548
