date,equity
2020-01-02,109552710.46560892
2020-01-03,110580641.6317146
2020-01-06,107952686.74939778
2020-01-07,109300875.56723817
2020-01-08,110067575.37020883
2020-01-09,112310515.69781189
2020-01-10,115207792.19766828
2020-01-13,120257933.75256717
2020-01-14,117675137.80677675
2020-01-15,116052310.71470404
2020-01-16,116490341.61745018
2020-01-17,116614862.84528235
2020-01-20,115662306.6074396
2020-01-21,114867113.86925262
2020-01-22,117813458.63617726
2020-01-23,118565517.77501935
2020-01-28,118904110.29083279
2020-01-29,119155316.05120233
2020-01-30,116897511.22767282
2020-01-31,115067048.01802412
2020-02-03,115607970.46064812
2020-02-04,119863546.4202702
2020-02-05,117642452.4183877
2020-02-06,119537416.13358173
2020-02-07,118156711.64297888
2020-02-10,117015838.36835413
2020-02-11,117427622.22709173
2020-02-12,118218073.4577679
2020-02-13,117382228.29714888
2020-02-14,117820726.77791338
2020-02-17,118123169.76910552
2020-02-18,118084726.45657215
2020-02-19,120916575.43208817
2020-02-20,120197321.88068572
2020-02-21,119213321.55067413
2020-02-24,116559368.40945505
2020-02-25,116834379.62525496
2020-02-26,117983645.88373442
2020-02-27,115980349.2823801
2020-02-28,115554884.56268416
2020-03-02,118020928.81241769
2020-03-03,116576269.7052699
2020-03-04,118141307.06122378
2020-03-05,115943119.33114195
2020-03-06,115486875.78708738
2020-03-09,114133710.8400803
2020-03-10,113006398.27410747
2020-03-11,109280364.55716628
2020-03-12,101932386.55657686
2020-03-13,97586053.94213009
2020-03-16,99149938.84040153
2020-03-17,101194608.24332723
2020-03-18,105137114.88065861
2020-03-19,110968361.30830562
2020-03-20,107894484.76022062
2020-03-23,112111164.76750156
2020-03-24,114984147.37857735
2020-03-25,112346834.16573797
2020-03-26,110975651.52340949
2020-03-27,111209631.61769724
2020-03-30,111695084.48312034
2020-03-31,112061470.53677522
2020-04-01,111449166.84477521
2020-04-02,111235215.53834076
2020-04-03,110677245.3332816
2020-04-06,112908249.62388894
2020-04-07,111616231.90089898
2020-04-08,110693918.27861539
2020-04-09,110281347.48441204
2020-04-10,111763982.67487863
2020-04-13,112691282.04571651
2020-04-14,113667252.87538248
2020-04-16,112969568.4118408
2020-04-17,111426735.04497182
2020-04-20,113153729.55997562
2020-04-21,112984087.62425339
2020-04-22,113747219.20905028
2020-04-23,116909669.84128542
2020-04-24,115577812.37382984
2020-04-27,114620841.71889482
2020-04-28,114556128.07602341
2020-04-29,112589778.58025704
2020-05-04,111131739.51612255
2020-05-06,112079405.79800826
2020-05-07,111755325.76622829
2020-05-08,112623330.97474213
2020-05-11,111138850.0989471
2020-05-12,111743969.14317277
2020-05-13,113850877.93911314
2020-05-14,115977656.40897441
2020-05-15,117367281.0811393
2020-05-18,116038600.45299053
2020-05-19,111721886.59250842
2020-05-20,112223318.50025102
2020-05-21,112078133.87568781
2020-05-22,111472183.41103631
2020-05-25,112345746.29601009
2020-05-26,107595360.47939631
2020-05-27,107650673.2744267
2020-05-28,107879639.06571452
2020-05-29,107073025.54752916
2020-06-01,106064428.78196636
2020-06-02,107809375.7191338
2020-06-03,108896354.26459852
2020-06-04,107480914.07987675
2020-06-05,107958918.08339217
2020-06-08,104078300.84423335
