symbol,qty,abs_qty
A015760,-8253.988833962489,8253.988833962489
A030000,-8023.597263019332,8023.597263019332
A185750,-7066.8664833851135,7066.8664833851135
A000210,4419.644223830678,4419.644223830678
A011170,3555.2832909207473,3555.2832909207473
A001440,3207.6976897599843,3207.6976897599843
A450080,2714.1865149969217,2714.1865149969217
A003490,2236.251691582281,2236.251691582281
A011200,2181.1722914848315,2181.1722914848315
A034230,2104.5174209894885,2104.5174209894885
A272210,1763.409159433419,1763.409159433419
A036570,573.6708816843081,573.6708816843081
A000720,491.366387233125,491.366387233125
A402340,488.6186496140104,488.6186496140104
A006400,455.01917990875097,455.01917990875097
A259960,431.9778827778239,431.9778827778239
A011070,258.2042736798506,258.2042736798506
A009150,203.76487718336915,203.76487718336915
A002380,133.2314163445692,133.2314163445692
A298040,54.91375553377579,54.91375553377579
A064400,-4.880563489594351,4.880563489594351
A114090,-0.00028083721317705146,0.00028083721317705146
A071320,-8.740244239623801e-05,8.740244239623801e-05
A003550,-6.256776705270903e-05,6.256776705270903e-05
A042660,-1.5130396208859476e-05,1.5130396208859476e-05
