date,equity
2020-01-02,120923566.89678848
2020-01-03,121590414.63402626
2020-01-06,118991367.60938935
2020-01-07,120146767.50560524
2020-01-08,120845089.44294578
2020-01-09,123583590.7640191
2020-01-10,126216238.68231775
2020-01-13,131293372.92854257
2020-01-14,128557816.33326788
2020-01-15,126707220.51369593
2020-01-16,126713993.58116856
2020-01-17,126760512.19547638
2020-01-20,126024698.36806013
2020-01-21,119935842.00932473
2020-01-22,122536678.77757162
2020-01-23,122843890.343209
2020-01-28,122607896.25662413
2020-01-29,122543365.16546337
2020-01-30,120134509.41529682
2020-01-31,118428211.5817217
2020-02-03,119279987.36086452
2020-02-04,121645781.17839094
2020-02-05,120046866.07674202
2020-02-06,122361633.07291411
2020-02-07,118651099.03959186
2020-02-10,118357866.12225124
2020-02-11,119134839.6467713
2020-02-12,120417372.67006157
2020-02-13,120251523.77945611
2020-02-14,119083807.53422192
2020-02-17,120136545.68174464
2020-02-18,119699676.27124026
2020-02-19,121707744.60181466
2020-02-20,121032789.90390897
2020-02-21,120080519.5780026
2020-02-24,118151080.39174876
2020-02-25,118181917.73496506
2020-02-26,119139125.74301612
2020-02-27,118220182.27279632
2020-02-28,117238149.96687272
2020-03-02,119398710.78444955
2020-03-03,118758405.40080559
2020-03-04,120244897.87073171
2020-03-05,118830542.74902259
2020-03-06,117623103.96064582
2020-03-09,113924931.21047077
2020-03-10,113449416.24453615
2020-03-11,107429498.3494477
2020-03-12,103115976.0858287
2020-03-13,100011290.50782827
2020-03-16,99727570.53635758
2020-03-17,99048092.31973751
2020-03-18,99642376.19466312
2020-03-19,95778784.7190649
2020-03-20,98069208.65610598
2020-03-23,95308642.05220817
2020-03-24,98149155.38137189
2020-03-25,97709631.93858218
2020-03-26,96879820.4007177
2020-03-27,97578588.84697971
2020-03-30,98747831.89614387
2020-03-31,98795734.17255493
2020-04-01,97833880.54587045
2020-04-02,97896110.44996122
2020-04-03,97619724.0513719
2020-04-06,97795062.5876028
2020-04-07,96385328.30207309
2020-04-08,95536571.44034839
2020-04-09,95468830.50929202
2020-04-10,96253433.56467992
2020-04-13,98198816.24919757
2020-04-14,98708653.84417084
2020-04-16,97691492.15684739
2020-04-17,96732125.98143372
2020-04-20,97945853.87039034
2020-04-21,97139260.27492054
2020-04-22,97746582.22587447
2020-04-23,101932953.19647583
2020-04-24,100703902.14212787
2020-04-27,102305529.05104332
2020-04-28,104884091.35955572
2020-04-29,103847369.06243949
2020-05-04,101977514.74013823
2020-05-06,101840817.4208923
2020-05-07,103029190.77997832
2020-05-08,104335254.38001823
2020-05-11,101432363.7036511
2020-05-12,103913407.6942888
2020-05-13,106565086.912973
2020-05-14,106827634.86610597
2020-05-15,107629560.74674284
2020-05-18,108695567.20878096
2020-05-19,105512587.2530331
2020-05-20,105596785.32833508
2020-05-21,105670140.79677245
2020-05-22,105245069.0490692
2020-05-25,106368903.25199336
2020-05-26,102659291.32506298
2020-05-27,103452940.94833696
2020-05-28,103461681.03547364
2020-05-29,102991952.24411313
2020-06-01,101124345.66583258
2020-06-02,102902442.51863529
2020-06-03,104307541.72199202
2020-06-04,103894510.60497734
2020-06-05,102025870.81132415
2020-06-08,103297460.02508913
2020-06-09,103801927.88289899
2020-06-10,103991093.47155777
2020-06-11,104293458.98402388
2020-06-12,102579011.48506224
2020-06-15,96478470.76460126
2020-06-16,102344910.11948368
2020-06-17,101660406.98542315
2020-06-18,101267635.9714781
2020-06-19,100957591.40526038
2020-06-22,101015487.30046013
2020-06-23,101953606.62746215
2020-06-24,103268230.74755347
2020-06-25,100534248.43994895
2020-06-26,101255406.01207033
2020-06-29,98301909.08834164
2020-06-30,97598952.41544142
2020-07-01,97145583.97730309
2020-07-02,99174531.90805879
2020-07-03,98862427.04467598
2020-07-06,101311635.40453342
2020-07-07,101749234.61487678
2020-07-08,101760136.41558868
2020-07-09,103290469.67004932
2020-07-10,103235174.33311868
2020-07-13,101462529.06466684
2020-07-14,102668835.55555673
2020-07-15,101353722.50980031
2020-07-16,100135353.4856081
2020-07-17,100615054.9026213
2020-07-20,101654866.0665817
2020-07-21,102519189.48485266
2020-07-22,107542398.8491873
2020-07-23,106814379.34933148
2020-07-24,108527600.78077005
2020-07-27,111044894.71757007
2020-07-28,111738222.27888417
2020-07-29,111220379.6113125
2020-07-30,111715561.10376877
2020-07-31,110722698.48959175
