symbol,qty,abs_qty
A000210,10622.975335029732,10622.975335029732
A030000,-6896.426291738149,6896.426291738149
A008770,-3753.232000129535,3753.232000129535
A066970,2701.595558608097,2701.595558608097
A015760,-2279.976028267554,2279.976028267554
A000880,2023.571418633762,2023.571418633762
A105560,-1944.4285082182612,1944.4285082182612
A036570,1047.2015857862068,1047.2015857862068
A011070,327.00123104804095,327.00123104804095
A005380,-215.6857322741106,215.6857322741106
A298040,34.95103720315792,34.95103720315792
A051600,-11.698114962132422,11.698114962132422
A307950,-1.4982986922012174,1.4982986922012174
A114090,-0.0002062536797731579,0.0002062536797731579
A302440,-0.0001115791543965794,0.0001115791543965794
A071320,-5.4638689269973645e-05,5.4638689269973645e-05
A272210,-3.606658626079638e-05,3.606658626079638e-05
A259960,-1.0874431815682296e-05,1.0874431815682296e-05
A329180,-2.7453922687376356e-06,2.7453922687376356e-06
A377300,-4.1127864098405853e-07,4.1127864098405853e-07
A042660,-1.2597106055100996e-07,1.2597106055100996e-07
A326030,-3.617675220042337e-08,3.617675220042337e-08
A064350,-1.4924845259772514e-10,1.4924845259772514e-10
A009540,-4.534832507817326e-13,4.534832507817326e-13
