date,equity
2020-01-02,96986144.84441634
2020-01-03,96470029.00239246
2020-01-06,118916897.2446607
2020-01-07,120400001.82052684
2020-01-08,121359370.4952867
2020-01-09,122523893.75701594
2020-01-10,123655873.90016377
2020-01-13,127696285.81700927
2020-01-14,127534468.76705968
2020-01-15,126360217.00490522
2020-01-16,127467231.61904657
2020-01-17,127332467.41916323
2020-01-20,122570891.81834812
2020-01-21,121355317.03676483
2020-01-22,123845361.78870209
2020-01-23,123194899.47967881
2020-01-28,123349449.7861956
2020-01-29,124074428.80194041
2020-01-30,122846941.52263632
2020-01-31,122122225.24071896
2020-02-03,126044568.7015475
2020-02-04,128839827.95857784
2020-02-05,128791005.51655212
2020-02-06,130438432.52814516
2020-02-07,131354900.02577612
2020-02-10,115731680.81153786
2020-02-11,115509653.18122928
2020-02-12,115135194.2839229
2020-02-13,111911193.23392186
2020-02-14,113503597.06502175
2020-02-17,112647949.7511622
2020-02-18,113477617.79145628
2020-02-19,117654682.4959672
2020-02-20,118192097.98465669
2020-02-21,117822493.53920172
2020-02-24,116049785.81387529
2020-02-25,115684460.72139399
2020-02-26,116658901.95146239
2020-02-27,114746344.57032488
2020-02-28,115524444.63411528
2020-03-02,115410672.3848935
2020-03-03,113639634.79376839
2020-03-04,117479349.798823
2020-03-05,116646131.21292132
2020-03-06,116108820.32630765
2020-03-09,118409606.75212574
2020-03-10,119140211.11114548
2020-03-11,120328276.67846301
2020-03-12,123214750.56351598
2020-03-13,126261492.74735004
2020-03-16,126184904.82366692
2020-03-17,128204431.01367491
2020-03-18,131875160.95277086
2020-03-19,139915246.80350655
2020-03-20,135083714.86693513
2020-03-23,146511958.71493396
2020-03-24,142430489.4824051
2020-03-25,132591994.72123726
2020-03-26,147345669.4466895
2020-03-27,159219570.23034176
2020-03-30,181561336.93921974
2020-03-31,173787387.56353486
2020-04-01,168596020.92824912
2020-04-02,164790201.19048497
2020-04-03,165022353.1797921
2020-04-06,166000929.4780569
2020-04-07,165073866.840827
2020-04-08,163532637.41899005
2020-04-09,161394151.98545945
2020-04-10,162095976.79169834
2020-04-13,163605802.73733014
2020-04-14,166289555.18349192
2020-04-16,165516288.5602849
2020-04-17,160555811.21493042
2020-04-20,165522490.85066947
2020-04-21,167272865.92743874
2020-04-22,167451138.724034
2020-04-23,174248419.19987985
2020-04-24,175940597.23103172
2020-04-27,175081088.80854285
2020-04-28,172910920.2030099
2020-04-29,169195227.71453008
2020-05-04,169201265.7145361
2020-05-06,173391129.0089278
2020-05-07,173479986.55359617
2020-05-08,172781166.84625688
2020-05-11,170565797.06275073
2020-05-12,173013016.31032756
2020-05-13,178711867.25933698
2020-05-14,183779072.1543084
2020-05-15,184570666.53497148
2020-05-18,181015373.70571506
2020-05-19,173930932.11423904
2020-05-20,176053252.21506137
2020-05-21,174276535.4666327
2020-05-22,172846598.87087208
2020-05-25,174295452.5109979
2020-05-26,168140921.01065755
2020-05-27,168925083.1219294
2020-05-28,168138678.6534906
2020-05-29,165926478.76318085
2020-06-01,168988904.62793416
2020-06-02,169997722.42625618
2020-06-03,164209138.9531423
2020-06-04,163060776.6782859
2020-06-05,162595664.60109383
2020-06-08,147761542.7989787
2020-06-09,144926415.9265722
2020-06-10,149157143.3060923
2020-06-11,150940824.43621743
2020-06-12,151017442.97940797
2020-06-15,130122386.26905876
2020-06-16,134791509.5491848
2020-06-17,136991944.57261103
2020-06-18,136163125.57585588
2020-06-19,136550705.87824336
2020-06-22,158600739.69388103
2020-06-23,161330903.88260654
2020-06-24,163045089.19670165
2020-06-25,159387461.79610637
2020-06-26,158352147.4818341
2020-06-29,155860090.1522231
2020-06-30,156575386.23906633
2020-07-01,154718494.00730258
2020-07-02,152707720.62988997
2020-07-03,151764494.88857955
2020-07-06,153610908.51175237
