date,equity
2020-01-02,100590674.49354756
2020-01-03,100081483.08626667
2020-01-06,121898414.88686725
2020-01-07,122777552.37352997
2020-01-08,122993471.57010296
2020-01-09,126698956.2914046
2020-01-10,126924411.72614703
2020-01-13,130942751.28788534
2020-01-14,130701057.2047955
2020-01-15,129479931.86734985
2020-01-16,130687478.63585849
2020-01-17,130487253.12933111
2020-01-20,125798269.32899031
2020-01-21,124688829.81375447
2020-01-22,127201743.92674151
2020-01-23,127005015.61829504
2020-01-28,127014298.90395832
2020-01-29,127699319.94165589
2020-01-30,125770416.49875154
2020-01-31,124823649.9320135
2020-02-03,127263044.26256615
2020-02-04,129594733.57315336
2020-02-05,129699086.42114928
2020-02-06,132280935.81891416
2020-02-07,132671249.26722012
2020-02-10,117058082.41049674
2020-02-11,116873454.84459291
2020-02-12,116493515.47280246
2020-02-13,113262767.7044559
2020-02-14,114281547.99139965
2020-02-17,113969833.64093477
2020-02-18,114069723.1941277
2020-02-19,120741992.44395998
2020-02-20,120513146.6983906
2020-02-21,119046083.42311144
2020-02-24,116400207.57394783
2020-02-25,115338035.70397127
2020-02-26,115864116.19100708
2020-02-27,114422801.02840629
2020-02-28,114072556.25619166
2020-03-02,113601543.34211358
2020-03-03,115156193.5032889
2020-03-04,119061078.79823343
2020-03-05,118244990.68244874
2020-03-06,117329896.30163285
2020-03-09,114133205.73632309
2020-03-10,113101851.46907814
2020-03-11,116359529.06402978
2020-03-12,116617669.29203483
2020-03-13,115565431.45737976
2020-03-16,118816408.69448918
2020-03-17,117030087.05679785
2020-03-18,120289017.9451387
2020-03-19,118540052.21926478
2020-03-20,118662160.00633961
2020-03-23,114354480.54329011
2020-03-24,118012315.24913217
2020-03-25,117697824.23891154
2020-03-26,116964578.40034798
2020-03-27,120148015.40642451
2020-03-30,124397463.33410285
2020-03-31,119143980.64677113
2020-04-01,115704978.54047588
2020-04-02,113153319.51297262
2020-04-03,113092810.13959242
2020-04-06,113598908.17084843
2020-04-07,113085293.84547284
2020-04-08,111529809.66316041
2020-04-09,110386351.06943858
2020-04-10,110474714.18704519
2020-04-13,109503016.65169972
2020-04-14,112424974.39982846
2020-04-16,111482761.92062703
2020-04-17,109288385.90718111
2020-04-20,110672831.53788354
2020-04-21,109003835.04996164
2020-04-22,109319171.15024602
2020-04-23,112729243.51534075
2020-04-24,110971754.39274369
2020-04-27,111694084.6984224
2020-04-28,110731155.05397245
2020-04-29,107632245.42536405
2020-05-04,108442781.51065983
2020-05-06,108633526.84125394
2020-05-07,107912737.76184776
2020-05-08,107506303.93319772
2020-05-11,106488872.21024413
2020-05-12,109536369.55022696
2020-05-13,113098625.56078023
2020-05-14,113025250.91295636
2020-05-15,114057278.51894954
2020-05-18,111994242.67184842
2020-05-19,107607945.88441652
2020-05-20,109014462.96123314
2020-05-21,108165277.21475317
2020-05-22,107294767.58624816
2020-05-25,108206540.56501983
2020-05-26,104961893.47583733
2020-05-27,106693173.27798821
2020-05-28,106025476.92639789
2020-05-29,105743386.87870488
2020-06-01,106596601.55119473
2020-06-02,110576212.15872258
2020-06-03,111063721.87405623
2020-06-04,109449599.92602485
2020-06-05,106318169.24830586
2020-06-08,95800492.84108475
2020-06-09,95525299.90268123
2020-06-10,97260687.35219964
2020-06-11,98678888.52147807
2020-06-12,99015844.26249763
2020-06-15,82002160.77204216
2020-06-16,84812372.78244352
2020-06-17,86341088.69899234
2020-06-18,85842438.83039328
2020-06-19,86020872.58465691
2020-06-22,85241639.60596512
2020-06-23,87030921.6900399
2020-06-24,87910340.19399306
2020-06-25,85931547.71143109
2020-06-26,85103550.8971403
2020-06-29,100946691.90975316
2020-06-30,101319158.33960743
2020-07-01,100139897.13583751
2020-07-02,98831321.84123708
2020-07-03,98168629.75678863
2020-07-06,99148342.0454659
2020-07-07,98610180.93461174
2020-07-08,98752273.88951951
2020-07-09,101568133.0337174
2020-07-10,102792818.27733219
2020-07-13,102195829.97088161
2020-07-14,102226180.66980022
2020-07-15,99451878.44240396
2020-07-16,95931605.98146558
2020-07-17,96913967.4455195
2020-07-20,97762818.77306467
2020-07-21,101991465.5951709
2020-07-22,103978396.14608699
2020-07-23,102611637.54798692
2020-07-24,101005177.47386396
2020-07-27,101597023.4832727
2020-07-28,101233567.41650195
2020-07-29,102060399.86629838
2020-07-30,102184798.85002103
2020-07-31,101353133.92564225
2020-08-03,102989508.69711313
2020-08-04,102989508.69711313
2020-08-05,102989508.69711313
2020-08-06,102989508.69711313
2020-08-07,102989508.69711313
2020-08-10,104182791.26105782
2020-08-11,106070678.14399391
2020-08-12,102279211.01544389
2020-08-13,101603138.60560524
2020-08-14,98103557.43189192
2020-08-18,98190219.31403756
2020-08-19,102495972.85183872
2020-08-20,102298712.13451043
2020-08-21,104878602.82955801
