date,equity
2020-01-02,110666240.72875853
2020-01-03,110777281.96096042
2020-01-06,124863140.2760578
2020-01-07,125800645.3431429
2020-01-08,125191029.54256251
2020-01-09,128286961.91130678
2020-01-10,132390378.88318364
2020-01-13,135636647.13548774
2020-01-14,135035427.2576008
2020-01-15,134171088.68630233
2020-01-16,134489666.26249433
2020-01-17,135263219.37084016
2020-01-20,133145476.7424899
2020-01-21,129228152.73648362
2020-01-22,130284884.18402103
2020-01-23,128744654.46790105
2020-01-28,131553940.03721121
2020-01-29,132012138.14843346
2020-01-30,128882255.2373222
2020-01-31,127394970.59346832
2020-02-03,128904633.96039887
2020-02-04,129991037.27200681
2020-02-05,128457576.15253547
2020-02-06,128915628.13140997
2020-02-07,128400999.91826497
2020-02-10,117326989.6507662
2020-02-11,117788272.21975099
2020-02-12,116489153.66252759
2020-02-13,115593828.18290007
2020-02-14,116263143.89359157
2020-02-17,116169229.34982583
2020-02-18,116388340.09971523
2020-02-19,121203406.99596116
2020-02-20,121590458.67407638
2020-02-21,119810523.29715088
2020-02-24,118503395.27629869
2020-02-25,119060404.57743847
2020-02-26,118545583.48617935
2020-02-27,118672510.2514208
2020-02-28,118386768.73306307
2020-03-02,118614624.4720856
2020-03-03,121240751.53313656
2020-03-04,124661327.38250934
2020-03-05,124951376.81829366
2020-03-06,125535230.60504967
2020-03-09,121588024.41977718
2020-03-10,120293461.82818963
2020-03-11,116830769.86182395
2020-03-12,115359814.44560927
2020-03-13,112532484.13775072
2020-03-16,115885552.98804647
2020-03-17,114846471.5846599
2020-03-18,118630095.80454023
2020-03-19,114441972.96001258
2020-03-20,115636640.83468395
2020-03-23,111083795.62493707
2020-03-24,114221197.7831695
2020-03-25,113487905.37731814
2020-03-26,111841080.86950631
2020-03-27,114714078.64648491
2020-03-30,114944469.21480095
2020-03-31,113191859.97803932
2020-04-01,113296078.80456334
2020-04-02,113002636.81987727
2020-04-03,114018699.04539739
2020-04-06,116852979.42612478
2020-04-07,122245903.59147745
2020-04-08,121344402.16773689
2020-04-09,122427157.19003662
2020-04-10,121845091.57602726
2020-04-13,119939695.33897096
2020-04-14,120062496.18308043
2020-04-16,119865164.87715116
2020-04-17,117298967.17592292
2020-04-20,118964058.62705986
2020-04-21,118213205.17445397
2020-04-22,118656711.39053884
2020-04-23,120289946.47887698
2020-04-24,119434361.68982413
2020-04-27,120883221.11349954
2020-04-28,121121496.51604432
2020-04-29,119756512.49169722
2020-05-04,119550294.42431796
2020-05-06,119925703.35830824
2020-05-07,120132625.83920005
2020-05-08,122306113.15184951
2020-05-11,116648734.21297616
2020-05-12,121430521.81127529
2020-05-13,125134736.95910865
2020-05-14,124816927.20314023
2020-05-15,126614121.27774812
2020-05-18,130294494.2783897
2020-05-19,125397609.8773072
2020-05-20,124437896.5910673
2020-05-21,124866360.12748644
2020-05-22,124028770.21222553
2020-05-25,124356920.90875532
2020-05-26,119691663.12218511
2020-05-27,120586857.74104738
2020-05-28,119730066.99099359
2020-05-29,119031986.2672984
2020-06-01,114987921.12249885
2020-06-02,116362807.80420804
2020-06-03,116629426.31554814
2020-06-04,116227482.41511118
2020-06-05,114253997.26385912
2020-06-08,114523004.75264895
2020-06-09,113807730.35519414
2020-06-10,115260391.6873529
2020-06-11,114072993.48854516
2020-06-12,114390978.33947004
2020-06-15,109290285.6143467
2020-06-16,111797423.47786435
2020-06-17,114291231.25867312
2020-06-18,117985805.78670767
2020-06-19,115433340.45441717
2020-06-22,113648083.90721595
2020-06-23,114987623.32557985
2020-06-24,116431673.89537472
2020-06-25,115372641.57833993
2020-06-26,114697320.78630862
2020-06-29,121326495.75726613
2020-06-30,122056618.60850212
2020-07-01,121538741.6053473
2020-07-02,120676632.83247127
2020-07-03,120677858.18524423
2020-07-06,122874249.14398837
2020-07-07,122608677.57191873
2020-07-08,123443328.150334
2020-07-09,124166131.22422773
2020-07-10,123181546.94489181
2020-07-13,121425403.90527377
2020-07-14,120962072.78233974
2020-07-15,119600644.04595384
2020-07-16,119934499.95593719
2020-07-17,120870823.08366704
2020-07-20,123521457.35688713
2020-07-21,125571947.45895964
2020-07-22,127093973.62653086
2020-07-23,126648960.65389699
2020-07-24,125777862.69360064
2020-07-27,126582734.45716293
2020-07-28,127448521.82186536
2020-07-29,129044732.56939682
2020-07-30,130602545.95595296
2020-07-31,129482352.8971318
2020-08-03,131569681.72022861
2020-08-04,131569681.72022861
2020-08-05,131569681.72022861
2020-08-06,131569681.72022861
2020-08-07,131569681.72022861
2020-08-10,133734706.01176043
2020-08-11,133202029.56654531
2020-08-12,131601656.9921734
2020-08-13,131101811.58286741
2020-08-14,127613303.4136087
2020-08-18,121811565.4129034
2020-08-19,126062658.79786822
2020-08-20,126877192.11767155
2020-08-21,129341443.90086995
2020-08-24,136675094.9508331
2020-08-25,136416820.04774362
2020-08-26,136084154.070522
2020-08-27,134330977.34902167
2020-08-28,133819878.17723966
2020-08-31,130383268.71642192
2020-09-01,128058494.0454583
2020-09-02,125566461.21964216
2020-09-03,125582748.22344005
2020-09-04,124800800.70773762
2020-09-07,126458914.98832595
2020-09-08,128731496.87895654
2020-09-09,130716674.64620486
2020-09-10,130308035.87847766
2020-09-11,127430135.32342201
2020-09-14,129379253.66184276
2020-09-15,129159025.05007493
2020-09-16,128718770.63660783
2020-09-17,128130183.09863997
2020-09-18,127768145.25704971
2020-09-21,128910964.3035185
2020-09-22,136078149.94567722
2020-09-23,131004032.94646266
2020-09-24,126850564.28164124
2020-09-25,127489493.83551499
2020-09-28,130688752.1491
2020-09-29,131415827.08902422
2020-10-05,130911841.67813501
2020-10-06,130911841.67813501
2020-10-07,130911841.67813501
2020-10-08,130911841.67813501
2020-10-12,129410818.95824656
2020-10-13,128578357.76369403
2020-10-14,127932865.16658735
2020-10-15,128517641.66656703
2020-10-16,128205924.70911406
2020-10-19,128868816.73869818
2020-10-20,129364022.56345092
2020-10-21,129671061.25163296
2020-10-22,129994687.78546429
2020-10-23,130952776.72948985
2020-10-26,129905401.0536889
2020-10-27,127792694.99595305
2020-10-28,131509099.94986838
2020-10-29,132720310.15554279
2020-10-30,130764823.10874668
2020-11-02,133770884.83424953
2020-11-03,135147374.6108783
2020-11-04,134180274.67602417
2020-11-05,135528784.59919935
2020-11-06,134969937.09573328
2020-11-09,139559459.12468922
2020-11-10,139378827.3140619
2020-11-11,141371596.32654548
2020-11-12,140246331.5261831
2020-11-13,136872704.05039883
2020-11-16,138978675.55643725
2020-11-17,136618169.44791242
2020-11-18,137682665.92188972
2020-11-19,135853720.5890926
2020-11-20,133434501.37255973
2020-11-23,133151642.91227221
2020-11-24,133377993.9276317
2020-11-25,133772691.7993292
2020-11-26,135514208.4753548
2020-11-27,134743792.16471946
2020-11-30,134811728.85078323
2020-12-01,137001462.9949184
2020-12-02,135056127.17592388
2020-12-03,135250281.15944958
2020-12-04,136649468.1439981
2020-12-07,136882619.21871978
2020-12-08,137677710.0972836
2020-12-09,138958050.82161233
2020-12-10,138222193.48460713
2020-12-11,139412214.5312947
2020-12-14,137878331.94542068
2020-12-15,138822769.39473337
2020-12-16,138768214.51557577
2020-12-17,138831799.5745911
2020-12-18,137703302.26809925
2020-12-21,138058478.37663087
2020-12-22,136133920.3733365
2020-12-23,135677785.63396573
2020-12-24,136181813.34998778
2020-12-28,136732185.44767287
2020-12-29,136442949.39823097
2020-12-30,138105196.8050563
2021-01-04,138414755.73512173
2021-01-05,138414755.73512173
2021-01-06,138414755.73512173
2021-01-07,138414755.73512173
2021-01-08,138414755.73512173
2021-01-11,134912213.21608984
2021-01-12,133870988.18722124
2021-01-13,131732984.54096073
2021-01-14,131468922.80161141
2021-01-15,129518689.0814314
2021-01-18,131155506.77704427
2021-01-19,143629953.21149775
2021-01-20,148022921.90580586
2021-01-21,152534510.70036066
2021-01-22,148715108.2486546
2021-01-25,149934085.13839
2021-01-26,145642317.8878755
2021-01-27,146000609.5930176
2021-01-28,143556465.23014566
2021-01-29,139494920.47585917
2021-02-01,145219119.0421782
2021-02-02,143896052.1736695
2021-02-03,148365499.89217034
2021-02-04,146791699.7183832
2021-02-05,148336479.60842025
2021-02-08,152383919.61918062
2021-02-09,150397680.2207196
2021-02-10,154970703.32861263
2021-02-15,147576716.62198365
2021-02-16,149932568.28472865
2021-02-17,153431615.09133157
2021-02-18,151444194.45376858
2021-02-19,152163846.58870995
2021-02-22,150438440.08705777
2021-02-23,151970865.02819273
2021-02-24,147426543.68955877
2021-02-25,150073557.50299928
2021-02-26,149488785.78388718
2021-03-02,150422219.19437307
2021-03-03,153606312.40294513
2021-03-04,155043296.58568704
2021-03-05,155207327.82757914
2021-03-08,156672832.66437033
2021-03-09,157480278.2053669
2021-03-10,156098368.61139885
2021-03-11,157612581.8657307
2021-03-12,156115517.7745053
2021-03-15,156774221.92471147
2021-03-16,155944666.37357962
2021-03-17,150018747.93605676
2021-03-18,145431472.72829497
2021-03-19,144724932.83641154
2021-03-22,145527251.0359114
2021-03-23,144289284.4869796
2021-03-24,144172020.32799292
2021-03-25,145220611.4719599
2021-03-26,146090899.23728266
2021-03-29,147754231.1924675
2021-03-30,148317742.51549906
2021-03-31,149920244.8051266
2021-04-01,149209821.65883362
2021-04-02,149758342.13860983
2021-04-05,149629371.59025398
2021-04-06,148581809.23019785
2021-04-07,148983077.66394597
2021-04-08,149899013.24485508
2021-04-09,151734981.35973623
2021-04-12,152773529.95473507
2021-04-13,154706616.27748668
2021-04-14,154541262.52657586
2021-04-15,156512576.0460403
2021-04-16,157648271.77934346
2021-04-19,160072520.9997428
2021-04-20,158735083.7727656
2021-04-21,158409356.11084837
2021-04-22,160075195.0618459
2021-04-23,160370912.96861073
2021-04-26,160981329.53720897
2021-04-27,162036156.2423242
2021-04-28,158687687.78309277
2021-04-29,157757549.30753952
2021-04-30,154991380.18252984
2021-05-03,154798447.32862318
2021-05-04,154798447.32862318
2021-05-06,154798447.32862318
2021-05-07,154798447.32862318
2021-05-10,158998485.86202413
2021-05-11,161456277.22329322
2021-05-12,159257397.91931903
2021-05-13,160071157.07477078
2021-05-14,160336598.37310874
2021-05-17,162770123.50744832
2021-05-18,163553841.17522275
2021-05-20,166917552.88372856
2021-05-21,164478818.00482482
2021-05-24,167338423.17136055
2021-05-25,171013463.00477228
2021-05-26,175381012.2629855
2021-05-27,177011816.32074806
2021-05-28,178930289.00493073
2021-05-31,179988242.37078816
2021-06-01,176240887.93214488
2021-06-02,181501279.70766008
2021-06-03,177783425.77181756
2021-06-04,179400853.68135113
2021-06-07,144642487.93076044
2021-06-08,142711371.87146127
2021-06-09,145311361.4973797
2021-06-10,145818064.5538785
2021-06-11,147841612.13552454
2021-06-14,164829365.99764714
2021-06-15,168002599.89196882
