date,equity
2020-01-02,98518872.91668642
2020-01-03,98430917.70489636
2020-01-06,112538432.47260502
2020-01-07,113397256.79008119
2020-01-08,112773830.62070611
2020-01-09,113709936.14152838
2020-01-10,116578788.41100983
2020-01-13,121666151.06559026
2020-01-14,121564414.70922855
2020-01-15,120515925.6391399
2020-01-16,120118730.14448436
2020-01-17,120514818.11416665
2020-01-20,117542277.05294694
2020-01-21,114314674.91387132
2020-01-22,117056747.66210876
2020-01-23,115925891.13376015
2020-01-28,120949726.23039196
2020-01-29,119963727.97780877
2020-01-30,118095672.88030703
2020-01-31,116662129.20847714
2020-02-03,118563997.41228727
2020-02-04,122498733.67420077
2020-02-05,121536277.57450315
2020-02-06,122108190.30581145
2020-02-07,122851507.17388992
2020-02-10,110429900.82789719
2020-02-11,110313927.72549817
2020-02-12,109985382.62738124
2020-02-13,108689835.95790818
2020-02-14,108595676.10235722
2020-02-17,108293044.73307529
2020-02-18,108848739.74830455
2020-02-19,111900973.7811593
2020-02-20,112220331.600614
2020-02-21,112557398.4504838
2020-02-24,111570494.60681215
2020-02-25,111428575.99505723
2020-02-26,111834802.66646257
2020-02-27,109865784.12821698
2020-02-28,109615018.0443078
2020-03-02,109960983.15233219
2020-03-03,108919293.14010686
2020-03-04,111984954.24640745
2020-03-05,111486014.18935722
2020-03-06,111368222.99836215
2020-03-09,110504400.46718472
2020-03-10,113692341.16012895
2020-03-11,112695751.60036191
2020-03-12,111115568.90431467
2020-03-13,108712055.50256568
2020-03-16,107001622.32468669
2020-03-17,108205465.83617602
2020-03-18,105525348.41655721
2020-03-19,100450505.15583724
2020-03-20,107756907.72390342
2020-03-23,106892489.20042968
2020-03-24,108735721.22860077
2020-03-25,104499203.60045531
2020-03-26,107799497.9026666
2020-03-27,111197906.44871765
2020-03-30,117317993.97038469
2020-03-31,116189459.95195499
2020-04-01,114701044.81205201
2020-04-02,114278579.75484458
2020-04-03,114009524.992963
2020-04-06,115675161.20228177
2020-04-07,116015641.94886261
2020-04-08,114847985.28843594
2020-04-09,114939952.4060828
2020-04-10,115404475.23745616
2020-04-13,115388035.28250292
2020-04-14,116967264.04704712
2020-04-16,116397387.96337196
2020-04-17,113413253.92824402
