strategy,year,year_return_pct,year_end_equity
5m_new_high_only,2019,0.7911,1.007911
5m_new_high_only,2020,14.8037,1.155948
5m_new_high_only,2021,16.0499,1.316446
5m_new_high_only,2022,-0.4996,1.31145
5m_new_high_only,2023,6.7591,1.379041
5m_new_high_only,2024,13.0301,1.509341
5m_new_high_only,2025,16.0319,1.66966
5m_new_high_only,2026,20.2401,1.872062
positivity_only,2019,0.7911,1.007911
positivity_only,2020,14.8037,1.155948
positivity_only,2021,16.0499,1.316446
positivity_only,2022,-0.4996,1.31145
positivity_only,2023,6.7591,1.379041
positivity_only,2024,13.0301,1.509341
positivity_only,2025,16.0319,1.66966
positivity_only,2026,20.2401,1.872062
flow_only,2019,0.7911,1.007911
flow_only,2020,12.5139,1.13305
flow_only,2021,13.8362,1.271413
flow_only,2022,-0.093,1.270483
flow_only,2023,6.208,1.332563
flow_only,2024,12.7931,1.460494
flow_only,2025,14.9577,1.610071
flow_only,2026,20.9314,1.819385
current,2019,0.7911,1.007911
current,2020,12.5139,1.13305
current,2021,13.8362,1.271413
current,2022,-0.093,1.270483
current,2023,6.208,1.332563
current,2024,12.7931,1.460494
current,2025,14.9577,1.610071
current,2026,20.9314,1.819385
