strategy_id,op_rrg_mode,stock_score,compression,confirm,cagr,mdd,sharpe,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count,output_dir
rrg_op_rrg_grid_base_op12_k2_none,base,op12,k2,none,0.8526340480677475,-0.2560926267003981,2.302752332978639,44.78393956695575,5476360048.325154,0.7402597402597403,0.6623376623376623,0.2565233503854443,20.367578385590395,20.0,30.0,47,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_op12_k2_none_20260618_174230
rrg_op_rrg_grid_base_qavg_k2_none,base,qavg,k2,none,0.9561707395901295,-0.1667602290464667,2.2229209457961407,63.20304206347609,5195297520.985008,0.7532467532467533,0.6363636363636364,0.2630821419039564,18.487109905020354,18.0,28.0,37,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_qavg_k2_none_20260618_173937
rrg_op_rrg_grid_self_qavg_k2_none,self,qavg,k2,none,0.7428083571451654,-0.20469138163384415,2.2196292116973906,29.99003306794988,3273813430.8385096,0.7532467532467533,0.5844155844155844,0.26541808672309125,17.70149253731343,17.0,25.0,36,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_qavg_k2_none_20260618_175110
rrg_op_rrg_grid_self_op12_k2_none,self,op12,k2,none,0.7169396293893093,-0.274078805911394,2.1403498837194586,27.543017872713218,3451523531.167266,0.7402597402597403,0.6233766233766234,0.25658754644813403,20.12875250166778,20.0,29.0,39,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_op12_k2_none_20260618_175407
rrg_op_rrg_grid_base_op12_k1_none,base,op12,k1,none,0.9096815913828435,-0.325008308358416,2.083363885754793,54.41293319936601,6012980578.61692,0.7142857142857143,0.5974025974025974,0.26013941113014144,12.390927284856572,12.0,17.0,25,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_op12_k1_none_20260618_174401
rrg_op_rrg_grid_base_qavg_k1_none,base,qavg,k1,none,0.9251179865474675,-0.19129152048670817,1.9959399901040846,57.15168522879995,5078955563.680765,0.7402597402597403,0.6233766233766234,0.26545045437572307,11.771370420624152,12.0,16.0,22,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_qavg_k1_none_20260618_174102
rrg_op_rrg_grid_ex10_op12_k2_none,ex10,op12,k2,none,0.7306100982109249,-0.2887468362792539,1.9591560464146185,29.036675787417607,3592780630.556092,0.7012987012987013,0.6233766233766234,0.26680034404586106,19.174783188792528,19.0,29.0,49,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_op12_k2_none_20260618_174816
rrg_op_rrg_grid_self_op12_k1_none,self,op12,k1,none,0.8379727939251369,-0.30664495565632033,1.9339053352120377,42.52758973265806,4499106902.292189,0.6883116883116883,0.6103896103896104,0.25912758350118553,12.17745163442295,12.0,17.0,22,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_op12_k1_none_20260618_175602
rrg_op_rrg_grid_ex10_op12_k1_none,ex10,op12,k1,none,0.8822433507312475,-0.3156689385511844,1.9143382742922501,49.667299928024825,5498021361.584545,0.6753246753246753,0.6363636363636364,0.27111144635951545,11.651767845230154,12.0,17.0,26,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_op12_k1_none_20260618_174944
rrg_op_rrg_grid_self_qavg_k1_none,self,qavg,k1,none,0.7008038143628104,-0.2423809912751682,1.8108404097163078,25.621986739535096,2946155193.195208,0.7142857142857143,0.5974025974025974,0.2670911391778528,11.300542740841248,11.0,15.0,21,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_qavg_k1_none_20260618_175235
rrg_op_rrg_grid_ex10_qavg_k2_none,ex10,qavg,k2,none,0.7526938844522248,-0.29725675815936137,1.8040509073278392,31.54280072159228,2633357026.099204,0.6753246753246753,0.6363636363636364,0.2736715656667406,17.51696065128901,17.0,27.0,44,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_qavg_k2_none_20260618_174531
rrg_op_rrg_grid_self_qavg_k2_flow,self,qavg,k2,flow,0.6306997666086895,-0.26429324785200936,1.7494997604029323,19.695116147157826,2038859517.6979067,0.6623376623376623,0.5584415584415584,0.3133438597910203,14.69810040705563,14.0,22.0,33,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_qavg_k2_flow_20260618_175131
rrg_op_rrg_grid_self_op12_k2_momo,self,op12,k2,momo,0.6231256031986443,-0.3382382251248428,1.6983803344882062,19.13375017448465,2012127254.890659,0.6623376623376623,0.5844155844155844,0.3306504130996887,16.48298865910607,16.0,24.0,34,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_op12_k2_momo_20260618_175456
rrg_op_rrg_grid_base_qavg_k2_flow,base,qavg,k2,flow,0.6900960681076418,-0.23576242556352245,1.6813285164910154,25.194564126246675,2114673322.857228,0.6363636363636364,0.5714285714285714,0.3099119664198429,15.177069199457259,15.0,24.0,33,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_qavg_k2_flow_20260618_173959
rrg_op_rrg_grid_base_op12_k2_flow,base,op12,k2,flow,0.646431796945091,-0.2889929200343436,1.6754468798434252,21.193214427147215,2578389099.2514453,0.6363636363636364,0.5714285714285714,0.30063004860522363,17.139426284189458,16.0,26.0,45,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_op12_k2_flow_20260618_174252
rrg_op_rrg_grid_base_op12_k2_momo,base,op12,k2,momo,0.6790250015292261,-0.3573694903013447,1.6723303685209279,24.091751909536562,2577833398.7001734,0.6493506493506493,0.6103896103896104,0.3309507887144447,16.521681120747164,16.0,25.0,40,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_op12_k2_momo_20260618_174315
rrg_op_rrg_grid_self_op12_k2_flow,self,op12,k2,flow,0.5959513270192249,-0.25775208426500607,1.6527232149661475,17.254339866641452,1999812410.150993,0.7012987012987013,0.5714285714285714,0.30310297133269526,17.16077384923282,17.0,25.0,36,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_op12_k2_flow_20260618_175431
